Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.5222,1.3020,0.4667,0.4722,0.4922,0.5209,1.3211,0.4654,0.4912,0.4838,0.4241,1.5554,0.4132,0.4082,0.4231
2,0.4678,1.6272,0.4338,0.4823,0.4387,0.4591,1.6531,0.4239,0.4318,0.4718,0.5242,1.2919,0.5175,0.5134,0.5250
3,0.5711,1.1558,0.5278,0.5600,0.5247,0.5700,1.1684,0.5298,0.5282,0.5594,0.5510,1.2212,0.5451,0.5415,0.5525
4,0.5723,1.1376,0.5148,0.5626,0.5053,0.5669,1.1406,0.5092,0.4996,0.5523,0.5540,1.2100,0.5468,0.5427,0.5539
5,0.5620,2.2041,0.4937,0.5218,0.4957,0.5718,1.9850,0.5038,0.5045,0.5270,0.5829,1.1323,0.5797,0.5764,0.5857
6,0.5719,1.9030,0.5220,0.5618,0.5229,0.5815,1.8272,0.5239,0.5237,0.5530,0.6134,1.0545,0.6070,0.6045,0.6123
7,0.6003,1.8864,0.5632,0.5772,0.5619,0.5951,2.0518,0.5506,0.5515,0.5592,0.6102,1.0547,0.6047,0.6015,0.6098
8,0.6259,1.0291,0.5938,0.6078,0.6134,0.6252,1.0487,0.5837,0.6005,0.5941,0.6320,0.9826,0.6268,0.6244,0.6314
9,0.6152,1.0675,0.5795,0.6057,0.5710,0.6076,1.0973,0.5664,0.5591,0.5915,0.6365,0.9814,0.6331,0.6308,0.6375
10,0.6538,0.9703,0.6380,0.6467,0.6328,0.6515,0.9753,0.6288,0.6240,0.6363,0.6804,0.8627,0.6773,0.6752,0.6816
11,0.6615,0.9526,0.6408,0.6500,0.6388,0.6641,0.9443,0.6377,0.6353,0.6447,0.7128,0.7843,0.7092,0.7080,0.7122
12,0.6623,0.9691,0.6436,0.6430,0.6531,0.6583,0.9977,0.6362,0.6466,0.6338,0.7164,0.7600,0.7158,0.7151,0.7187
13,0.6595,0.9772,0.6365,0.6408,0.6468,0.6592,0.9890,0.6315,0.6435,0.6330,0.7291,0.7304,0.7266,0.7258,0.7289
14,0.6613,1.0395,0.6419,0.6345,0.6538,0.6541,1.0939,0.6163,0.6346,0.6051,0.7433,0.6964,0.7419,0.7413,0.7439
15,0.6676,1.0291,0.6435,0.6434,0.6466,0.6660,1.0329,0.6402,0.6535,0.6331,0.7531,0.6739,0.7517,0.7512,0.7532
16,0.6644,1.0753,0.6472,0.6433,0.6574,0.6648,1.0582,0.6319,0.6454,0.6271,0.7600,0.6531,0.7591,0.7588,0.7606
17,0.6686,1.4616,0.6350,0.6316,0.6434,0.6632,1.4805,0.6202,0.6356,0.6124,0.7732,0.6140,0.7715,0.7710,0.7728
18,0.6682,1.0531,0.6457,0.6349,0.6648,0.6658,1.1042,0.6347,0.6593,0.6213,0.7860,0.5882,0.7855,0.7851,0.7865
19,0.6769,1.3335,0.6327,0.6209,0.6695,0.6705,1.3104,0.6186,0.6527,0.6078,0.8055,0.5432,0.8047,0.8045,0.8054
20,0.6801,1.0978,0.6457,0.6346,0.6741,0.6698,1.1218,0.6358,0.6563,0.6270,0.8169,0.5033,0.8168,0.8165,0.8176
21,0.6806,1.0099,0.6704,0.6607,0.6843,0.6761,1.0290,0.6556,0.6704,0.6454,0.8244,0.4909,0.8242,0.8243,0.8247
22,0.6850,1.0706,0.6497,0.6384,0.6767,0.6766,1.0704,0.6368,0.6606,0.6255,0.8282,0.4720,0.8275,0.8274,0.8281
23,0.6818,1.0419,0.6657,0.6547,0.6849,0.6740,1.0529,0.6496,0.6717,0.6374,0.8305,0.4738,0.8301,0.8300,0.8306
24,0.6773,1.1299,0.6470,0.6336,0.6758,0.6783,1.1747,0.6388,0.6645,0.6267,0.8375,0.4510,0.8369,0.8368,0.8373
25,0.6806,1.1680,0.6466,0.6364,0.6658,0.6743,1.2253,0.6273,0.6536,0.6154,0.8445,0.4361,0.8428,0.8427,0.8433
26,0.6787,1.3847,0.6421,0.6268,0.6792,0.6728,1.4947,0.6181,0.6533,0.6062,0.8494,0.4214,0.8495,0.8494,0.8499
27,0.6693,1.6852,0.6232,0.6116,0.6510,0.6635,1.8611,0.6019,0.6288,0.5921,0.8546,0.4054,0.8553,0.8553,0.8556
28,0.6778,1.1497,0.6581,0.6448,0.6825,0.6721,1.1861,0.6390,0.6646,0.6256,0.8570,0.3961,0.8567,0.8566,0.8570
29,0.6796,1.1492,0.6615,0.6463,0.6914,0.6749,1.1892,0.6433,0.6824,0.6261,0.8616,0.3831,0.8609,0.8607,0.8614
30,0.6793,1.1649,0.6577,0.6428,0.6866,0.6721,1.2374,0.6357,0.6629,0.6220,0.8660,0.3758,0.8660,0.8659,0.8661
31,0.6775,1.1397,0.6639,0.6497,0.6911,0.6761,1.1861,0.6524,0.6813,0.6375,0.8655,0.3715,0.8651,0.8651,0.8653
32,0.6716,1.3055,0.6453,0.6329,0.6770,0.6660,1.3624,0.6242,0.6545,0.6127,0.8724,0.3552,0.8716,0.8716,0.8719
33,0.6793,1.3156,0.6501,0.6333,0.6862,0.6710,1.3704,0.6259,0.6617,0.6104,0.8713,0.3555,0.8710,0.8710,0.8711
34,0.6734,1.4425,0.6405,0.6269,0.6769,0.6701,1.5136,0.6170,0.6537,0.6055,0.8738,0.3538,0.8734,0.8734,0.8735
35,0.6767,1.1943,0.6542,0.6433,0.6744,0.6728,1.2357,0.6364,0.6571,0.6254,0.8749,0.3516,0.8753,0.8751,0.8757
36,0.6704,1.9558,0.6230,0.6134,0.6525,0.6712,2.1251,0.6130,0.6379,0.6050,0.8774,0.3403,0.8770,0.8769,0.8772
37,0.6762,1.8431,0.6295,0.6162,0.6618,0.6728,2.0475,0.6152,0.6441,0.6037,0.8798,0.3339,0.8793,0.8793,0.8795
38,0.6769,1.1626,0.6619,0.6463,0.6895,0.6738,1.2010,0.6481,0.6717,0.6340,0.8801,0.3336,0.8797,0.8796,0.8799
39,0.6716,1.5984,0.6309,0.6187,0.6646,0.6677,1.7433,0.6120,0.6456,0.6014,0.8786,0.3382,0.8782,0.8781,0.8784
40,0.6776,1.1986,0.6581,0.6449,0.6829,0.6731,1.2301,0.6473,0.6715,0.6341,0.8752,0.3441,0.8748,0.8748,0.8750
41,0.6780,1.4137,0.6452,0.6304,0.6809,0.6722,1.5712,0.6264,0.6612,0.6128,0.8754,0.3423,0.8746,0.8745,0.8747
