Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.6017,1.0523,0.5465,0.6083,0.5664,0.5988,1.0554,0.5454,0.5654,0.6182,0.5237,1.2766,0.5228,0.5239,0.5230
2,0.6985,0.8538,0.6318,0.6694,0.6254,0.6933,0.8768,0.6143,0.6089,0.6504,0.6730,0.8992,0.6710,0.6724,0.6707
3,0.7145,0.8298,0.6323,0.6959,0.6264,0.6994,0.8450,0.6182,0.6133,0.6835,0.7293,0.7561,0.7301,0.7309,0.7296
4,0.7256,0.8250,0.6496,0.7272,0.6279,0.7267,0.8183,0.6506,0.6268,0.7216,0.7729,0.6362,0.7730,0.7740,0.7724
5,0.7653,0.7190,0.7040,0.7486,0.6816,0.7495,0.7444,0.6814,0.6613,0.7219,0.7953,0.5785,0.7966,0.7978,0.7959
6,0.7722,0.6785,0.6917,0.7353,0.6766,0.7699,0.6926,0.6892,0.6765,0.7268,0.8154,0.5123,0.8164,0.8171,0.8161
7,0.7396,0.8261,0.6833,0.7486,0.6647,0.7271,0.8587,0.6604,0.6441,0.7246,0.8366,0.4548,0.8368,0.8374,0.8365
8,0.7676,0.7123,0.6798,0.7350,0.6537,0.7483,0.7509,0.6601,0.6387,0.7175,0.8535,0.4099,0.8532,0.8533,0.8532
9,0.8106,0.5758,0.7395,0.7301,0.7543,0.8122,0.5948,0.7254,0.7373,0.7163,0.8618,0.3814,0.8614,0.8617,0.8612
10,0.8347,0.5290,0.7736,0.7900,0.7608,0.8248,0.5538,0.7487,0.7363,0.7638,0.9177,0.2415,0.9182,0.9186,0.9180
11,0.8269,0.5423,0.7583,0.7749,0.7491,0.8216,0.5792,0.7453,0.7335,0.7623,0.9367,0.1902,0.9365,0.9369,0.9364
12,0.8299,0.5766,0.7692,0.7871,0.7568,0.8248,0.6031,0.7506,0.7380,0.7659,0.9459,0.1642,0.9462,0.9463,0.9463
13,0.8390,0.5714,0.7832,0.7898,0.7828,0.8314,0.5953,0.7619,0.7590,0.7680,0.9535,0.1296,0.9536,0.9539,0.9535
14,0.8308,0.6171,0.7653,0.7851,0.7617,0.8175,0.6433,0.7441,0.7380,0.7604,0.9590,0.1213,0.9587,0.9587,0.9587
15,0.8230,0.6333,0.7559,0.7732,0.7495,0.8200,0.6664,0.7365,0.7357,0.7482,0.9582,0.1191,0.9581,0.9582,0.9581
16,0.8253,0.6751,0.7447,0.7609,0.7381,0.8187,0.7034,0.7289,0.7246,0.7403,0.9610,0.1145,0.9609,0.9609,0.9610
17,0.8318,0.6285,0.7641,0.7609,0.7778,0.8175,0.6503,0.7377,0.7476,0.7357,0.9635,0.1030,0.9636,0.9635,0.9637
18,0.8282,0.6821,0.7562,0.7640,0.7589,0.8114,0.7125,0.7235,0.7236,0.7288,0.9703,0.0866,0.9702,0.9703,0.9702
19,0.8465,0.5927,0.7777,0.7718,0.7900,0.8367,0.6417,0.7576,0.7737,0.7464,0.9736,0.0762,0.9741,0.9741,0.9740
20,0.8432,0.6060,0.7766,0.7780,0.7856,0.8305,0.6373,0.7419,0.7511,0.7391,0.9798,0.0607,0.9798,0.9798,0.9798
21,0.8445,0.6151,0.7813,0.7866,0.7788,0.8371,0.6614,0.7586,0.7642,0.7562,0.9841,0.0507,0.9842,0.9843,0.9842
22,0.8439,0.6214,0.7729,0.7687,0.7858,0.8395,0.6635,0.7539,0.7672,0.7456,0.9879,0.0447,0.9879,0.9878,0.9879
23,0.8426,0.6290,0.7790,0.7843,0.7814,0.8379,0.6602,0.7585,0.7590,0.7605,0.9853,0.0437,0.9852,0.9852,0.9852
24,0.8445,0.6262,0.7777,0.7705,0.7960,0.8375,0.6627,0.7555,0.7711,0.7465,0.9876,0.0390,0.9877,0.9877,0.9877
25,0.8520,0.6272,0.7892,0.7850,0.7988,0.8436,0.6730,0.7637,0.7751,0.7561,0.9879,0.0368,0.9878,0.9878,0.9878
26,0.8481,0.6289,0.7889,0.7812,0.8022,0.8436,0.6774,0.7680,0.7849,0.7561,0.9896,0.0336,0.9897,0.9897,0.9897
27,0.8429,0.6549,0.7735,0.7772,0.7771,0.8387,0.6927,0.7606,0.7664,0.7595,0.9906,0.0311,0.9906,0.9906,0.9907
28,0.8494,0.6365,0.7824,0.7814,0.7913,0.8428,0.6750,0.7631,0.7730,0.7584,0.9903,0.0297,0.9903,0.9903,0.9903
29,0.8507,0.6330,0.7853,0.7838,0.7903,0.8448,0.6789,0.7680,0.7758,0.7631,0.9925,0.0247,0.9925,0.9925,0.9925
30,0.8497,0.6257,0.7874,0.7850,0.7951,0.8452,0.6692,0.7670,0.7764,0.7605,0.9937,0.0229,0.9936,0.9936,0.9935
31,0.8478,0.6382,0.7839,0.7853,0.7888,0.8403,0.6891,0.7662,0.7718,0.7635,0.9935,0.0234,0.9934,0.9934,0.9934
32,0.8501,0.6363,0.7869,0.7874,0.7936,0.8391,0.6907,0.7628,0.7693,0.7594,0.9927,0.0232,0.9926,0.9926,0.9926
33,0.8484,0.6346,0.7822,0.7824,0.7865,0.8420,0.6894,0.7645,0.7729,0.7595,0.9945,0.0207,0.9945,0.9945,0.9945
34,0.8497,0.6292,0.7842,0.7798,0.7973,0.8436,0.6916,0.7641,0.7787,0.7549,0.9944,0.0212,0.9945,0.9945,0.9945
35,0.8523,0.6339,0.7863,0.7777,0.8029,0.8501,0.6954,0.7662,0.7843,0.7543,0.9942,0.0221,0.9942,0.9942,0.9942
36,0.8537,0.6620,0.7907,0.7811,0.8108,0.8468,0.7211,0.7669,0.7894,0.7552,0.9942,0.0223,0.9942,0.9942,0.9942
37,0.8488,0.6335,0.7851,0.7823,0.7943,0.8468,0.6884,0.7640,0.7806,0.7539,0.9947,0.0206,0.9947,0.9947,0.9948
38,0.8501,0.6345,0.7866,0.7846,0.7942,0.8460,0.6899,0.7661,0.7815,0.7571,0.9929,0.0219,0.9927,0.9928,0.9927
39,0.8533,0.6316,0.7884,0.7816,0.8040,0.8501,0.6908,0.7720,0.7883,0.7625,0.9950,0.0202,0.9951,0.9951,0.9951
40,0.8491,0.6277,0.7871,0.7845,0.7934,0.8477,0.6845,0.7685,0.7777,0.7619,0.9946,0.0183,0.9946,0.9946,0.9946
41,0.8491,0.6311,0.7833,0.7831,0.7908,0.8440,0.6804,0.7593,0.7746,0.7515,0.9940,0.0207,0.9940,0.9940,0.9940
42,0.8497,0.6538,0.7868,0.7908,0.7896,0.8391,0.7055,0.7612,0.7673,0.7595,0.9953,0.0177,0.9953,0.9954,0.9953
43,0.8514,0.6327,0.7880,0.7872,0.7942,0.8428,0.6892,0.7648,0.7757,0.7590,0.9964,0.0165,0.9964,0.9964,0.9964
44,0.8520,0.6395,0.7890,0.7834,0.8028,0.8525,0.7006,0.7713,0.7894,0.7608,0.9960,0.0163,0.9960,0.9960,0.9960
45,0.8527,0.6354,0.7905,0.7860,0.8007,0.8489,0.6947,0.7716,0.7872,0.7618,0.9949,0.0185,0.9949,0.9949,0.9949
46,0.8501,0.6525,0.7869,0.7836,0.7968,0.8477,0.7083,0.7655,0.7772,0.7582,0.9952,0.0176,0.9951,0.9951,0.9951
47,0.8527,0.6472,0.7861,0.7767,0.8059,0.8501,0.7095,0.7679,0.7905,0.7551,0.9944,0.0194,0.9945,0.9945,0.9945
48,0.8533,0.6365,0.7915,0.7870,0.8018,0.8481,0.6948,0.7700,0.7825,0.7620,0.9965,0.0155,0.9965,0.9966,0.9965
49,0.8507,0.6387,0.7872,0.7780,0.8047,0.8505,0.7023,0.7723,0.7912,0.7604,0.9943,0.0178,0.9943,0.9943,0.9943
50,0.8543,0.6365,0.7900,0.7839,0.8034,0.8493,0.6955,0.7716,0.7896,0.7605,0.9948,0.0173,0.9948,0.9947,0.9948
51,0.8533,0.6259,0.7920,0.7898,0.7988,0.8444,0.6849,0.7666,0.7779,0.7593,0.9950,0.0169,0.9950,0.9950,0.9950
52,0.8527,0.6387,0.7873,0.7873,0.7942,0.8440,0.6948,0.7665,0.7772,0.7610,0.9965,0.0146,0.9965,0.9965,0.9965
53,0.8527,0.6353,0.7902,0.7854,0.8038,0.8464,0.6924,0.7645,0.7809,0.7554,0.9956,0.0167,0.9955,0.9956,0.9955
54,0.8533,0.6337,0.7905,0.7894,0.7975,0.8468,0.6856,0.7687,0.7799,0.7624,0.9964,0.0159,0.9964,0.9964,0.9964
55,0.8523,0.6371,0.7904,0.7870,0.8015,0.8456,0.6963,0.7681,0.7793,0.7620,0.9951,0.0172,0.9951,0.9951,0.9952
56,0.8523,0.6428,0.7894,0.7860,0.8019,0.8420,0.6949,0.7613,0.7752,0.7546,0.9963,0.0158,0.9964,0.9964,0.9964
57,0.8507,0.6476,0.7893,0.7807,0.8055,0.8489,0.7105,0.7687,0.7822,0.7597,0.9948,0.0175,0.9948,0.9948,0.9949
58,0.8501,0.6401,0.7844,0.7794,0.8006,0.8452,0.6962,0.7652,0.7801,0.7566,0.9952,0.0183,0.9952,0.9952,0.9952
59,0.8514,0.6329,0.7886,0.7854,0.7999,0.8477,0.6870,0.7684,0.7832,0.7601,0.9951,0.0165,0.9951,0.9951,0.9951
60,0.8527,0.6426,0.7896,0.7862,0.7982,0.8448,0.7030,0.7676,0.7809,0.7591,0.9951,0.0171,0.9952,0.9952,0.9952
61,0.8533,0.6494,0.7909,0.7868,0.8039,0.8440,0.7024,0.7643,0.7781,0.7576,0.9969,0.0146,0.9970,0.9970,0.9970
62,0.8530,0.6392,0.7889,0.7823,0.8054,0.8456,0.6952,0.7643,0.7819,0.7537,0.9956,0.0160,0.9957,0.9957,0.9957
63,0.8530,0.6388,0.7903,0.7802,0.8091,0.8452,0.7047,0.7667,0.7868,0.7537,0.9952,0.0177,0.9952,0.9952,0.9952
64,0.8533,0.6439,0.7912,0.7889,0.7988,0.8468,0.7030,0.7694,0.7846,0.7604,0.9952,0.0169,0.9951,0.9951,0.9951
65,0.8553,0.6455,0.7914,0.7867,0.8008,0.8493,0.7097,0.7727,0.7885,0.7618,0.9961,0.0158,0.9962,0.9962,0.9962
66,0.8517,0.6573,0.7895,0.7861,0.8020,0.8456,0.7093,0.7650,0.7756,0.7608,0.9955,0.0157,0.9956,0.9956,0.9956
67,0.8501,0.6365,0.7863,0.7826,0.7984,0.8436,0.6960,0.7664,0.7780,0.7597,0.9972,0.0143,0.9973,0.9973,0.9973
68,0.8507,0.6247,0.7886,0.7827,0.7989,0.8452,0.6873,0.7660,0.7816,0.7546,0.9953,0.0175,0.9953,0.9953,0.9953
69,0.8523,0.6311,0.7895,0.7865,0.7989,0.8428,0.6921,0.7596,0.7657,0.7563,0.9957,0.0160,0.9956,0.9956,0.9957
70,0.8517,0.6485,0.7844,0.7797,0.7976,0.8493,0.7085,0.7693,0.7897,0.7575,0.9953,0.0182,0.9954,0.9953,0.9954
71,0.8530,0.6575,0.7895,0.7866,0.7998,0.8444,0.7149,0.7625,0.7756,0.7558,0.9964,0.0154,0.9965,0.9965,0.9965
72,0.8520,0.6434,0.7864,0.7877,0.7914,0.8432,0.6965,0.7593,0.7681,0.7547,0.9963,0.0155,0.9963,0.9963,0.9963
73,0.8523,0.6462,0.7877,0.7823,0.7990,0.8509,0.7075,0.7731,0.7901,0.7620,0.9966,0.0139,0.9966,0.9966,0.9966
74,0.8497,0.6414,0.7862,0.7889,0.7891,0.8452,0.6913,0.7613,0.7709,0.7565,0.9954,0.0168,0.9954,0.9954,0.9954
75,0.8517,0.6456,0.7849,0.7819,0.7947,0.8493,0.7075,0.7682,0.7815,0.7611,0.9950,0.0193,0.9950,0.9949,0.9950
76,0.8501,0.6499,0.7864,0.7851,0.7941,0.8473,0.7016,0.7667,0.7767,0.7620,0.9967,0.0138,0.9967,0.9967,0.9967
