Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.2080,2.6752,0.1306,0.1950,0.1824,0.1895,2.8206,0.1189,0.1432,0.1841,0.1621,2.0386,0.1546,0.1567,0.1616
2,0.1638,nan,0.1359,0.1832,0.1583,0.1569,nan,0.1318,0.1597,0.1760,0.1891,1.9736,0.1665,0.1706,0.1887
3,0.4082,nan,0.3531,0.3990,0.3649,0.3898,nan,0.3353,0.3546,0.3827,0.3095,1.7776,0.2841,0.2815,0.3111
4,0.4648,nan,0.4070,0.4266,0.4121,0.4502,nan,0.3916,0.4014,0.4113,0.4216,1.5234,0.3967,0.3895,0.4205
5,0.4533,nan,0.4248,0.4769,0.4483,0.4521,nan,0.4147,0.4441,0.4632,0.4797,1.3803,0.4601,0.4549,0.4790
6,0.5274,nan,0.4700,0.5340,0.4669,0.5324,nan,0.4769,0.4781,0.5404,0.5185,1.2875,0.5024,0.4976,0.5171
7,0.5287,1.2231,0.4783,0.5341,0.4952,0.5298,1.2170,0.4791,0.4983,0.5349,0.5457,1.2096,0.5334,0.5291,0.5445
8,0.5435,1.1947,0.4968,0.5660,0.4997,0.5413,1.2010,0.4901,0.4942,0.5523,0.5692,1.1518,0.5590,0.5549,0.5704
9,0.5816,1.1234,0.5557,0.5642,0.5668,0.5801,1.1063,0.5411,0.5550,0.5467,0.5941,1.0890,0.5851,0.5816,0.5934
10,0.6162,1.0387,0.5940,0.6091,0.5841,0.6146,1.0270,0.5879,0.5778,0.6049,0.6451,0.9556,0.6389,0.6373,0.6462
11,0.6216,1.0271,0.5976,0.6102,0.5945,0.6172,1.0268,0.5892,0.5868,0.6022,0.6614,0.9068,0.6548,0.6525,0.6612
