Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.6992,0.8740,0.6176,0.6872,0.6097,0.6737,0.9142,0.6018,0.5953,0.6765,0.6048,1.1650,0.6050,0.6066,0.6039
2,0.7493,0.8013,0.6441,0.6636,0.6773,0.7422,0.8051,0.6322,0.6588,0.6595,0.7875,0.5963,0.7876,0.7881,0.7872
3,0.7738,0.7109,0.6982,0.7217,0.6895,0.7690,0.7131,0.6907,0.6785,0.7188,0.8439,0.4443,0.8446,0.8449,0.8444
4,0.7898,0.6871,0.7065,0.7235,0.7057,0.7813,0.7486,0.6965,0.6924,0.7149,0.8672,0.3742,0.8674,0.8678,0.8671
5,0.7608,0.7971,0.6799,0.6944,0.6933,0.7544,0.8149,0.6687,0.6831,0.6795,0.8872,0.3232,0.8872,0.8875,0.8870
6,0.7865,0.7373,0.7084,0.7338,0.6910,0.7866,0.7677,0.6963,0.6796,0.7205,0.9075,0.2620,0.9076,0.9079,0.9075
7,0.7552,0.7655,0.6784,0.6900,0.6955,0.7418,0.7825,0.6624,0.6705,0.6765,0.9118,0.2486,0.9109,0.9112,0.9107
8,0.8012,0.7160,0.7141,0.7431,0.6936,0.7923,0.7663,0.7111,0.6914,0.7382,0.9251,0.2201,0.9245,0.9245,0.9247
9,0.7757,0.7890,0.7000,0.7358,0.6814,0.7605,0.8937,0.6834,0.6642,0.7213,0.9295,0.2010,0.9293,0.9295,0.9292
10,0.8090,0.7037,0.7152,0.7357,0.7026,0.8053,0.7241,0.7188,0.7053,0.7390,0.9323,0.1933,0.9323,0.9324,0.9323
11,0.7920,0.7927,0.7153,0.7268,0.7131,0.7845,0.8381,0.7078,0.7011,0.7270,0.9351,0.1861,0.9354,0.9356,0.9353
12,0.7696,0.8364,0.6833,0.7202,0.6680,0.7707,0.8994,0.7090,0.6912,0.7430,0.9462,0.1597,0.9462,0.9462,0.9461
13,0.8184,0.6751,0.7383,0.7438,0.7375,0.8057,0.7611,0.7192,0.7203,0.7215,0.9465,0.1571,0.9465,0.9465,0.9465
14,0.7441,1.0111,0.6604,0.6932,0.6509,0.7344,1.0270,0.6626,0.6500,0.6968,0.9521,0.1435,0.9521,0.9521,0.9521
15,0.7969,0.8667,0.7214,0.7327,0.7338,0.7980,0.8984,0.7312,0.7354,0.7420,0.9477,0.1472,0.9476,0.9475,0.9477
16,0.8044,0.7276,0.7184,0.7331,0.7165,0.7923,0.7901,0.7128,0.7121,0.7244,0.9509,0.1436,0.9508,0.9508,0.9508
17,0.8217,0.7304,0.7488,0.7396,0.7825,0.8106,0.7779,0.7095,0.7247,0.7095,0.9582,0.1258,0.9582,0.9583,0.9582
18,0.7934,0.8437,0.7093,0.7153,0.7125,0.7878,0.8913,0.7107,0.7158,0.7153,0.9585,0.1257,0.9591,0.9592,0.9591
19,0.8152,0.7028,0.7415,0.7385,0.7527,0.8061,0.7161,0.7276,0.7317,0.7285,0.9557,0.1264,0.9555,0.9555,0.9555
20,0.8204,0.7536,0.7262,0.7237,0.7495,0.8081,0.8322,0.7289,0.7503,0.7252,0.9644,0.1025,0.9642,0.9643,0.9642
21,0.7810,0.8495,0.7019,0.7274,0.6987,0.7735,0.9441,0.6914,0.6885,0.7145,0.9596,0.1142,0.9597,0.9597,0.9597
22,0.8237,0.6776,0.7549,0.7477,0.7687,0.8094,0.7481,0.7247,0.7403,0.7164,0.9567,0.1253,0.9568,0.9568,0.9569
23,0.8178,0.7655,0.7410,0.7553,0.7297,0.8277,0.7711,0.7498,0.7468,0.7547,0.9668,0.1010,0.9668,0.9669,0.9668
24,0.8171,0.7995,0.7441,0.7547,0.7386,0.7919,0.8775,0.7110,0.6973,0.7316,0.9653,0.1002,0.9652,0.9653,0.9651
25,0.8077,0.8699,0.7164,0.7343,0.7078,0.7959,0.8937,0.7099,0.7005,0.7271,0.9643,0.0979,0.9643,0.9644,0.9643
26,0.8305,0.7718,0.7501,0.7428,0.7726,0.8171,0.8279,0.7323,0.7408,0.7295,0.9732,0.0813,0.9735,0.9735,0.9735
27,0.8243,0.7997,0.7372,0.7576,0.7261,0.8126,0.8412,0.7292,0.7211,0.7531,0.9688,0.0940,0.9688,0.9688,0.9688
