Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.6077,1.0808,0.5969,0.5975,0.6109,0.5963,1.0793,0.5798,0.5936,0.5801,0.5910,1.0967,0.5882,0.5868,0.5918
2,0.6386,1.0233,0.6248,0.6214,0.6450,0.6284,1.0350,0.6125,0.6346,0.6097,0.7290,0.7358,0.7281,0.7281,0.7293
3,0.6434,1.1013,0.6380,0.6259,0.6684,0.6425,1.1072,0.6300,0.6630,0.6158,0.7968,0.5729,0.7969,0.7969,0.7974
4,0.6684,1.0332,0.6624,0.6520,0.6774,0.6684,1.0240,0.6464,0.6543,0.6406,0.8316,0.4852,0.8314,0.8314,0.8318
5,0.6492,1.2060,0.6323,0.6398,0.6555,0.6458,1.1918,0.6151,0.6323,0.6221,0.8635,0.3928,0.8637,0.8637,0.8639
6,0.6587,1.2442,0.6492,0.6523,0.6508,0.6578,1.2414,0.6362,0.6373,0.6385,0.8834,0.3469,0.8840,0.8841,0.8840
7,0.6498,1.2912,0.6461,0.6472,0.6552,0.6459,1.2843,0.6365,0.6479,0.6356,0.9033,0.2876,0.9036,0.9035,0.9037
8,0.6542,1.2640,0.6488,0.6384,0.6709,0.6524,1.2636,0.6399,0.6681,0.6272,0.9175,0.2470,0.9173,0.9173,0.9173
9,0.6748,1.3698,0.6596,0.6480,0.6842,0.6691,1.3751,0.6457,0.6696,0.6351,0.9284,0.2143,0.9284,0.9284,0.9284
10,0.6932,1.4688,0.6788,0.6697,0.6929,0.6907,1.4195,0.6695,0.6905,0.6568,0.9637,0.1115,0.9640,0.9640,0.9640
11,0.6920,1.5631,0.6795,0.6668,0.7020,0.6921,1.4990,0.6723,0.7030,0.6555,0.9763,0.0736,0.9763,0.9763,0.9763
12,0.6892,1.6594,0.6769,0.6612,0.6997,0.6947,1.6183,0.6754,0.7067,0.6566,0.9831,0.0537,0.9831,0.9831,0.9831
13,0.6928,1.6501,0.6803,0.6691,0.6993,0.6963,1.6089,0.6783,0.7066,0.6615,0.9842,0.0502,0.9842,0.9842,0.9842
14,0.6846,1.8595,0.6741,0.6635,0.6893,0.6977,1.7932,0.6791,0.7043,0.6629,0.9864,0.0434,0.9864,0.9864,0.9864
15,0.6921,1.7853,0.6783,0.6702,0.6929,0.6956,1.7178,0.6718,0.6926,0.6598,0.9872,0.0379,0.9871,0.9871,0.9872
16,0.6832,1.9052,0.6725,0.6595,0.6958,0.6949,1.8103,0.6755,0.7109,0.6564,0.9867,0.0370,0.9868,0.9868,0.9868
17,0.6949,1.8907,0.6795,0.6697,0.6979,0.6980,1.8461,0.6788,0.7059,0.6639,0.9879,0.0363,0.9879,0.9879,0.9879
18,0.6911,1.8892,0.6768,0.6694,0.6904,0.6877,1.8580,0.6635,0.6855,0.6507,0.9882,0.0365,0.9881,0.9881,0.9881
19,0.6957,1.9033,0.6810,0.6693,0.6996,0.6942,1.8728,0.6698,0.6953,0.6543,0.9920,0.0231,0.9919,0.9919,0.9919
20,0.6975,2.0120,0.6807,0.6722,0.6965,0.7005,1.9744,0.6764,0.6966,0.6644,0.9947,0.0155,0.9947,0.9947,0.9947
21,0.6955,2.0350,0.6808,0.6684,0.7009,0.6991,2.0188,0.6751,0.7026,0.6585,0.9947,0.0148,0.9947,0.9947,0.9947
22,0.6969,2.0871,0.6838,0.6738,0.6999,0.7027,2.0399,0.6827,0.7107,0.6657,0.9959,0.0127,0.9959,0.9959,0.9959
23,0.6957,2.1595,0.6802,0.6681,0.7024,0.7041,2.0985,0.6813,0.7139,0.6632,0.9959,0.0115,0.9958,0.9958,0.9958
24,0.6945,2.2601,0.6798,0.6719,0.6932,0.7045,2.1738,0.6841,0.7073,0.6696,0.9968,0.0096,0.9968,0.9968,0.9968
25,0.6991,2.2617,0.6865,0.6748,0.7050,0.7085,2.1786,0.6879,0.7211,0.6686,0.9970,0.0093,0.9970,0.9970,0.9970
26,0.6982,2.2353,0.6855,0.6699,0.7111,0.7011,2.1578,0.6813,0.7193,0.6601,0.9963,0.0105,0.9963,0.9963,0.9963
27,0.6941,2.2720,0.6792,0.6702,0.6936,0.7017,2.2024,0.6807,0.7055,0.6664,0.9962,0.0103,0.9962,0.9962,0.9962
