Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.6786,0.9274,0.6060,0.6562,0.5846,0.6945,0.9131,0.6229,0.6008,0.6751,0.5070,1.3185,0.5098,0.5124,0.5082
2,0.7575,0.6907,0.6784,0.7127,0.6713,0.7507,0.7034,0.6769,0.6667,0.7126,0.7030,0.8395,0.7037,0.7043,0.7034
3,0.7803,0.6348,0.6944,0.7259,0.6882,0.7747,0.6733,0.6986,0.6864,0.7410,0.7948,0.5875,0.7942,0.7948,0.7938
4,0.7836,0.6570,0.7072,0.7371,0.6932,0.7776,0.6722,0.7016,0.6859,0.7297,0.8352,0.4708,0.8354,0.8358,0.8354
5,0.7966,0.6021,0.7306,0.7510,0.7258,0.7947,0.6176,0.7263,0.7221,0.7417,0.8633,0.4116,0.8631,0.8633,0.8632
6,0.7894,0.6697,0.7241,0.7493,0.7146,0.7768,0.7140,0.7141,0.7012,0.7449,0.8835,0.3437,0.8828,0.8827,0.8829
7,0.7995,0.6461,0.7294,0.7417,0.7229,0.7886,0.6874,0.7059,0.7081,0.7124,0.9023,0.2880,0.9020,0.9021,0.9020
8,0.8070,0.6802,0.7406,0.7616,0.7345,0.7992,0.6937,0.7385,0.7382,0.7504,0.9125,0.2609,0.9122,0.9123,0.9122
9,0.8188,0.5888,0.7398,0.7482,0.7378,0.8253,0.6389,0.7364,0.7428,0.7397,0.9191,0.2418,0.9182,0.9183,0.9182
10,0.8413,0.5464,0.7651,0.7603,0.7748,0.8420,0.6139,0.7574,0.7804,0.7475,0.9448,0.1616,0.9443,0.9443,0.9444
11,0.8305,0.6166,0.7639,0.7586,0.7792,0.8220,0.6513,0.7524,0.7751,0.7448,0.9638,0.1216,0.9636,0.9636,0.9637
12,0.8435,0.5673,0.7749,0.7617,0.7942,0.8395,0.6046,0.7712,0.7914,0.7597,0.9676,0.0998,0.9673,0.9674,0.9673
13,0.8527,0.5640,0.7818,0.7646,0.8043,0.8464,0.6310,0.7719,0.7946,0.7563,0.9751,0.0794,0.9753,0.9753,0.9753
14,0.8468,0.6030,0.7781,0.7640,0.7975,0.8448,0.6433,0.7719,0.7890,0.7589,0.9760,0.0737,0.9760,0.9761,0.9760
15,0.8471,0.6085,0.7829,0.7601,0.8138,0.8456,0.6733,0.7724,0.7955,0.7561,0.9798,0.0652,0.9798,0.9798,0.9799
16,0.8449,0.6267,0.7780,0.7659,0.7983,0.8391,0.6917,0.7617,0.7818,0.7525,0.9814,0.0582,0.9814,0.9813,0.9814
17,0.8475,0.6250,0.7783,0.7713,0.7877,0.8273,0.6928,0.7507,0.7611,0.7458,0.9786,0.0638,0.9787,0.9788,0.9787
18,0.8383,0.6723,0.7719,0.7761,0.7721,0.8358,0.7022,0.7620,0.7659,0.7644,0.9827,0.0565,0.9826,0.9826,0.9826
19,0.8504,0.6354,0.7791,0.7723,0.7910,0.8432,0.6876,0.7673,0.7864,0.7574,0.9840,0.0474,0.9841,0.9841,0.9841
20,0.8550,0.6174,0.7876,0.7719,0.8094,0.8517,0.6690,0.7786,0.8016,0.7661,0.9870,0.0394,0.9869,0.9869,0.9869
21,0.8543,0.6528,0.7842,0.7659,0.8107,0.8440,0.7012,0.7677,0.7991,0.7507,0.9889,0.0353,0.9888,0.9888,0.9888
22,0.8533,0.6546,0.7823,0.7673,0.8023,0.8452,0.7208,0.7665,0.7909,0.7536,0.9892,0.0292,0.9892,0.9892,0.9892
23,0.8530,0.6804,0.7768,0.7534,0.8180,0.8456,0.7289,0.7649,0.8064,0.7456,0.9891,0.0333,0.9891,0.9891,0.9891
24,0.8598,0.6524,0.7918,0.7714,0.8225,0.8464,0.7225,0.7694,0.7969,0.7549,0.9921,0.0255,0.9920,0.9919,0.9920
25,0.8559,0.6423,0.7888,0.7693,0.8171,0.8460,0.7038,0.7783,0.8009,0.7640,0.9897,0.0291,0.9898,0.9898,0.9898
26,0.8491,0.6757,0.7851,0.7630,0.8162,0.8452,0.7459,0.7756,0.8070,0.7553,0.9923,0.0256,0.9922,0.9923,0.9922
27,0.8449,0.7078,0.7786,0.7630,0.8044,0.8350,0.7852,0.7692,0.7986,0.7526,0.9926,0.0256,0.9925,0.9926,0.9925
28,0.8523,0.6789,0.7838,0.7620,0.8145,0.8456,0.7561,0.7736,0.8063,0.7540,0.9929,0.0216,0.9929,0.9929,0.9929
29,0.8559,0.6695,0.7892,0.7693,0.8163,0.8468,0.7452,0.7731,0.8034,0.7558,0.9942,0.0207,0.9942,0.9942,0.9942
30,0.8569,0.6692,0.7907,0.7702,0.8180,0.8497,0.7441,0.7806,0.8078,0.7630,0.9920,0.0214,0.9919,0.9919,0.9920
31,0.8579,0.6722,0.7922,0.7740,0.8181,0.8448,0.7387,0.7736,0.7985,0.7571,0.9941,0.0191,0.9941,0.9940,0.9941
32,0.8546,0.6590,0.7874,0.7720,0.8074,0.8464,0.7246,0.7751,0.7977,0.7595,0.9940,0.0184,0.9939,0.9939,0.9940
33,0.8504,0.6601,0.7835,0.7763,0.7929,0.8432,0.7269,0.7661,0.7771,0.7620,0.9948,0.0192,0.9948,0.9948,0.9948
34,0.8576,0.6671,0.7930,0.7742,0.8180,0.8452,0.7454,0.7706,0.7946,0.7551,0.9951,0.0172,0.9952,0.9952,0.9952
35,0.8523,0.6658,0.7825,0.7620,0.8112,0.8460,0.7320,0.7693,0.7912,0.7548,0.9942,0.0203,0.9942,0.9942,0.9942
36,0.8523,0.6677,0.7845,0.7710,0.8022,0.8452,0.7419,0.7719,0.7909,0.7593,0.9944,0.0156,0.9944,0.9944,0.9944
37,0.8563,0.6689,0.7859,0.7686,0.8077,0.8542,0.7405,0.7792,0.7981,0.7660,0.9956,0.0150,0.9956,0.9956,0.9957
