Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.6242,1.0364,0.5439,0.6195,0.5317,0.6277,1.0303,0.5440,0.5322,0.6126,0.5005,1.3531,0.4975,0.4966,0.4988
2,0.6512,1.0075,0.5534,0.6391,0.5455,0.6595,0.9902,0.5612,0.5556,0.6429,0.6727,0.9049,0.6732,0.6738,0.6728
3,0.6926,0.9101,0.6157,0.6824,0.6001,0.6888,0.9246,0.6162,0.5983,0.6926,0.7282,0.7562,0.7283,0.7288,0.7280
4,0.7855,0.6195,0.6981,0.7048,0.7046,0.7650,0.6690,0.6710,0.6785,0.6793,0.7630,0.6712,0.7642,0.7654,0.7635
5,0.7803,0.6240,0.6997,0.7076,0.7058,0.7613,0.6857,0.6746,0.6670,0.6896,0.7885,0.5982,0.7880,0.7883,0.7880
6,0.7516,0.7130,0.6745,0.6962,0.6601,0.7405,0.7586,0.6674,0.6587,0.6835,0.8039,0.5506,0.8053,0.8058,0.8051
7,0.7617,0.7249,0.6869,0.7314,0.6652,0.7499,0.7342,0.6763,0.6570,0.7175,0.8230,0.5087,0.8241,0.8244,0.8240
8,0.7510,0.7270,0.6549,0.6933,0.6470,0.7556,0.7535,0.6595,0.6547,0.6913,0.8285,0.4751,0.8292,0.8294,0.8291
9,0.7660,0.7204,0.6930,0.7196,0.6959,0.7487,0.7881,0.6666,0.6723,0.6874,0.8363,0.4648,0.8361,0.8363,0.8359
10,0.8165,0.5743,0.7437,0.7599,0.7338,0.8016,0.6209,0.7234,0.7082,0.7441,0.8933,0.3146,0.8939,0.8945,0.8937
11,0.8230,0.5586,0.7531,0.7629,0.7503,0.8147,0.6106,0.7335,0.7309,0.7406,0.9102,0.2623,0.9104,0.9103,0.9106
12,0.8129,0.6066,0.7428,0.7621,0.7326,0.7931,0.6719,0.7186,0.7088,0.7436,0.9180,0.2409,0.9180,0.9181,0.9180
13,0.8259,0.5629,0.7546,0.7534,0.7616,0.8183,0.6346,0.7371,0.7392,0.7405,0.9324,0.2010,0.9321,0.9321,0.9322
14,0.8269,0.6030,0.7549,0.7489,0.7633,0.8167,0.6753,0.7330,0.7375,0.7302,0.9314,0.2010,0.9318,0.9317,0.9319
15,0.8188,0.5973,0.7425,0.7542,0.7333,0.8118,0.6733,0.7378,0.7290,0.7496,0.9326,0.1894,0.9327,0.9328,0.9327
16,0.8181,0.6378,0.7485,0.7498,0.7516,0.8086,0.6916,0.7332,0.7335,0.7361,0.9412,0.1619,0.9409,0.9408,0.9410
17,0.8162,0.6255,0.7540,0.7510,0.7679,0.8110,0.6823,0.7300,0.7432,0.7281,0.9337,0.1857,0.9334,0.9334,0.9335
18,0.8139,0.6222,0.7484,0.7534,0.7473,0.8118,0.6778,0.7346,0.7337,0.7388,0.9452,0.1616,0.9446,0.9447,0.9446
