Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.4944,1.3884,0.4183,0.4754,0.4271,0.4923,1.4075,0.4190,0.4314,0.4688,0.3616,1.7629,0.3542,0.3498,0.3610
2,0.5180,1.3659,0.4661,0.5202,0.4757,0.5209,1.3911,0.4678,0.4770,0.5163,0.5067,1.3528,0.5005,0.4965,0.5066
3,0.5692,1.1711,0.5354,0.5576,0.5285,0.5632,1.1758,0.5150,0.5105,0.5354,0.5307,1.2800,0.5250,0.5215,0.5311
4,0.5765,1.2117,0.5222,0.5636,0.5170,0.5768,1.1944,0.5149,0.5119,0.5563,0.5683,1.1718,0.5620,0.5587,0.5677
5,0.5921,1.1167,0.5723,0.5828,0.5702,0.5953,1.1033,0.5629,0.5644,0.5680,0.5844,1.1298,0.5793,0.5766,0.5849
6,0.5947,1.3022,0.5461,0.5633,0.5508,0.5808,1.2409,0.5288,0.5359,0.5436,0.5907,1.1223,0.5862,0.5834,0.5912
7,0.5575,1.6177,0.5314,0.5478,0.5264,0.5695,1.7118,0.5397,0.5334,0.5557,0.5716,1.1770,0.5663,0.5636,0.5714
8,0.5587,1.3509,0.5301,0.5445,0.5337,0.5437,1.3806,0.5112,0.5138,0.5300,0.5810,1.1479,0.5757,0.5727,0.5803
9,0.5677,1.1882,0.5222,0.5721,0.5136,0.5731,1.2047,0.5265,0.5189,0.5731,0.5781,1.1693,0.5726,0.5698,0.5775
10,0.6516,0.9672,0.6287,0.6391,0.6240,0.6588,0.9673,0.6321,0.6273,0.6406,0.6522,0.9365,0.6487,0.6469,0.6533
11,0.6559,0.9401,0.6387,0.6387,0.6404,0.6562,0.9434,0.6353,0.6361,0.6364,0.6833,0.8596,0.6809,0.6805,0.6838
12,0.6580,0.9612,0.6412,0.6522,0.6355,0.6583,0.9699,0.6385,0.6353,0.6438,0.6952,0.8184,0.6930,0.6925,0.6966
