Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.5153,1.2919,0.4648,0.5694,0.5152,0.5035,1.2985,0.4510,0.4935,0.5564,0.4709,1.3747,0.4690,0.4697,0.4708
2,0.6607,0.9965,0.5822,0.6377,0.5810,0.6546,1.0282,0.5766,0.5738,0.6400,0.6988,0.8328,0.6979,0.6991,0.6973
3,0.6923,0.9007,0.6171,0.6866,0.5903,0.6900,0.9125,0.6194,0.5953,0.6881,0.7703,0.6356,0.7699,0.7706,0.7696
4,0.7810,0.6825,0.6854,0.7130,0.6755,0.7695,0.7151,0.6824,0.6757,0.7084,0.8134,0.5199,0.8148,0.8157,0.8143
5,0.7611,0.7216,0.6926,0.7093,0.7062,0.7462,0.7580,0.6774,0.6842,0.6980,0.8450,0.4342,0.8450,0.8452,0.8449
6,0.7761,0.7187,0.6851,0.7206,0.6643,0.7711,0.7315,0.6905,0.6723,0.7243,0.8685,0.3683,0.8679,0.8684,0.8677
7,0.7702,0.7466,0.6786,0.7139,0.6642,0.7670,0.7901,0.6944,0.6751,0.7352,0.8799,0.3373,0.8802,0.8806,0.8801
8,0.7070,0.9031,0.6503,0.6849,0.6595,0.7161,0.8953,0.6581,0.6740,0.6878,0.9003,0.2913,0.9008,0.9013,0.9005
9,0.7904,0.7112,0.6978,0.7033,0.7017,0.7959,0.7299,0.7171,0.7258,0.7183,0.9069,0.2659,0.9068,0.9071,0.9066
10,0.8230,0.6121,0.7481,0.7560,0.7423,0.8147,0.6472,0.7348,0.7383,0.7350,0.9366,0.1773,0.9374,0.9376,0.9374
11,0.8289,0.6323,0.7604,0.7632,0.7653,0.8187,0.6723,0.7459,0.7511,0.7472,0.9600,0.1166,0.9597,0.9598,0.9597
12,0.8243,0.6765,0.7566,0.7612,0.7574,0.8200,0.7145,0.7486,0.7493,0.7517,0.9634,0.1076,0.9631,0.9632,0.9631
13,0.8188,0.6910,0.7395,0.7494,0.7340,0.8167,0.7042,0.7372,0.7365,0.7435,0.9631,0.1058,0.9633,0.9633,0.9632
14,0.8152,0.7208,0.7409,0.7560,0.7311,0.8143,0.7338,0.7465,0.7371,0.7611,0.9656,0.0995,0.9654,0.9654,0.9654
15,0.8269,0.6842,0.7495,0.7546,0.7464,0.8134,0.6997,0.7430,0.7379,0.7494,0.9704,0.0840,0.9702,0.9702,0.9702
