Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.4925,1.3591,0.4359,0.4787,0.4319,0.4909,1.3508,0.4334,0.4312,0.4753,0.3323,1.8071,0.3272,0.3235,0.3326
2,0.5453,1.2154,0.4852,0.5403,0.4885,0.5475,1.2110,0.4853,0.4906,0.5403,0.4767,1.3967,0.4701,0.4656,0.4769
3,0.5699,1.1752,0.5208,0.5721,0.5160,0.5712,1.1634,0.5214,0.5151,0.5703,0.5426,1.2397,0.5360,0.5325,0.5419
4,0.6000,1.1023,0.5614,0.5901,0.5552,0.5923,1.1163,0.5496,0.5432,0.5768,0.5759,1.1542,0.5718,0.5688,0.5770
5,0.5917,1.1171,0.5612,0.5865,0.5503,0.5916,1.0995,0.5565,0.5465,0.5809,0.6023,1.0776,0.5961,0.5930,0.6009
6,0.6240,1.0479,0.5947,0.6021,0.5927,0.6209,1.0696,0.5902,0.5858,0.5992,0.6109,1.0611,0.6060,0.6037,0.6101
7,0.6206,1.0516,0.5999,0.6121,0.5977,0.6216,1.0530,0.5953,0.5938,0.6048,0.6260,1.0119,0.6220,0.6198,0.6258
8,0.6247,1.0640,0.5991,0.6196,0.5942,0.6351,1.0513,0.6034,0.5978,0.6241,0.6394,0.9725,0.6389,0.6367,0.6424
9,0.6354,1.0541,0.6133,0.6396,0.6069,0.6304,1.0530,0.5998,0.5943,0.6244,0.6478,0.9651,0.6456,0.6439,0.6486
10,0.6601,0.9446,0.6475,0.6492,0.6512,0.6667,0.9479,0.6454,0.6537,0.6434,0.7002,0.8145,0.6974,0.6966,0.6998
11,0.6620,0.9314,0.6514,0.6426,0.6658,0.6724,0.9377,0.6510,0.6651,0.6421,0.7161,0.7706,0.7158,0.7146,0.7180
12,0.6580,0.9514,0.6430,0.6513,0.6423,0.6627,0.9478,0.6431,0.6438,0.6484,0.7289,0.7294,0.7289,0.7286,0.7305
13,0.6670,0.9380,0.6505,0.6559,0.6481,0.6693,0.9426,0.6468,0.6496,0.6465,0.7408,0.7038,0.7393,0.7384,0.7410
14,0.6583,0.9693,0.6486,0.6549,0.6459,0.6583,0.9785,0.6393,0.6395,0.6424,0.7530,0.6683,0.7510,0.7506,0.7522
15,0.6641,0.9804,0.6508,0.6484,0.6542,0.6625,0.9976,0.6419,0.6520,0.6345,0.7610,0.6468,0.7602,0.7599,0.7614
16,0.6517,0.9972,0.6438,0.6452,0.6465,0.6583,1.0035,0.6451,0.6538,0.6405,0.7674,0.6294,0.7653,0.7647,0.7665
17,0.6773,0.9766,0.6675,0.6665,0.6697,0.6726,0.9803,0.6518,0.6566,0.6484,0.7846,0.5907,0.7836,0.7832,0.7846
18,0.6687,0.9806,0.6631,0.6554,0.6777,0.6682,0.9905,0.6523,0.6642,0.6452,0.7908,0.5791,0.7894,0.7892,0.7903
19,0.6760,0.9810,0.6687,0.6617,0.6817,0.6839,0.9908,0.6673,0.6826,0.6586,0.8072,0.5273,0.8056,0.8054,0.8063
20,0.6718,0.9972,0.6669,0.6618,0.6737,0.6776,1.0021,0.6593,0.6667,0.6537,0.8189,0.4971,0.8186,0.8182,0.8194
21,0.6719,1.0188,0.6598,0.6600,0.6669,0.6719,1.0187,0.6493,0.6596,0.6467,0.8201,0.4907,0.8199,0.8201,0.8200
22,0.6815,1.0050,0.6736,0.6662,0.6897,0.6796,1.0177,0.6618,0.6789,0.6527,0.8293,0.4709,0.8294,0.8291,0.8299
23,0.6768,1.0236,0.6696,0.6568,0.6938,0.6820,1.0376,0.6672,0.6937,0.6530,0.8345,0.4575,0.8333,0.8332,0.8337
24,0.6734,1.0324,0.6672,0.6587,0.6790,0.6816,1.0451,0.6643,0.6770,0.6555,0.8355,0.4489,0.8350,0.8349,0.8353
25,0.6772,1.0518,0.6704,0.6607,0.6840,0.6851,1.0575,0.6662,0.6819,0.6557,0.8425,0.4296,0.8428,0.8428,0.8431
26,0.6799,1.0574,0.6737,0.6624,0.6902,0.6790,1.0858,0.6608,0.6786,0.6494,0.8456,0.4272,0.8456,0.8455,0.8459
27,0.6761,1.0663,0.6683,0.6598,0.6841,0.6797,1.0745,0.6618,0.6804,0.6506,0.8492,0.4147,0.8490,0.8492,0.8491
28,0.6797,1.0762,0.6720,0.6641,0.6848,0.6813,1.0755,0.6622,0.6811,0.6512,0.8599,0.3902,0.8600,0.8599,0.8602
29,0.6800,1.1024,0.6696,0.6671,0.6740,0.6792,1.1063,0.6612,0.6695,0.6557,0.8608,0.3854,0.8606,0.8606,0.8608
30,0.6800,1.0905,0.6689,0.6660,0.6742,0.6841,1.0903,0.6646,0.6739,0.6582,0.8598,0.3834,0.8595,0.8594,0.8598
31,0.6782,1.1107,0.6696,0.6638,0.6777,0.6797,1.1131,0.6614,0.6722,0.6539,0.8667,0.3739,0.8674,0.8673,0.8676
32,0.6743,1.1141,0.6697,0.6594,0.6857,0.6803,1.1135,0.6611,0.6803,0.6489,0.8702,0.3586,0.8699,0.8699,0.8700
33,0.6775,1.1016,0.6740,0.6607,0.6946,0.6797,1.1118,0.6613,0.6860,0.6463,0.8653,0.3639,0.8647,0.8648,0.8648
34,0.6776,1.1120,0.6695,0.6603,0.6841,0.6776,1.1178,0.6563,0.6742,0.6455,0.8706,0.3614,0.8703,0.8703,0.8704
35,0.6796,1.1070,0.6726,0.6607,0.6899,0.6792,1.1048,0.6607,0.6806,0.6472,0.8668,0.3642,0.8667,0.8666,0.8669
36,0.6729,1.1369,0.6651,0.6592,0.6763,0.6787,1.1370,0.6586,0.6727,0.6503,0.8709,0.3562,0.8708,0.8707,0.8710
37,0.6765,1.1209,0.6668,0.6606,0.6788,0.6811,1.1197,0.6604,0.6773,0.6512,0.8716,0.3558,0.8713,0.8713,0.8714
38,0.6764,1.1385,0.6685,0.6625,0.6763,0.6799,1.1370,0.6652,0.6757,0.6571,0.8759,0.3438,0.8755,0.8755,0.8756
39,0.6764,1.1222,0.6675,0.6599,0.6786,0.6785,1.1245,0.6588,0.6743,0.6485,0.8719,0.3561,0.8719,0.8718,0.8720
