Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.6105,1.0909,0.5309,0.5948,0.5292,0.6065,1.0824,0.5267,0.5278,0.588,0.4394,1.5193,0.4377,0.4378,0.438
2,0.6359,1.0581,0.5738,0.6472,0.5603,0.622,1.1036,0.5629,0.5529,0.6392,0.6058,1.0821,0.6063,0.6073,0.6058
3,0.5499,1.4211,0.5171,0.6169,0.5433,0.5572,1.3944,0.5143,0.5368,0.6061,0.6527,0.9576,0.6524,0.6529,0.6521
4,0.6874,0.977,0.5852,0.6423,0.5748,0.679,0.9709,0.5875,0.5773,0.6456,0.6887,0.8667,0.6892,0.6897,0.6889
5,0.705,0.8824,0.6078,0.6746,0.6006,0.6921,0.9261,0.5957,0.5942,0.6584,0.7114,0.8186,0.711,0.7115,0.7106
6,0.6705,0.9998,0.5964,0.6694,0.6157,0.6766,1.064,0.5957,0.6052,0.6693,0.7397,0.7367,0.7418,0.7423,0.7417
7,0.7617,0.7151,0.6692,0.6987,0.6527,0.7527,0.7475,0.6646,0.6498,0.6914,0.7547,0.6896,0.7552,0.7555,0.7551
8,0.7093,0.8613,0.6305,0.6764,0.6414,0.6969,0.8873,0.6179,0.6295,0.6671,0.7678,0.6541,0.7679,0.7681,0.7678
9,0.7441,0.7933,0.6383,0.6686,0.6302,0.7389,0.8374,0.6415,0.6338,0.6662,0.7684,0.6493,0.7687,0.7689,0.7687
10,0.7894,0.632,0.7244,0.7475,0.7091,0.7813,0.6881,0.7134,0.7099,0.7265,0.8433,0.4373,0.8423,0.8425,0.8423
11,0.7943,0.6292,0.7265,0.7443,0.7215,0.8012,0.6463,0.7285,0.7215,0.7455,0.8794,0.3446,0.8797,0.8798,0.8798
12,0.807,0.6195,0.7246,0.7457,0.7106,0.8008,0.6429,0.7176,0.7039,0.7369,0.8904,0.3093,0.8904,0.8905,0.8905
13,0.8162,0.5966,0.7431,0.7583,0.7346,0.7992,0.6563,0.7222,0.7093,0.7398,0.8912,0.301,0.8905,0.8906,0.8905
14,0.8093,0.6114,0.74,0.7583,0.7371,0.811,0.6609,0.7325,0.7246,0.7478,0.9022,0.2622,0.9016,0.9015,0.9018
15,0.8041,0.6572,0.7231,0.7418,0.7165,0.7906,0.7094,0.6982,0.6878,0.7199,0.91,0.2538,0.91,0.9102,0.9099
16,0.8139,0.6158,0.7316,0.7444,0.7266,0.8008,0.6874,0.7166,0.7072,0.7309,0.9116,0.2443,0.9109,0.9109,0.9109
17,0.8015,0.6542,0.7204,0.7451,0.7061,0.7988,0.7104,0.7174,0.6985,0.7437,0.924,0.2174,0.9233,0.9234,0.9233
18,0.807,0.6584,0.7253,0.7495,0.7066,0.8037,0.733,0.7266,0.7098,0.7472,0.9282,0.207,0.9283,0.9283,0.9283
19,0.8357,0.5972,0.77,0.7794,0.7706,0.8191,0.6438,0.739,0.7368,0.7459,0.9396,0.1763,0.9398,0.9397,0.9399
20,0.84,0.5749,0.7623,0.7732,0.7543,0.8334,0.6168,0.754,0.748,0.7622,0.9486,0.1505,0.9483,0.9482,0.9485
21,0.8387,0.59,0.7648,0.769,0.7641,0.8297,0.6526,0.746,0.7465,0.7467,0.9526,0.1375,0.9524,0.9524,0.9524
22,0.8393,0.5897,0.7631,0.7685,0.7624,0.8269,0.651,0.7426,0.7476,0.742,0.9576,0.1247,0.9577,0.9577,0.9578
23,0.8357,0.6066,0.7566,0.7604,0.7591,0.8183,0.6917,0.7292,0.7358,0.7322,0.9591,0.1208,0.9593,0.9593,0.9593
24,0.8426,0.5799,0.7733,0.7694,0.7842,0.8281,0.6692,0.7441,0.7478,0.7429,0.9612,0.1178,0.9615,0.9615,0.9615
25,0.8321,0.6255,0.7553,0.7554,0.7593,0.8212,0.7138,0.729,0.7345,0.7287,0.9653,0.1057,0.9655,0.9655,0.9655
26,0.8338,0.6089,0.7616,0.76,0.7697,0.8204,0.7117,0.736,0.7319,0.743,0.9644,0.1044,0.9645,0.9647,0.9644
27,0.8282,0.6214,0.7561,0.7629,0.7534,0.8261,0.7008,0.7491,0.7401,0.7599,0.9653,0.0989,0.9655,0.9656,0.9654
28,0.8429,0.5897,0.7695,0.7566,0.795,0.8334,0.6766,0.7547,0.7681,0.7474,0.9717,0.0853,0.9716,0.9716,0.9715
29,0.8455,0.6,0.7771,0.7727,0.7872,0.8314,0.6969,0.752,0.7574,0.7496,0.9695,0.0924,0.9696,0.9696,0.9696
30,0.8465,0.6135,0.7778,0.7681,0.8014,0.8305,0.698,0.745,0.758,0.7379,0.9707,0.0835,0.9701,0.9701,0.9702
31,0.8449,0.6002,0.7718,0.7632,0.7935,0.8318,0.686,0.7474,0.7589,0.7412,0.9702,0.0841,0.9705,0.9705,0.9705
32,0.8396,0.6081,0.7707,0.7653,0.7819,0.831,0.6944,0.7528,0.7561,0.7517,0.9748,0.0766,0.9747,0.9748,0.9747
33,0.8299,0.644,0.7577,0.7499,0.7774,0.8248,0.7398,0.7437,0.7594,0.7366,0.9721,0.0794,0.9722,0.9722,0.9722
34,0.839,0.6002,0.764,0.7551,0.7772,0.8293,0.6953,0.7486,0.7591,0.7416,0.9752,0.0777,0.9749,0.9749,0.9749
35,0.8429,0.615,0.7738,0.7712,0.7827,0.8318,0.7147,0.7516,0.76,0.7498,0.9757,0.069,0.9759,0.976,0.9759
36,0.8442,0.599,0.7721,0.7565,0.8002,0.8314,0.7022,0.7454,0.7612,0.7352,0.9737,0.0767,0.9733,0.9733,0.9734
37,0.8403,0.5957,0.7693,0.7627,0.785,0.8277,0.6918,0.7421,0.746,0.7412,0.9768,0.072,0.9765,0.9765,0.9766
38,0.8374,0.6131,0.7639,0.7611,0.7772,0.8265,0.7057,0.7484,0.7518,0.748,0.9754,0.0737,0.9751,0.9751,0.9751
39,0.8413,0.6186,0.7701,0.7602,0.7889,0.8289,0.7214,0.7411,0.7534,0.7352,0.9788,0.0684,0.9789,0.9789,0.979
40,0.8468,0.6138,0.7763,0.7605,0.811,0.831,0.7173,0.7447,0.7691,0.7344,0.9783,0.0658,0.978,0.978,0.978
41,0.8488,0.6168,0.7775,0.7652,0.8057,0.8318,0.711,0.7418,0.7569,0.7339,0.9816,0.0622,0.9816,0.9816,0.9816
42,0.8455,0.6093,0.7766,0.7691,0.7907,0.833,0.7071,0.7514,0.7573,0.7488,0.9804,0.0593,0.9805,0.9805,0.9805
43,0.8409,0.6322,0.7718,0.7697,0.7815,0.8326,0.7299,0.7493,0.753,0.7504,0.9792,0.0637,0.9793,0.9793,0.9794
44,0.8383,0.6174,0.7692,0.7661,0.7849,0.831,0.7083,0.7444,0.7465,0.746,0.9805,0.0607,0.9804,0.9805,0.9804
45,0.8445,0.6205,0.7741,0.7635,0.8007,0.8322,0.7204,0.7456,0.7579,0.7405,0.9821,0.0566,0.9817,0.9817,0.9818
46,0.8478,0.615,0.7795,0.7707,0.799,0.8346,0.7102,0.744,0.7522,0.7406,0.9794,0.063,0.9796,0.9796,0.9797
