Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.5118,1.2686,0.4463,0.4551,0.4906,0.523,1.2647,0.4544,0.4981,0.4645,0.4171,1.5629,0.4033,0.397,0.4151
2,0.5561,1.2091,0.4918,0.5594,0.4943,0.5512,1.2019,0.4885,0.4906,0.5522,0.5067,1.3144,0.4992,0.494,0.5077
3,0.5401,1.2598,0.4907,0.5556,0.5094,0.5404,1.2519,0.4898,0.5068,0.5528,0.5525,1.2046,0.543,0.5388,0.5507
4,0.5972,1.107,0.5642,0.5925,0.5516,0.5813,1.1263,0.5355,0.5243,0.5619,0.5759,1.1434,0.5689,0.5652,0.5759
5,0.5727,1.1377,0.5384,0.5629,0.5389,0.5798,1.1392,0.5415,0.5436,0.5591,0.5918,1.0943,0.5866,0.583,0.5935
6,0.5821,1.1996,0.524,0.5914,0.5516,0.5831,1.1806,0.5195,0.5493,0.5783,0.6094,1.0441,0.6039,0.6013,0.6096
7,0.6077,1.0869,0.5571,0.5832,0.5797,0.6038,1.1059,0.5436,0.5708,0.568,0.6222,1.005,0.6173,0.6139,0.6231
8,0.6364,0.9978,0.6095,0.6267,0.6143,0.636,0.9996,0.5986,0.6048,0.6101,0.6382,0.9699,0.6349,0.6326,0.6394
9,0.6186,1.0672,0.5816,0.5891,0.5896,0.6177,1.0544,0.5854,0.5931,0.5913,0.6516,0.9342,0.6472,0.6449,0.6518
10,0.6641,0.9339,0.6488,0.6553,0.6497,0.6588,0.9441,0.6393,0.6417,0.6424,0.6999,0.8034,0.6959,0.6948,0.6991
11,0.658,0.9319,0.6503,0.6505,0.6537,0.6585,0.945,0.648,0.6577,0.6434,0.7186,0.7572,0.7157,0.715,0.7185
12,0.6686,0.9435,0.6435,0.6675,0.6365,0.6553,0.9545,0.6204,0.613,0.6424,0.7312,0.7237,0.7291,0.7291,0.7311
13,0.6665,0.9561,0.6523,0.6611,0.6522,0.6522,0.9773,0.6365,0.6425,0.638,0.7392,0.6986,0.737,0.7362,0.7391
14,0.6721,0.9346,0.6565,0.6637,0.654,0.6667,0.9387,0.6395,0.6398,0.6432,0.7558,0.6701,0.752,0.7522,0.7537
15,0.6682,0.9687,0.6603,0.6591,0.6699,0.6559,0.9914,0.6344,0.6427,0.6334,0.764,0.6343,0.7626,0.7622,0.7642
16,0.6767,0.97,0.6702,0.6643,0.6825,0.6641,0.9802,0.6403,0.6555,0.6339,0.7772,0.6095,0.7754,0.7755,0.7766
17,0.6828,0.9528,0.6752,0.668,0.6876,0.6757,0.9777,0.6521,0.6643,0.6446,0.7809,0.6,0.7807,0.7803,0.7819
18,0.6711,1.0073,0.6624,0.6631,0.6661,0.6731,1.0006,0.6525,0.6582,0.6508,0.7926,0.5669,0.7918,0.7915,0.7925
19,0.6812,0.9892,0.6748,0.6725,0.6822,0.6761,0.9968,0.6524,0.6562,0.6526,0.8207,0.5017,0.8201,0.82,0.8208
20,0.679,0.998,0.674,0.6682,0.6816,0.6688,1.0133,0.6497,0.6557,0.6453,0.8322,0.465,0.8303,0.8302,0.8309
21,0.6842,1.0185,0.6789,0.6724,0.6897,0.6679,1.0351,0.6476,0.6575,0.6414,0.8353,0.4583,0.8343,0.8343,0.8348
22,0.6797,1.0323,0.6747,0.6674,0.6858,0.6778,1.0362,0.6571,0.6658,0.651,0.8424,0.4389,0.8422,0.8421,0.8426
23,0.6772,1.0909,0.672,0.6668,0.6833,0.6701,1.0999,0.6514,0.6613,0.6475,0.8433,0.4253,0.8422,0.8421,0.8424
24,0.6779,1.0763,0.6753,0.6673,0.6865,0.6764,1.0713,0.657,0.6663,0.6504,0.8521,0.4158,0.8515,0.8515,0.8519
25,0.6767,1.0954,0.6718,0.6696,0.6773,0.6717,1.1068,0.6531,0.6624,0.6478,0.8609,0.3877,0.8609,0.8609,0.861
26,0.675,1.1263,0.6701,0.6633,0.6835,0.6759,1.1288,0.6566,0.6699,0.6491,0.8616,0.3792,0.861,0.861,0.8613
27,0.6812,1.1101,0.672,0.6653,0.6826,0.6775,1.1165,0.6564,0.6656,0.6506,0.8658,0.3667,0.8653,0.8654,0.8654
28,0.6793,1.1392,0.6723,0.6659,0.6837,0.6745,1.1376,0.656,0.669,0.6483,0.8793,0.3382,0.8791,0.8791,0.8794
29,0.678,1.1377,0.671,0.6644,0.6841,0.6705,1.135,0.6524,0.6653,0.6453,0.8783,0.3326,0.8789,0.8788,0.8791
30,0.6815,1.1581,0.6738,0.6667,0.685,0.6797,1.1529,0.6597,0.6697,0.653,0.8812,0.3286,0.8815,0.8815,0.8817
31,0.6799,1.1608,0.6707,0.665,0.6801,0.6782,1.1617,0.658,0.6672,0.6518,0.8875,0.314,0.8868,0.8868,0.8868
32,0.676,1.1808,0.6662,0.6646,0.672,0.674,1.182,0.6521,0.656,0.6516,0.8894,0.3154,0.8887,0.8886,0.8889
33,0.6758,1.18,0.6718,0.6631,0.6874,0.6768,1.1735,0.6586,0.6731,0.6502,0.8888,0.3103,0.8885,0.8886,0.8885
34,0.6794,1.1988,0.6729,0.6653,0.6879,0.6769,1.1945,0.6559,0.668,0.6496,0.8915,0.3024,0.8912,0.8911,0.8915
35,0.6819,1.2022,0.6772,0.666,0.6946,0.6742,1.2066,0.6566,0.6744,0.645,0.8934,0.2917,0.8936,0.8937,0.8936
36,0.6818,1.2212,0.6762,0.6703,0.6863,0.6792,1.2222,0.6597,0.6689,0.6542,0.8952,0.2928,0.8951,0.8949,0.8953
37,0.6778,1.2268,0.673,0.6656,0.6847,0.6707,1.2255,0.6549,0.6683,0.6461,0.9003,0.2853,0.8998,0.8997,0.9
38,0.6758,1.2215,0.6716,0.6647,0.6841,0.6722,1.2271,0.6556,0.6682,0.6482,0.8952,0.2952,0.8953,0.8953,0.8955
39,0.6783,1.2254,0.672,0.6661,0.6822,0.6794,1.2298,0.6586,0.6686,0.653,0.8964,0.2899,0.8964,0.8964,0.8965
40,0.6801,1.2182,0.6758,0.6675,0.6896,0.678,1.2198,0.66,0.6737,0.6516,0.9028,0.2757,0.9028,0.9026,0.903
41,0.6775,1.2116,0.6727,0.6623,0.6882,0.6773,1.2129,0.6588,0.6737,0.6489,0.8999,0.2812,0.8997,0.8996,0.8998
42,0.6768,1.2127,0.6722,0.6667,0.6805,0.6728,1.2151,0.6524,0.6607,0.6466,0.8968,0.2878,0.8967,0.8967,0.8968
43,0.6794,1.1971,0.6741,0.6664,0.6866,0.6766,1.1973,0.6576,0.6688,0.6507,0.9029,0.2744,0.9029,0.9029,0.9031
44,0.6769,1.2204,0.672,0.6662,0.6825,0.6743,1.2302,0.6541,0.6636,0.6491,0.9031,0.2751,0.9026,0.9026,0.9026
45,0.679,1.2345,0.6731,0.6662,0.6847,0.6775,1.2335,0.657,0.6683,0.6505,0.9012,0.2738,0.902,0.9019,0.9022
46,0.675,1.2648,0.6718,0.6653,0.6842,0.6707,1.2622,0.6552,0.6677,0.6478,0.9048,0.2706,0.9039,0.9039,0.904
47,0.6794,1.2358,0.6751,0.6666,0.688,0.6769,1.2403,0.6586,0.6734,0.6492,0.9006,0.2761,0.9009,0.9007,0.9012
48,0.6796,1.2576,0.6754,0.6677,0.6872,0.6743,1.2543,0.6569,0.6696,0.6484,0.904,0.267,0.9038,0.9039,0.9039
49,0.6762,1.2384,0.672,0.6665,0.6818,0.6747,1.2353,0.6566,0.6671,0.6498,0.9033,0.2703,0.9027,0.9027,0.9028
50,0.6783,1.2561,0.6737,0.6675,0.6855,0.6747,1.2485,0.6562,0.6677,0.6494,0.9037,0.2746,0.904,0.9041,0.904
51,0.6792,1.2478,0.6733,0.6678,0.6841,0.6762,1.2435,0.6566,0.6674,0.6503,0.9029,0.2725,0.9026,0.9026,0.9027
52,0.6817,1.2439,0.6762,0.6692,0.6879,0.6768,1.2387,0.658,0.6709,0.6498,0.9023,0.2702,0.9025,0.9024,0.9027
53,0.678,1.2513,0.6726,0.665,0.6851,0.6747,1.2452,0.6584,0.6742,0.6485,0.9053,0.2665,0.9047,0.9047,0.905
54,0.6782,1.23,0.674,0.6672,0.6832,0.6745,1.2327,0.6563,0.666,0.6494,0.9032,0.2747,0.9033,0.9033,0.9034
55,0.6796,1.2339,0.6727,0.6677,0.6804,0.675,1.2324,0.6556,0.6653,0.6489,0.9073,0.2627,0.9071,0.9071,0.9072
56,0.6812,1.2281,0.6762,0.6687,0.6869,0.6778,1.2253,0.6588,0.6704,0.6507,0.9039,0.2688,0.9039,0.9038,0.904
57,0.678,1.2134,0.6733,0.6673,0.6847,0.6757,1.2128,0.6573,0.6699,0.65,0.9049,0.2651,0.9044,0.9044,0.9044
58,0.6782,1.2513,0.6732,0.6668,0.6844,0.6768,1.251,0.6583,0.6709,0.651,0.9012,0.2747,0.9016,0.9016,0.9016
59,0.6761,1.2355,0.6708,0.666,0.6785,0.674,1.233,0.6555,0.6643,0.6498,0.9031,0.2704,0.9032,0.9031,0.9034
60,0.6775,1.2462,0.6706,0.6653,0.6823,0.6762,1.2453,0.6556,0.6674,0.65,0.9053,0.2637,0.9046,0.9046,0.9048
Mean,0.6625716666666666,1.1441766666666666,0.6499366666666667,0.6511483333333333,0.6602183333333332,0.6588433333333333,1.1466066666666668,0.6345499999999997,0.6452533333333332,0.6347116666666667,0.819635,0.4931233333333333,0.8181183333333333,0.8174783333333335,0.8195666666666668
Std,0.038055294701293006,0.1082772248094186,0.053151832299894966,0.03934991866408438,0.05176251340289912,0.036680786854888826,0.10311461923784121,0.048573287281057434,0.047245903657665164,0.03529462959900661,0.12006892205051597,0.3171913721477489,0.12259461996610116,0.12390182703631877,0.12011105689610996
