Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.5919,1.1177,0.4657,0.5419,0.5725,0.5976,1.1216,0.4752,0.5943,0.5599,0.4659,1.4004,0.4639,0.4649,0.4647
2,0.6336,1.0763,0.5168,0.5915,0.5461,0.6175,1.1321,0.5092,0.5718,0.5904,0.6194,1.0376,0.6184,0.6201,0.6179
3,0.6943,0.8761,0.5997,0.6668,0.5821,0.6994,0.8624,0.6033,0.5912,0.6727,0.663,0.9188,0.6637,0.6652,0.663
4,0.7132,0.8344,0.6256,0.6789,0.6017,0.7014,0.8722,0.6226,0.599,0.6785,0.7093,0.811,0.7094,0.7105,0.709
5,0.748,0.7048,0.6493,0.6712,0.6703,0.743,0.7236,0.6512,0.6658,0.6902,0.7384,0.7332,0.7399,0.7415,0.739
6,0.7321,0.8034,0.6633,0.7059,0.6476,0.7173,0.8126,0.65,0.6341,0.6954,0.7444,0.7054,0.7438,0.7447,0.7434
7,0.7464,0.7825,0.6694,0.6943,0.6758,0.7377,0.7955,0.6668,0.6766,0.6905,0.7715,0.6417,0.7714,0.7721,0.7711
8,0.7725,0.6741,0.6844,0.7209,0.6695,0.7613,0.6948,0.6692,0.6537,0.7083,0.7943,0.5886,0.7947,0.7956,0.7943
9,0.7757,0.6688,0.7015,0.7063,0.7227,0.7695,0.6755,0.6874,0.6989,0.7004,0.8056,0.5378,0.8065,0.807,0.8062
10,0.8142,0.5495,0.7389,0.7714,0.717,0.8098,0.5543,0.7329,0.7102,0.7671,0.8687,0.369,0.8681,0.8682,0.8681
11,0.8126,0.5801,0.7308,0.7636,0.7081,0.8134,0.5765,0.7288,0.7102,0.7543,0.9004,0.2855,0.8992,0.8995,0.899
12,0.8025,0.6052,0.7274,0.7642,0.7068,0.802,0.6279,0.7291,0.7076,0.7622,0.9056,0.2742,0.9058,0.9061,0.9057
13,0.8188,0.5838,0.7328,0.7539,0.7281,0.8155,0.6172,0.7262,0.7188,0.7435,0.9145,0.2419,0.9146,0.9148,0.9145
14,0.8315,0.5592,0.7585,0.7781,0.7426,0.8285,0.5824,0.7473,0.7362,0.7608,0.9162,0.2313,0.9157,0.916,0.9156
15,0.8279,0.5809,0.7502,0.7652,0.7445,0.822,0.5916,0.7471,0.7345,0.7666,0.9258,0.2089,0.9257,0.926,0.9256
16,0.8142,0.6062,0.7437,0.7597,0.7339,0.8073,0.6332,0.7231,0.7133,0.7403,0.9334,0.1858,0.934,0.934,0.934
17,0.8054,0.7031,0.7365,0.7724,0.7169,0.7967,0.7011,0.7305,0.7078,0.7688,0.9391,0.1745,0.9387,0.9389,0.9387
18,0.8142,0.6455,0.7289,0.753,0.7117,0.8155,0.648,0.7382,0.7215,0.7598,0.9444,0.1604,0.9441,0.9441,0.9441
19,0.8406,0.5629,0.7557,0.765,0.7485,0.8415,0.5707,0.762,0.7553,0.7702,0.9545,0.129,0.9542,0.9543,0.9543
20,0.8458,0.5767,0.7643,0.7702,0.7658,0.8387,0.5844,0.7604,0.7554,0.768,0.967,0.0994,0.9673,0.9674,0.9672
21,0.8527,0.5634,0.7738,0.7791,0.7692,0.8464,0.5774,0.7663,0.7663,0.7682,0.9673,0.0957,0.9676,0.9676,0.9677
22,0.8445,0.5824,0.7641,0.7751,0.7563,0.8383,0.5875,0.7581,0.7547,0.7635,0.9693,0.0887,0.9695,0.9695,0.9695
23,0.8383,0.5881,0.7625,0.7717,0.7571,0.8371,0.5883,0.7574,0.7565,0.7601,0.9697,0.0877,0.9699,0.9699,0.9699
24,0.8387,0.6016,0.7614,0.7696,0.7567,0.8322,0.6185,0.7476,0.7468,0.752,0.97,0.0821,0.9701,0.9701,0.9701
25,0.8403,0.5923,0.7656,0.7782,0.7565,0.8346,0.6238,0.7561,0.751,0.7633,0.9735,0.0798,0.9737,0.9737,0.9737
26,0.8387,0.5933,0.7664,0.7714,0.7641,0.8367,0.625,0.7579,0.7554,0.762,0.9754,0.0749,0.9755,0.9755,0.9755
27,0.8442,0.6194,0.7679,0.7711,0.7672,0.8387,0.636,0.7567,0.7554,0.7593,0.9797,0.0673,0.9798,0.9798,0.9798
28,0.8514,0.5922,0.77,0.7716,0.7736,0.8424,0.6142,0.7566,0.7571,0.759,0.9781,0.0651,0.9781,0.9781,0.9781
29,0.8543,0.5906,0.7757,0.7708,0.7841,0.8428,0.6279,0.7537,0.7626,0.7484,0.9845,0.0532,0.9847,0.9847,0.9847
30,0.8523,0.5878,0.7709,0.7805,0.7627,0.8456,0.6171,0.7622,0.7599,0.7686,0.9825,0.0556,0.9823,0.9823,0.9823
31,0.8465,0.6052,0.7627,0.769,0.7583,0.8456,0.6482,0.7616,0.7643,0.7641,0.9849,0.0492,0.985,0.9849,0.985
