Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.5786,1.126,0.5309,0.5793,0.5378,0.5742,1.136,0.5187,0.5248,0.5635,0.5202,1.3132,0.509,0.5056,0.5189
2,0.6069,1.0738,0.5555,0.6003,0.5854,0.6137,1.0673,0.5504,0.5848,0.5856,0.627,1.0213,0.6192,0.6169,0.6244
3,0.6244,1.0094,0.6042,0.6207,0.5988,0.6318,0.9847,0.6045,0.6035,0.6102,0.6554,0.9331,0.6503,0.649,0.6545
4,0.6321,1.042,0.6131,0.6169,0.6201,0.6414,1.0325,0.6175,0.6252,0.6196,0.6806,0.8696,0.6766,0.6753,0.6803
5,0.6486,0.9768,0.6198,0.6308,0.6178,0.6501,0.9873,0.6243,0.6265,0.6298,0.6998,0.8196,0.6961,0.6955,0.6987
6,0.6427,1.0026,0.617,0.641,0.6069,0.6447,0.994,0.6128,0.6042,0.6343,0.7168,0.7791,0.7124,0.7117,0.7147
7,0.6442,1.0066,0.6303,0.6277,0.6362,0.6451,1.0241,0.6192,0.6343,0.61,0.7309,0.7422,0.7285,0.7277,0.7305
8,0.6468,1.0443,0.6062,0.6525,0.5963,0.6512,1.0261,0.6033,0.5934,0.6407,0.7408,0.7115,0.7392,0.7385,0.7407
9,0.6509,1.0388,0.638,0.649,0.6326,0.6465,1.0453,0.626,0.6215,0.6381,0.754,0.6763,0.7537,0.7535,0.7549
10,0.6728,1.0122,0.6657,0.6644,0.6715,0.6797,0.9852,0.6621,0.669,0.6585,0.8068,0.5351,0.806,0.8057,0.8067
11,0.6762,1.0552,0.6656,0.6647,0.6745,0.6789,1.051,0.6528,0.6652,0.6495,0.8409,0.448,0.8401,0.8399,0.8406
12,0.6764,1.1019,0.6641,0.6601,0.6708,0.6811,1.0672,0.6569,0.6671,0.6493,0.8544,0.4079,0.8536,0.8536,0.8539
13,0.6796,1.1364,0.6697,0.6626,0.6862,0.689,1.0991,0.6666,0.6863,0.6566,0.869,0.3691,0.8689,0.8689,0.8691
