Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.6087,1.0392,0.5806,0.5713,0.5986,0.6082,1.0492,0.5603,0.5736,0.5554,0.531,1.2814,0.5257,0.5219,0.5317
2,0.6239,1.0476,0.5903,0.5995,0.599,0.6233,1.0537,0.5904,0.5969,0.6016,0.6452,0.9498,0.6427,0.6405,0.6465
3,0.6329,1.0128,0.5938,0.6125,0.5949,0.6294,1.015,0.59,0.5911,0.6106,0.6854,0.8527,0.6824,0.6812,0.6849
4,0.6296,1.0259,0.6134,0.6285,0.6083,0.6355,1.0225,0.6145,0.6123,0.6252,0.7075,0.796,0.7073,0.7066,0.7098
5,0.651,0.9791,0.6323,0.6405,0.6281,0.656,0.9909,0.6439,0.6495,0.6421,0.7251,0.7437,0.7228,0.7224,0.7247
6,0.6404,1.0767,0.6178,0.6387,0.6092,0.6311,1.0842,0.6014,0.5963,0.618,0.7406,0.7039,0.7399,0.7394,0.7414
7,0.6397,1.0762,0.6345,0.6277,0.651,0.6435,1.0416,0.6274,0.6408,0.6225,0.7614,0.6622,0.7603,0.7602,0.7613
8,0.6539,1.026,0.6403,0.6413,0.6542,0.6569,1.0144,0.6374,0.662,0.6332,0.7725,0.6206,0.7723,0.772,0.773
9,0.6541,1.0398,0.6383,0.6436,0.6434,0.6696,1.0368,0.6463,0.6509,0.6503,0.7933,0.5778,0.7924,0.7921,0.793
10,0.6776,1.1011,0.6715,0.6599,0.6906,0.6921,1.086,0.6768,0.701,0.6624,0.8567,0.4042,0.8568,0.8568,0.8571
11,0.6751,1.1682,0.6674,0.6654,0.676,0.6865,1.1613,0.6656,0.6774,0.66,0.8904,0.3227,0.8903,0.8903,0.8904
12,0.6828,1.2353,0.6743,0.664,0.6885,0.6841,1.2403,0.6642,0.6808,0.652,0.9036,0.2762,0.9038,0.9037,0.9039
13,0.6814,1.2597,0.6744,0.6679,0.6836,0.6775,1.2627,0.6587,0.6735,0.6495,0.9167,0.2355,0.9169,0.9169,0.917
14,0.6819,1.4312,0.6732,0.6637,0.6905,0.6853,1.403,0.6713,0.6908,0.6607,0.9292,0.204,0.9291,0.9291,0.9292
15,0.6755,1.4922,0.6743,0.6586,0.6963,0.6783,1.4701,0.6634,0.6848,0.6489,0.9357,0.1873,0.9358,0.9358,0.9358
16,0.6754,1.5283,0.6686,0.6567,0.6938,0.6769,1.5347,0.6618,0.6901,0.6473,0.9443,0.1616,0.9442,0.9442,0.9442
17,0.6822,1.545,0.6779,0.6623,0.7047,0.6897,1.5097,0.6709,0.698,0.6552,0.9494,0.1487,0.9489,0.9489,0.9489
18,0.6861,1.5067,0.678,0.6695,0.6922,0.6883,1.4878,0.6685,0.6853,0.6579,0.9529,0.1389,0.9531,0.9531,0.9531
19,0.6892,1.658,0.6833,0.6673,0.7067,0.6926,1.6281,0.6776,0.7063,0.6596,0.9687,0.0919,0.9689,0.9689,0.9689
20,0.6917,1.6856,0.685,0.6718,0.7055,0.6958,1.6646,0.6798,0.7024,0.6656,0.9742,0.0766,0.9742,0.9742,0.9742
