Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.7373,0.7476,0.6489,0.6823,0.6422,0.734,0.7765,0.6427,0.6417,0.6669,0.6046,1.0581,0.6062,0.609,0.6044
2,0.7301,0.841,0.6656,0.6948,0.6898,0.7332,0.8345,0.6755,0.6979,0.699,0.8378,0.4621,0.8384,0.8392,0.8379
3,0.766,0.7721,0.6777,0.7068,0.6812,0.7568,0.8213,0.666,0.6746,0.692,0.8982,0.2923,0.8984,0.8986,0.8983
4,0.7829,0.7211,0.7047,0.7406,0.6883,0.778,0.7296,0.6944,0.677,0.7261,0.923,0.2215,0.9238,0.924,0.9237
5,0.7588,0.8972,0.6613,0.7141,0.648,0.7609,0.9312,0.6674,0.656,0.7217,0.9386,0.1857,0.9388,0.939,0.9388
6,0.8083,0.7084,0.7416,0.7385,0.7527,0.8077,0.7321,0.7412,0.7527,0.7405,0.9506,0.1454,0.9507,0.9507,0.9508
7,0.8018,0.7401,0.7321,0.7386,0.7354,0.8,0.7679,0.7312,0.7295,0.7396,0.9554,0.1313,0.9554,0.9555,0.9554
8,0.8015,0.7776,0.7163,0.6982,0.7609,0.8065,0.8132,0.7348,0.7703,0.7205,0.9606,0.1121,0.9607,0.9607,0.9607
9,0.7956,0.7951,0.7041,0.732,0.6955,0.7804,0.8768,0.6905,0.6852,0.7277,0.9661,0.1023,0.9659,0.9659,0.966
10,0.8452,0.6338,0.7799,0.7717,0.7959,0.8338,0.728,0.7618,0.7742,0.7556,0.9844,0.0502,0.9846,0.9846,0.9845
11,0.8455,0.6751,0.7791,0.7781,0.7819,0.8379,0.7476,0.772,0.7787,0.7706,0.9925,0.0238,0.9924,0.9924,0.9924
12,0.8419,0.744,0.7771,0.7679,0.7975,0.8301,0.8417,0.7681,0.7865,0.7633,0.995,0.0155,0.9951,0.9951,0.9951
13,0.8452,0.7273,0.7798,0.7717,0.7927,0.8363,0.8359,0.7697,0.7857,0.7618,0.9953,0.0175,0.9954,0.9954,0.9953
14,0.8455,0.7696,0.7784,0.7665,0.7938,0.8379,0.8655,0.7712,0.7895,0.7579,0.9955,0.0129,0.9956,0.9956,0.9956
15,0.8452,0.8507,0.7857,0.7729,0.806,0.8297,0.9349,0.7649,0.7842,0.7532,0.9965,0.0108,0.9965,0.9965,0.9965
16,0.8458,0.7965,0.7825,0.7801,0.7863,0.8281,0.8631,0.762,0.7666,0.7611,0.9963,0.0125,0.9963,0.9963,0.9963
17,0.8377,0.877,0.7554,0.7528,0.7783,0.8191,0.9891,0.7398,0.7697,0.738,0.9951,0.0147,0.9951,0.9951,0.9951
18,0.8413,0.8251,0.7597,0.7531,0.7693,0.8363,0.8571,0.7644,0.7793,0.7567,0.9953,0.0154,0.9954,0.9954,0.9953
19,0.8462,0.8122,0.7697,0.7663,0.776,0.8432,0.8685,0.7723,0.7846,0.7653,0.9974,0.0073,0.9973,0.9973,0.9973
20,0.8413,0.8278,0.773,0.7703,0.7777,0.8363,0.8842,0.7675,0.7751,0.7628,0.9987,0.0044,0.9987,0.9987,0.9987
21,0.8471,0.8458,0.7791,0.7713,0.7928,0.8375,0.8965,0.7727,0.7875,0.7652,0.9992,0.0042,0.9992,0.9992,0.9992
22,0.8488,0.8288,0.7811,0.7668,0.8014,0.8391,0.9018,0.7668,0.7861,0.7538,0.9991,0.0038,0.9991,0.9991,0.9991
23,0.8475,0.8457,0.778,0.7718,0.7908,0.8297,0.9412,0.7503,0.7666,0.747,0.999,0.0041,0.999,0.999,0.999
24,0.8458,0.8644,0.7777,0.7696,0.7906,0.8338,0.9366,0.7661,0.7775,0.7608,0.9992,0.0025,0.9992,0.9992,0.9992
25,0.852,0.856,0.7837,0.7737,0.7975,0.8407,0.9618,0.7725,0.7857,0.7659,0.9991,0.0038,0.9991,0.9991,0.9991
26,0.854,0.8517,0.7816,0.7619,0.8102,0.8383,0.9608,0.7731,0.8011,0.754,0.999,0.0031,0.999,0.999,0.999
27,0.8494,0.8549,0.7816,0.7636,0.8056,0.8371,0.9599,0.7654,0.7836,0.7528,0.9993,0.0021,0.9993,0.9993,0.9993
28,0.8471,0.865,0.7795,0.769,0.7952,0.8395,0.9695,0.7729,0.7841,0.7669,0.9995,0.0018,0.9995,0.9995,0.9995
29,0.8488,0.8462,0.7861,0.7804,0.7954,0.8391,0.9448,0.77,0.7721,0.7715,0.9993,0.0021,0.9993,0.9993,0.9993
30,0.8507,0.8662,0.781,0.7673,0.8037,0.8391,0.9657,0.7715,0.7906,0.7601,0.9993,0.0027,0.9993,0.9993,0.9993
31,0.8504,0.8742,0.78,0.7654,0.8058,0.8395,0.9797,0.7696,0.7883,0.7582,0.9995,0.0016,0.9995,0.9995,0.9995
32,0.853,0.873,0.7831,0.7728,0.8005,0.8375,0.9665,0.7727,0.7907,0.7612,0.9994,0.0016,0.9994,0.9994,0.9994
33,0.8533,0.8895,0.7824,0.767,0.8076,0.8407,0.9978,0.7744,0.7986,0.7601,0.9992,0.002,0.9992,0.9992,0.9992
34,0.854,0.8827,0.7871,0.7708,0.8111,0.8387,0.9985,0.7722,0.8,0.7552,0.9998,0.001,0.9998,0.9998,0.9998
35,0.8527,0.8728,0.7844,0.7688,0.8054,0.8407,0.9982,0.7784,0.7976,0.7649,0.9993,0.0021,0.9993,0.9993,0.9993
36,0.8517,0.9102,0.7822,0.769,0.7995,0.8411,1.0179,0.7775,0.7958,0.7645,0.9996,0.0015,0.9996,0.9996,0.9996
37,0.8514,0.9096,0.7826,0.7684,0.8035,0.8383,1.007,0.7714,0.7944,0.7566,0.9996,0.0012,0.9996,0.9996,0.9996
38,0.853,0.8968,0.7857,0.7679,0.8108,0.8391,0.9908,0.771,0.7941,0.7549,0.9999,0.0007,0.9999,0.9999,0.9999
39,0.8523,0.8835,0.7861,0.7778,0.7969,0.8411,0.9731,0.7735,0.789,0.762,0.9998,0.001,0.9998,0.9998,0.9998
40,0.8533,0.8932,0.7852,0.7676,0.8117,0.8371,0.9971,0.7693,0.7963,0.752,0.9999,0.0009,0.9999,0.9999,0.9999
41,0.8546,0.8892,0.7837,0.7708,0.8041,0.8399,0.9892,0.7721,0.7933,0.7581,0.9998,0.0008,0.9998,0.9998,0.9998
42,0.8504,0.9083,0.7808,0.7638,0.8073,0.8399,1.0114,0.7714,0.7997,0.7543,0.9998,0.0011,0.9998,0.9998,0.9998
43,0.852,0.8808,0.784,0.7745,0.7971,0.8424,0.973,0.7745,0.7898,0.7634,0.9999,0.0005,0.9999,0.9999,0.9999
44,0.8543,0.8982,0.7861,0.7691,0.8116,0.8444,0.9839,0.7749,0.8017,0.7572,0.9996,0.0011,0.9996,0.9996,0.9996
45,0.851,0.8934,0.78,0.7651,0.8023,0.8415,0.9812,0.7728,0.7933,0.7591,0.9999,0.0009,0.9999,0.9999,0.9999
46,0.8546,0.8889,0.7883,0.7791,0.8,0.8444,0.9802,0.7725,0.787,0.7615,0.9999,0.0007,0.9999,0.9999,0.9999
47,0.8546,0.8924,0.7849,0.7724,0.8022,0.8444,0.9871,0.7777,0.7957,0.7645,0.9998,0.0008,0.9998,0.9998,0.9998
48,0.8546,0.9139,0.7884,0.7713,0.8149,0.8391,1.0066,0.773,0.7977,0.7566,0.9998,0.0007,0.9998,0.9998,0.9998
49,0.855,0.8962,0.7875,0.7752,0.8049,0.8428,0.9865,0.7771,0.7945,0.7647,1.0,0.0005,1.0,1.0,1.0
50,0.8546,0.8975,0.786,0.774,0.8038,0.8395,0.9917,0.7724,0.7853,0.7636,0.9999,0.0007,0.9999,0.9999,0.9999
51,0.851,0.8932,0.7821,0.767,0.8018,0.844,0.9911,0.7777,0.7967,0.7634,1.0,0.0005,1.0,1.0,1.0
52,0.8514,0.9185,0.7819,0.7664,0.806,0.8371,1.0114,0.7726,0.7938,0.7593,0.9998,0.0008,0.9998,0.9998,0.9998
53,0.853,0.8976,0.7861,0.7747,0.8015,0.8407,0.9876,0.7758,0.7906,0.7652,0.9996,0.0014,0.9996,0.9996,0.9996
54,0.8523,0.9005,0.7818,0.7709,0.799,0.8379,1.0039,0.7677,0.7871,0.7549,0.9998,0.0007,0.9998,0.9998,0.9998
55,0.8514,0.8943,0.7802,0.7671,0.7988,0.842,0.9912,0.775,0.793,0.7626,0.9996,0.0011,0.9996,0.9996,0.9996
Mean,0.8377127272727273,0.8438618181818182,0.7669563636363637,0.7609018181818182,0.7825581818181817,0.8275254545454545,0.9261800000000001,0.7577436363636361,0.7734163636363636,0.7522963636363637,0.9811290909090911,0.0536709090909091,0.9811981818181819,0.9812763636363636,0.9811509090909092
Std,0.030075399412670317,0.067095996709273,0.0351152428843698,0.022271710098397717,0.04160954613987431,0.02708100481054611,0.08480138319976031,0.03217687669646315,0.03840900629162076,0.01990981484777614,0.059428474509207976,0.16157830995885014,0.059192171313283866,0.05881580149118522,0.05942771168255526
