Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.7132,0.8021,0.6431,0.6863,0.6242,0.7132,0.8213,0.6335,0.6149,0.669,0.5795,1.1535,0.5782,0.578,0.5788
2,0.7546,0.7224,0.6812,0.7158,0.6643,0.7389,0.7815,0.6661,0.6509,0.6985,0.7948,0.5881,0.7936,0.7939,0.7933
3,0.7826,0.7003,0.7077,0.7311,0.7143,0.7646,0.748,0.6825,0.6838,0.7134,0.8581,0.4097,0.8564,0.8565,0.8563
4,0.7689,0.7318,0.7043,0.7435,0.6885,0.7686,0.7558,0.6934,0.676,0.7281,0.8941,0.306,0.8935,0.8935,0.8935
5,0.7855,0.7213,0.7247,0.75,0.7155,0.7756,0.7723,0.6994,0.6888,0.7227,0.9111,0.2561,0.9103,0.9104,0.9103
6,0.8103,0.6431,0.7382,0.7458,0.7364,0.8106,0.6738,0.7278,0.7213,0.7359,0.9198,0.2295,0.9197,0.9197,0.9197
7,0.794,0.6943,0.7257,0.7374,0.7199,0.7951,0.7127,0.7261,0.7143,0.7418,0.9359,0.1923,0.9357,0.9358,0.9357
8,0.8142,0.6925,0.7328,0.7348,0.7339,0.8171,0.6932,0.7385,0.7427,0.7383,0.9378,0.1872,0.9377,0.9377,0.9377
9,0.8162,0.6887,0.7296,0.7171,0.7531,0.8163,0.7314,0.7318,0.7511,0.7227,0.9454,0.1596,0.946,0.9461,0.946
10,0.8377,0.616,0.7726,0.7741,0.7764,0.8346,0.6483,0.7606,0.7653,0.7603,0.9719,0.0853,0.9719,0.9719,0.9719
11,0.8465,0.5928,0.7638,0.7389,0.8027,0.835,0.6727,0.7589,0.7925,0.7394,0.9823,0.055,0.9823,0.9823,0.9823
12,0.8481,0.6035,0.7783,0.7646,0.8031,0.8367,0.6828,0.7597,0.7835,0.7439,0.9861,0.0431,0.9862,0.9862,0.9862
13,0.8491,0.611,0.7788,0.7596,0.8082,0.8383,0.6998,0.7634,0.7859,0.7493,0.9902,0.0324,0.9901,0.9901,0.9901
14,0.8452,0.5957,0.7705,0.762,0.7815,0.8428,0.7116,0.7678,0.7771,0.7643,0.9893,0.033,0.9893,0.9893,0.9893
15,0.8432,0.6614,0.7559,0.7287,0.8016,0.8395,0.7651,0.7615,0.8018,0.7373,0.9925,0.0265,0.9925,0.9925,0.9925
16,0.8452,0.6247,0.7659,0.7588,0.7798,0.842,0.7174,0.7733,0.7927,0.7646,0.9925,0.024,0.9925,0.9925,0.9925
17,0.8488,0.6621,0.7767,0.7655,0.7915,0.8432,0.7625,0.7707,0.7893,0.7579,0.9941,0.0187,0.9941,0.994,0.9941
18,0.8449,0.7002,0.7637,0.7531,0.7907,0.8407,0.8076,0.7636,0.7908,0.7513,0.9957,0.0145,0.9956,0.9956,0.9956
19,0.8537,0.6717,0.7671,0.747,0.8039,0.8407,0.8147,0.7611,0.7942,0.7423,0.9945,0.0203,0.9945,0.9945,0.9945
20,0.852,0.6816,0.7731,0.754,0.8125,0.844,0.8032,0.7674,0.8066,0.7474,0.9966,0.0126,0.9966,0.9966,0.9967
21,0.8592,0.6572,0.7872,0.7732,0.8084,0.8411,0.7986,0.7663,0.7898,0.752,0.9972,0.0091,0.9972,0.9973,0.9972
22,0.8569,0.6552,0.7836,0.77,0.8015,0.8456,0.7698,0.7726,0.7931,0.7591,0.9966,0.0121,0.9967,0.9966,0.9967
23,0.8543,0.6518,0.7801,0.7642,0.8027,0.8456,0.7662,0.7734,0.8022,0.7557,0.9975,0.0085,0.9975,0.9975,0.9975
24,0.8582,0.6537,0.7848,0.77,0.806,0.844,0.7815,0.7712,0.7947,0.7559,0.9981,0.0075,0.9981,0.9981,0.998
25,0.852,0.656,0.7765,0.7659,0.7903,0.8415,0.7925,0.7678,0.7857,0.7559,0.9962,0.0108,0.9962,0.9962,0.9962
26,0.8563,0.6473,0.7744,0.7583,0.8053,0.8464,0.7778,0.7671,0.7971,0.751,0.9975,0.0082,0.9974,0.9974,0.9975
27,0.8585,0.674,0.7754,0.752,0.8205,0.8481,0.8101,0.7637,0.8022,0.7431,0.9982,0.0064,0.9982,0.9982,0.9982
28,0.8543,0.6702,0.7774,0.7647,0.794,0.8424,0.8011,0.7708,0.7907,0.756,0.9977,0.0075,0.9977,0.9977,0.9977
29,0.855,0.6645,0.7763,0.7536,0.8111,0.8464,0.807,0.7759,0.8081,0.7539,0.9984,0.0051,0.9984,0.9984,0.9984
30,0.8585,0.6781,0.7787,0.7541,0.8254,0.844,0.823,0.7632,0.8068,0.7414,0.9982,0.0053,0.9982,0.9982,0.9982
31,0.8592,0.6713,0.7822,0.7635,0.8152,0.8444,0.8084,0.7671,0.797,0.7484,0.9984,0.0054,0.9984,0.9984,0.9984
32,0.8569,0.6721,0.7783,0.7614,0.8063,0.846,0.8062,0.7671,0.8046,0.7482,0.9988,0.004,0.9988,0.9988,0.9988
33,0.8595,0.6642,0.7842,0.7607,0.8244,0.8485,0.7815,0.773,0.8097,0.7499,0.9994,0.0036,0.9994,0.9994,0.9994
34,0.8572,0.6813,0.7713,0.7529,0.8097,0.8477,0.8129,0.7681,0.8107,0.7472,0.9987,0.006,0.9987,0.9987,0.9987
35,0.8582,0.6571,0.7812,0.7687,0.8003,0.844,0.7866,0.7695,0.7907,0.7556,0.999,0.0037,0.999,0.999,0.999
36,0.854,0.6796,0.7697,0.7514,0.8,0.8436,0.7961,0.7664,0.794,0.7486,0.9991,0.0036,0.9991,0.9991,0.9991
37,0.8579,0.6864,0.779,0.7558,0.82,0.8493,0.8171,0.7742,0.8196,0.7519,0.9987,0.004,0.9987,0.9987,0.9987
38,0.8537,0.6876,0.7713,0.7505,0.8066,0.8444,0.8084,0.7652,0.8024,0.7434,0.9988,0.0047,0.9988,0.9988,0.9988
39,0.8585,0.6752,0.7844,0.7681,0.8115,0.8456,0.8118,0.7664,0.7996,0.7492,0.9995,0.0026,0.9995,0.9995,0.9995
40,0.8546,0.6711,0.7757,0.7525,0.8185,0.8456,0.7825,0.7685,0.8087,0.7454,0.999,0.0044,0.999,0.999,0.999
41,0.8527,0.6885,0.7728,0.7537,0.8084,0.8452,0.8077,0.7662,0.8034,0.7453,0.9988,0.0043,0.9988,0.9988,0.9988
42,0.8579,0.6787,0.7756,0.7546,0.8122,0.8448,0.7917,0.7636,0.8011,0.7443,0.9989,0.0043,0.9989,0.9989,0.9989
43,0.8576,0.7061,0.7723,0.7455,0.8313,0.8481,0.8354,0.7662,0.8257,0.742,0.9989,0.0035,0.9989,0.9989,0.9989
44,0.8556,0.676,0.7739,0.7495,0.8228,0.8473,0.7849,0.7683,0.8197,0.7429,0.9992,0.0035,0.9992,0.9992,0.9992
45,0.8569,0.6862,0.775,0.7493,0.83,0.844,0.8121,0.7604,0.8168,0.736,0.9993,0.0032,0.9993,0.9993,0.9993
46,0.8585,0.6615,0.7776,0.7548,0.8176,0.8481,0.7728,0.7688,0.8091,0.7451,0.9989,0.0041,0.9989,0.9989,0.9989
