Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.5602,1.178,0.5077,0.5664,0.5228,0.5578,1.1801,0.5067,0.5241,0.5715,0.4916,1.3981,0.4839,0.4799,0.4911
2,0.5984,1.0793,0.5481,0.5978,0.5378,0.592,1.0804,0.541,0.5318,0.5893,0.6106,1.0436,0.6042,0.6017,0.6106
3,0.6082,1.0714,0.586,0.6095,0.5856,0.6026,1.0755,0.5755,0.5781,0.5919,0.6443,0.9511,0.6397,0.6379,0.6452
4,0.6067,1.0971,0.5705,0.6012,0.5855,0.6031,1.1001,0.5638,0.5808,0.5907,0.6621,0.903,0.6591,0.6569,0.6641
5,0.6317,1.058,0.6064,0.621,0.6033,0.6322,1.0343,0.6005,0.598,0.616,0.6771,0.8618,0.6739,0.6723,0.678
6,0.6269,1.0243,0.6081,0.6255,0.6018,0.6331,1.0161,0.6152,0.6118,0.6245,0.6896,0.8296,0.687,0.6858,0.6907
7,0.6379,1.0217,0.6048,0.6246,0.5971,0.6369,1.0368,0.5962,0.5889,0.6167,0.6979,0.8052,0.6951,0.6945,0.6977
8,0.6321,1.0476,0.611,0.6199,0.6119,0.6313,1.0542,0.6059,0.6065,0.611,0.712,0.7672,0.7086,0.7077,0.7115
9,0.631,1.0166,0.6242,0.6218,0.6353,0.6444,1.0138,0.6311,0.6486,0.6228,0.7142,0.7672,0.7133,0.7125,0.7162
10,0.6673,0.9515,0.6604,0.6576,0.667,0.6712,0.9474,0.6534,0.6601,0.6498,0.7655,0.635,0.7636,0.7634,0.7654
11,0.6718,0.9924,0.6574,0.6663,0.6533,0.6654,0.9799,0.6456,0.6445,0.6508,0.7855,0.5844,0.7855,0.7856,0.7864
12,0.6801,0.9791,0.6721,0.6622,0.6877,0.6761,0.9667,0.6577,0.6671,0.6507,0.8001,0.5473,0.7998,0.7997,0.8008
13,0.6715,1.0154,0.6636,0.6613,0.6733,0.6668,1.0134,0.6538,0.6663,0.6475,0.8111,0.512,0.8104,0.81,0.8114
14,0.6679,1.0611,0.6618,0.6502,0.6803,0.6646,1.0712,0.6535,0.6776,0.6386,0.8185,0.4924,0.8177,0.8177,0.8183
15,0.6722,1.0747,0.6627,0.6572,0.6733,0.6762,1.0549,0.6605,0.6705,0.6552,0.836,0.4474,0.8343,0.8344,0.8347
16,0.6651,1.1033,0.6592,0.6489,0.6766,0.6668,1.109,0.6555,0.6809,0.6412,0.837,0.4399,0.8359,0.8358,0.8366
17,0.6723,1.1379,0.665,0.6538,0.6864,0.6707,1.1294,0.6561,0.6782,0.6436,0.8487,0.4171,0.8477,0.8476,0.848
18,0.6747,1.1404,0.6683,0.6564,0.691,0.6789,1.1117,0.6647,0.6833,0.654,0.8576,0.3957,0.8581,0.8583,0.8584
19,0.6732,1.1475,0.6658,0.6562,0.6798,0.679,1.1289,0.6623,0.6717,0.6559,0.8741,0.3513,0.8737,0.8736,0.874
20,0.673,1.1889,0.6672,0.6556,0.6843,0.6738,1.1776,0.6621,0.6761,0.6523,0.8858,0.319,0.8857,0.8856,0.8859
21,0.6723,1.2203,0.6636,0.6546,0.6805,0.6757,1.2044,0.6576,0.6761,0.6481,0.8901,0.306,0.8902,0.8902,0.8903
22,0.6768,1.2276,0.6695,0.6552,0.6946,0.6745,1.2193,0.6604,0.6848,0.6461,0.8968,0.2823,0.896,0.896,0.8961
23,0.6708,1.2496,0.6651,0.6534,0.6866,0.6776,1.2268,0.6639,0.6817,0.6534,0.8993,0.2801,0.8987,0.8987,0.8988
24,0.6725,1.2872,0.6672,0.6526,0.6897,0.6761,1.2639,0.663,0.687,0.6476,0.9053,0.2706,0.9052,0.9053,0.9053
25,0.6677,1.3308,0.6621,0.6476,0.6861,0.6724,1.3133,0.6599,0.6772,0.6482,0.908,0.2534,0.908,0.908,0.9081
26,0.6641,1.3437,0.6584,0.6457,0.6816,0.6752,1.329,0.6621,0.6829,0.65,0.9069,0.2566,0.9066,0.9066,0.9066
27,0.6707,1.3675,0.6636,0.6474,0.6932,0.6782,1.3375,0.6634,0.689,0.6483,0.9091,0.2493,0.9086,0.9086,0.9087
28,0.673,1.362,0.6675,0.6514,0.6927,0.6803,1.334,0.6678,0.6916,0.6524,0.9152,0.2336,0.9151,0.9151,0.9152
29,0.6734,1.3669,0.6657,0.6523,0.6894,0.679,1.3364,0.6671,0.6869,0.6548,0.9207,0.2245,0.9208,0.9208,0.9209
30,0.6732,1.3945,0.667,0.6521,0.694,0.678,1.3672,0.6642,0.6903,0.6498,0.9237,0.2125,0.9233,0.9233,0.9233
31,0.6712,1.3892,0.6664,0.6502,0.6918,0.6747,1.3666,0.6641,0.6858,0.6498,0.9251,0.209,0.9253,0.9253,0.9254
32,0.6721,1.4129,0.6646,0.6489,0.6922,0.6757,1.3855,0.6586,0.6848,0.6437,0.9273,0.2013,0.9268,0.9268,0.9269
33,0.6751,1.4228,0.6686,0.6561,0.6899,0.6789,1.3917,0.6644,0.6792,0.6551,0.9281,0.2006,0.9279,0.9279,0.928
