Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.5851,1.1144,0.5381,0.5695,0.5351,0.5792,1.1155,0.532,0.5279,0.5602,0.488,1.3863,0.4751,0.4712,0.4872
2,0.569,1.1886,0.5072,0.5805,0.5076,0.5728,1.1796,0.508,0.5123,0.5777,0.5903,1.1019,0.58,0.5763,0.5879
3,0.6152,1.0333,0.5848,0.5999,0.5832,0.6207,1.0179,0.5871,0.5897,0.5974,0.6217,1.014,0.6171,0.6149,0.6225
4,0.6243,1.0224,0.5923,0.6164,0.5823,0.6285,1.0256,0.5873,0.5786,0.6111,0.6377,0.9719,0.634,0.6316,0.6393
5,0.6276,1.0293,0.614,0.6047,0.6337,0.6292,1.0198,0.6024,0.6203,0.5941,0.6584,0.9269,0.6549,0.6531,0.6595
6,0.6264,1.0276,0.6126,0.6036,0.6301,0.627,1.0348,0.5884,0.6095,0.5801,0.6701,0.8891,0.6661,0.6645,0.6702
7,0.6275,1.0223,0.6045,0.6296,0.5936,0.628,1.0128,0.5993,0.5891,0.6194,0.6719,0.8756,0.6685,0.6665,0.6724
8,0.6339,1.0075,0.6279,0.6203,0.6427,0.6412,0.9975,0.6205,0.6366,0.6114,0.6881,0.8412,0.6839,0.6827,0.6875
9,0.6488,0.9986,0.6344,0.6394,0.6358,0.6477,1.0075,0.6272,0.626,0.6341,0.6946,0.8127,0.6926,0.6917,0.6953
10,0.6654,0.9371,0.658,0.6505,0.672,0.6707,0.9444,0.6538,0.6669,0.647,0.7402,0.7026,0.7388,0.7381,0.741
11,0.6734,0.9363,0.6678,0.6587,0.6847,0.6733,0.944,0.6537,0.6757,0.6422,0.7632,0.6512,0.7615,0.7613,0.7628
12,0.6725,0.9538,0.6588,0.655,0.6657,0.6703,0.9606,0.6521,0.6559,0.6504,0.7727,0.6202,0.7719,0.7714,0.7733
13,0.6718,0.9718,0.664,0.6531,0.6803,0.67,0.9826,0.6475,0.6656,0.6356,0.7825,0.5953,0.7812,0.7809,0.7822
14,0.6666,1.0156,0.6607,0.6528,0.6769,0.6728,1.0128,0.658,0.6786,0.649,0.7927,0.5634,0.7912,0.7909,0.7921
15,0.6661,1.0287,0.6596,0.6518,0.6791,0.6651,1.047,0.647,0.6728,0.6375,0.8036,0.5428,0.8025,0.8025,0.803
16,0.6691,1.0444,0.6609,0.6538,0.6729,0.6646,1.0625,0.6459,0.6606,0.6378,0.8117,0.5161,0.8106,0.8106,0.8114
17,0.6649,1.0586,0.6578,0.6444,0.6823,0.6682,1.0722,0.6514,0.6785,0.6373,0.8215,0.4913,0.8209,0.8209,0.8214
18,0.6645,1.0867,0.6521,0.6511,0.6572,0.674,1.0945,0.6554,0.6639,0.6506,0.8278,0.4772,0.8272,0.8269,0.8277
19,0.6683,1.0835,0.6634,0.6512,0.6838,0.6625,1.1119,0.6429,0.6621,0.6319,0.8433,0.4359,0.8427,0.8429,0.8429
20,0.6673,1.0933,0.6622,0.6487,0.6848,0.6724,1.116,0.655,0.6762,0.6417,0.855,0.4035,0.8546,0.8545,0.8549
21,0.6719,1.1083,0.6679,0.6541,0.6878,0.6672,1.1278,0.6516,0.6683,0.6395,0.8593,0.3939,0.8595,0.8596,0.8597
22,0.6679,1.1513,0.6633,0.6502,0.6857,0.6677,1.1791,0.6497,0.6704,0.6377,0.866,0.3783,0.8666,0.8665,0.8669
23,0.6723,1.1347,0.6661,0.6543,0.686,0.6707,1.1633,0.6496,0.6722,0.6365,0.8676,0.3697,0.8679,0.8679,0.8681
24,0.6649,1.1635,0.6612,0.6493,0.6797,0.6689,1.1836,0.6526,0.6697,0.6415,0.8743,0.3508,0.8744,0.8743,0.8746
25,0.6649,1.1673,0.6621,0.6483,0.6859,0.666,1.1816,0.6526,0.6778,0.6381,0.8743,0.3534,0.8742,0.8742,0.8743
26,0.6666,1.1952,0.6628,0.6487,0.6851,0.6658,1.2259,0.6498,0.6749,0.6349,0.878,0.3414,0.8781,0.8782,0.8782
27,0.6707,1.2198,0.6671,0.6525,0.6897,0.6646,1.241,0.65,0.6785,0.6332,0.8799,0.3348,0.8804,0.8803,0.8808
28,0.6722,1.2148,0.6676,0.6534,0.6898,0.6693,1.2308,0.6541,0.678,0.6389,0.8854,0.3164,0.8851,0.8852,0.8851
29,0.6733,1.2331,0.6687,0.6571,0.6895,0.6701,1.2445,0.6507,0.6718,0.6387,0.8872,0.3167,0.8879,0.8879,0.888
30,0.6686,1.2517,0.6644,0.6536,0.6823,0.6677,1.2674,0.6495,0.6705,0.6368,0.8908,0.3023,0.8908,0.8907,0.8909
31,0.6729,1.2187,0.6691,0.6567,0.6878,0.6679,1.2466,0.6507,0.6738,0.6362,0.8934,0.3027,0.8934,0.8933,0.8936
32,0.6669,1.2314,0.6625,0.6504,0.6812,0.6628,1.2566,0.6467,0.6722,0.632,0.8924,0.3072,0.8923,0.8923,0.8923
33,0.6684,1.2659,0.6646,0.6493,0.6867,0.6611,1.2957,0.6478,0.6798,0.6288,0.8959,0.2915,0.8954,0.8954,0.8954
34,0.6723,1.2736,0.6674,0.6532,0.6905,0.6721,1.3009,0.6572,0.6873,0.64,0.8931,0.3016,0.8922,0.8921,0.8923
Mean,0.6553382352941175,1.1024441176470587,0.6439970588235294,0.6401794117647059,0.6585735294117646,0.6552970588235294,1.1148323529411763,0.6331617647058824,0.6497647058823529,0.6282147058823528,0.7903705882352942,0.572935294117647,0.7886323529411764,0.7879794117647059,0.7904323529411765
Std,0.02623116368571162,0.10163735948526631,0.038740453254448005,0.023117077242799405,0.046408967973635175,0.025510906583728215,0.10935151194196113,0.03596876603561452,0.04367805691616191,0.021966505250976463,0.10728058800770927,0.28363893381759775,0.1099119557303832,0.11091734782318022,0.10734664811237733
