Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.6607,0.9384,0.5524,0.5932,0.5432,0.6615,0.9457,0.563,0.5554,0.6036,0.5186,1.5143,0.5188,0.5196,0.5183
2,0.689,0.9253,0.5985,0.6546,0.5935,0.6888,0.9463,0.6128,0.6115,0.6729,0.7146,0.8228,0.7143,0.7144,0.7142
3,0.7005,1.0094,0.6469,0.6752,0.6585,0.7018,1.0587,0.6398,0.6469,0.6685,0.7652,0.674,0.7659,0.7667,0.7653
4,0.6965,0.9252,0.624,0.69,0.6102,0.7051,0.9138,0.6418,0.6261,0.7026,0.8078,0.5525,0.8086,0.8091,0.8083
5,0.7581,0.7544,0.6793,0.71,0.669,0.765,0.731,0.6905,0.6757,0.7189,0.8389,0.4569,0.8401,0.8405,0.8398
6,0.7471,0.8317,0.6572,0.7069,0.6334,0.7365,0.8363,0.6545,0.6311,0.6994,0.8439,0.4505,0.8435,0.8438,0.8433
7,0.7914,0.7343,0.7179,0.7171,0.7252,0.7613,0.7762,0.6838,0.688,0.6882,0.8692,0.3738,0.8691,0.8692,0.8691
8,0.7663,0.8161,0.6911,0.7164,0.6836,0.7703,0.8137,0.689,0.6831,0.709,0.8873,0.3302,0.8878,0.8881,0.8876
9,0.7549,0.9356,0.6719,0.7166,0.6551,0.754,0.9207,0.6659,0.6471,0.7056,0.8897,0.314,0.8889,0.8889,0.889
10,0.8184,0.645,0.747,0.7567,0.74,0.8045,0.6971,0.7249,0.7125,0.7407,0.947,0.161,0.9469,0.9471,0.9469
11,0.7846,0.804,0.7176,0.75,0.7041,0.7927,0.8172,0.7183,0.703,0.7473,0.9579,0.1196,0.9582,0.9582,0.9583
12,0.8175,0.6623,0.7471,0.7513,0.7471,0.8114,0.7009,0.7303,0.7281,0.737,0.9664,0.1014,0.9665,0.9664,0.9666
13,0.8292,0.7007,0.7606,0.7608,0.7659,0.8212,0.7535,0.743,0.7504,0.7433,0.97,0.0878,0.9698,0.9698,0.9698
14,0.8331,0.6921,0.7621,0.7563,0.7723,0.8273,0.7528,0.7428,0.7578,0.7365,0.9752,0.0727,0.9751,0.9752,0.9751
15,0.8175,0.7914,0.7439,0.7584,0.7354,0.8086,0.8233,0.7318,0.7254,0.7418,0.9743,0.0733,0.9743,0.9743,0.9743
16,0.8142,0.8101,0.7365,0.7544,0.7299,0.8077,0.8162,0.7234,0.7222,0.735,0.9747,0.0697,0.9744,0.9744,0.9743
17,0.8096,0.7926,0.7345,0.7341,0.7401,0.8086,0.8176,0.7296,0.7379,0.7263,0.9772,0.0653,0.9773,0.9773,0.9773
18,0.8077,0.8996,0.7345,0.7331,0.7487,0.8057,0.9317,0.736,0.7455,0.7366,0.9758,0.0672,0.976,0.976,0.976
19,0.8272,0.7556,0.7518,0.7563,0.7493,0.8236,0.7994,0.7442,0.7477,0.742,0.9837,0.0469,0.9835,0.9835,0.9835
20,0.8246,0.7662,0.7496,0.7513,0.7509,0.8228,0.7969,0.739,0.7413,0.7394,0.9867,0.0382,0.9868,0.9867,0.9868
21,0.8299,0.7488,0.7497,0.7547,0.7478,0.8253,0.8085,0.7415,0.742,0.7456,0.9895,0.0309,0.9894,0.9894,0.9893
22,0.8374,0.7687,0.7614,0.7541,0.7738,0.833,0.8477,0.752,0.766,0.7456,0.9906,0.0258,0.9904,0.9904,0.9904
23,0.8331,0.7623,0.7604,0.7622,0.7603,0.8318,0.8069,0.7518,0.7499,0.7559,0.9903,0.028,0.9901,0.9901,0.9901
24,0.8387,0.7593,0.7635,0.7521,0.7814,0.8314,0.8323,0.75,0.7729,0.7385,0.9938,0.0204,0.9938,0.9938,0.9938
25,0.8393,0.7478,0.7592,0.7479,0.776,0.8371,0.8389,0.7539,0.7769,0.7401,0.9924,0.0224,0.9923,0.9923,0.9924
26,0.8331,0.8248,0.762,0.7525,0.7761,0.8269,0.8799,0.7535,0.7628,0.7479,0.9939,0.0198,0.9938,0.9938,0.9938
27,0.8377,0.7675,0.7628,0.7544,0.7747,0.8358,0.8356,0.7557,0.7705,0.7468,0.9927,0.0207,0.9927,0.9928,0.9927
28,0.8383,0.7729,0.7614,0.7559,0.7716,0.833,0.8481,0.7499,0.7647,0.7437,0.9949,0.0162,0.9949,0.9949,0.9949
29,0.838,0.7944,0.7631,0.7588,0.7732,0.8375,0.8611,0.7583,0.7673,0.757,0.9953,0.0165,0.9953,0.9953,0.9953
30,0.8406,0.8028,0.7712,0.764,0.787,0.8342,0.863,0.7533,0.7651,0.7483,0.9961,0.0131,0.9961,0.9961,0.9961
31,0.8383,0.8104,0.7688,0.7647,0.7771,0.8305,0.8669,0.751,0.7527,0.7524,0.9966,0.0104,0.9966,0.9966,0.9966
32,0.8432,0.7849,0.7728,0.7659,0.7834,0.8342,0.8693,0.759,0.7677,0.7542,0.9959,0.0131,0.9959,0.9959,0.996
33,0.8403,0.7918,0.769,0.7652,0.7751,0.833,0.8734,0.7507,0.7578,0.7465,0.9964,0.0107,0.9964,0.9964,0.9964
34,0.8422,0.8068,0.772,0.7633,0.7883,0.8301,0.873,0.7468,0.7615,0.7391,0.9952,0.014,0.9952,0.9952,0.9952
35,0.8367,0.7982,0.765,0.7529,0.7847,0.835,0.8568,0.7515,0.7716,0.74,0.996,0.0131,0.996,0.996,0.996
36,0.8403,0.8183,0.7696,0.7604,0.7853,0.8326,0.8852,0.7535,0.7686,0.7452,0.9962,0.012,0.9963,0.9963,0.9963
37,0.8413,0.7819,0.7686,0.755,0.7883,0.8363,0.8688,0.7553,0.7716,0.7451,0.9962,0.0105,0.9962,0.9962,0.9962
38,0.8383,0.7982,0.7653,0.7604,0.7729,0.8334,0.8806,0.7473,0.7564,0.7428,0.9969,0.0097,0.997,0.997,0.997
39,0.8406,0.7982,0.7696,0.7634,0.7799,0.833,0.8729,0.7532,0.7653,0.746,0.9971,0.0099,0.9971,0.9971,0.9971
40,0.8413,0.7836,0.7698,0.7602,0.7837,0.8395,0.8652,0.7595,0.7712,0.7517,0.9981,0.0078,0.9981,0.9981,0.9981
41,0.8396,0.8208,0.7659,0.7598,0.7779,0.8354,0.886,0.7517,0.7632,0.7463,0.997,0.0097,0.997,0.997,0.997
42,0.8393,0.7999,0.7669,0.7633,0.7741,0.833,0.871,0.7471,0.756,0.7428,0.9977,0.0077,0.9976,0.9976,0.9976
43,0.838,0.8182,0.7629,0.7503,0.786,0.8334,0.8858,0.7459,0.7667,0.7345,0.9977,0.0097,0.9976,0.9977,0.9976
44,0.8377,0.8043,0.7629,0.7539,0.7779,0.8363,0.8879,0.7542,0.7707,0.7458,0.9953,0.0123,0.9953,0.9953,0.9953
45,0.837,0.8135,0.7631,0.7583,0.7734,0.8301,0.8888,0.7451,0.7544,0.7412,0.9977,0.0088,0.9976,0.9976,0.9976
46,0.836,0.8075,0.7643,0.7575,0.7781,0.833,0.8859,0.7524,0.7644,0.7459,0.9971,0.0099,0.9971,0.9971,0.9971
47,0.8393,0.8149,0.7652,0.7551,0.7813,0.8375,0.8795,0.7524,0.7694,0.7433,0.9957,0.0106,0.9956,0.9956,0.9956
48,0.8393,0.7999,0.7651,0.7556,0.7816,0.8391,0.8833,0.7581,0.7723,0.7499,0.9977,0.0078,0.9976,0.9976,0.9977
49,0.8419,0.8064,0.7706,0.7658,0.7803,0.8354,0.886,0.7531,0.7621,0.7496,0.9974,0.0098,0.9974,0.9974,0.9973
50,0.84,0.81,0.7687,0.7601,0.7819,0.8338,0.8869,0.7496,0.7615,0.7424,0.9969,0.0106,0.997,0.997,0.997
51,0.837,0.7883,0.7652,0.7567,0.7782,0.8379,0.8747,0.7545,0.7638,0.7492,0.9978,0.0088,0.9978,0.9978,0.9978
52,0.8429,0.8029,0.7711,0.7655,0.783,0.8338,0.8898,0.7477,0.7575,0.7439,0.9975,0.0087,0.9974,0.9975,0.9974
53,0.8403,0.8005,0.768,0.7622,0.7777,0.8371,0.8863,0.7554,0.7694,0.7481,0.9975,0.008,0.9975,0.9975,0.9975
54,0.837,0.8317,0.7654,0.7643,0.7731,0.831,0.9144,0.7465,0.7539,0.7466,0.9976,0.0075,0.9976,0.9976,0.9976
55,0.8396,0.8187,0.7651,0.7553,0.7835,0.835,0.8984,0.7465,0.7636,0.739,0.9977,0.0078,0.9977,0.9977,0.9977
56,0.8416,0.8032,0.7677,0.7569,0.7858,0.8379,0.882,0.7537,0.7672,0.7466,0.9964,0.0097,0.9964,0.9964,0.9964
57,0.8396,0.8188,0.765,0.764,0.7707,0.8318,0.8956,0.7504,0.7559,0.7493,0.9975,0.008,0.9974,0.9974,0.9974
58,0.8367,0.8004,0.7626,0.7558,0.775,0.8371,0.8781,0.7554,0.7681,0.7485,0.9978,0.008,0.9978,0.9978,0.9978
59,0.839,0.8101,0.7683,0.7635,0.7779,0.8346,0.8894,0.7513,0.7625,0.7459,0.9981,0.0076,0.9981,0.9981,0.9981
60,0.8396,0.8148,0.7655,0.758,0.7788,0.8371,0.9,0.7519,0.7634,0.7463,0.9971,0.0088,0.9972,0.9972,0.9972
Mean,0.8183016666666666,0.8016066666666667,0.7441516666666668,0.7465433333333334,0.7512033333333333,0.8140383333333333,0.8588816666666668,0.7329166666666665,0.7397533333333333,0.7355349999999999,0.9610566666666667,0.11494833333333333,0.9610683333333333,0.96113,0.9610366666666667
Std,0.042227894594934576,0.060344872885903234,0.04568795966326456,0.03019027998627568,0.05309338739721488,0.04069693317753191,0.059397944071213474,0.039626729408516914,0.04704964729660004,0.02535601306012214,0.08411856718128745,0.2534456900280321,0.08404231277254447,0.08389720162602543,0.0841388722244899
