Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.4875,1.3447,0.4483,0.4963,0.4974,0.4882,1.3483,0.4481,0.5047,0.4894,0.4754,1.3739,0.4602,0.4563,0.476
2,0.6011,1.0675,0.5471,0.6069,0.5546,0.6045,1.0664,0.5435,0.5584,0.6026,0.6072,1.0441,0.5994,0.5974,0.6071
3,0.6271,1.0314,0.601,0.6087,0.6039,0.6231,1.0291,0.5948,0.5981,0.5984,0.6433,0.95,0.6361,0.6348,0.6424
4,0.611,1.0555,0.5898,0.5914,0.5998,0.6183,1.0396,0.5918,0.6025,0.5937,0.6713,0.8715,0.6663,0.665,0.6711
5,0.6156,1.0687,0.5861,0.6239,0.5732,0.6233,1.0492,0.5888,0.5778,0.6217,0.694,0.8233,0.6904,0.6901,0.6944
6,0.6272,1.0258,0.6024,0.5911,0.6446,0.6336,1.0121,0.5938,0.6457,0.5817,0.7097,0.778,0.7068,0.7063,0.7103
7,0.6395,1.0602,0.6134,0.6292,0.6164,0.6433,1.0449,0.6119,0.6183,0.6215,0.7318,0.7335,0.7272,0.7274,0.7296
8,0.6532,1.0155,0.6352,0.6363,0.6602,0.6513,0.9972,0.6314,0.6603,0.6279,0.7375,0.7019,0.7345,0.7344,0.7365
9,0.6446,1.0101,0.6232,0.6321,0.6311,0.6538,0.9911,0.6332,0.6447,0.6337,0.7493,0.6756,0.7487,0.7487,0.7509
10,0.6857,0.9707,0.675,0.6616,0.7035,0.6905,0.9477,0.6784,0.7059,0.6645,0.8027,0.5427,0.8019,0.8023,0.8028
11,0.6782,1.0291,0.6694,0.6586,0.6939,0.675,1.0068,0.6616,0.6933,0.6474,0.8331,0.4566,0.8319,0.832,0.8326
12,0.6846,1.0862,0.677,0.6594,0.706,0.689,1.0833,0.6758,0.704,0.658,0.8463,0.4298,0.8464,0.8465,0.8467
13,0.6744,1.1507,0.6706,0.6595,0.6897,0.6794,1.1235,0.6716,0.6902,0.6605,0.8669,0.377,0.8669,0.8668,0.8673
