Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.5153,1.2919,0.4648,0.5694,0.5152,0.5035,1.2985,0.451,0.4935,0.5564,0.4709,1.3747,0.469,0.4697,0.4708
2,0.6607,0.9965,0.5822,0.6377,0.581,0.6546,1.0282,0.5766,0.5738,0.64,0.6988,0.8328,0.6979,0.6991,0.6973
3,0.6923,0.9007,0.6171,0.6866,0.5903,0.69,0.9125,0.6194,0.5953,0.6881,0.7703,0.6356,0.7699,0.7706,0.7696
4,0.781,0.6825,0.6854,0.713,0.6755,0.7695,0.7151,0.6824,0.6757,0.7084,0.8134,0.5199,0.8148,0.8157,0.8143
5,0.7611,0.7216,0.6926,0.7093,0.7062,0.7462,0.758,0.6774,0.6842,0.698,0.845,0.4342,0.845,0.8452,0.8449
6,0.7761,0.7187,0.6851,0.7206,0.6643,0.7711,0.7315,0.6905,0.6723,0.7243,0.8685,0.3683,0.8679,0.8684,0.8677
7,0.7702,0.7466,0.6786,0.7139,0.6642,0.767,0.7901,0.6944,0.6751,0.7352,0.8799,0.3373,0.8802,0.8806,0.8801
8,0.707,0.9031,0.6503,0.6849,0.6595,0.7161,0.8953,0.6581,0.674,0.6878,0.9003,0.2913,0.9008,0.9013,0.9005
9,0.7904,0.7112,0.6978,0.7033,0.7017,0.7959,0.7299,0.7171,0.7258,0.7183,0.9069,0.2659,0.9068,0.9071,0.9066
10,0.823,0.6092,0.7507,0.7594,0.7439,0.8167,0.6429,0.7403,0.7437,0.7399,0.9371,0.1777,0.938,0.9381,0.9379
11,0.8325,0.6173,0.7646,0.7698,0.7642,0.8179,0.6601,0.7436,0.7457,0.7462,0.9599,0.1158,0.9596,0.9598,0.9596
12,0.8272,0.6752,0.7586,0.7626,0.7587,0.824,0.7116,0.7569,0.7591,0.7587,0.9642,0.1056,0.9639,0.9639,0.9639
13,0.8152,0.6931,0.739,0.7556,0.7278,0.8163,0.7086,0.7447,0.7351,0.7581,0.9629,0.1064,0.9631,0.9632,0.963
14,0.8165,0.7287,0.7495,0.7578,0.7464,0.8155,0.7369,0.7454,0.7376,0.7569,0.9672,0.0966,0.967,0.9671,0.967
15,0.8259,0.7013,0.7546,0.7611,0.7508,0.8118,0.7155,0.7415,0.7337,0.7516,0.971,0.0844,0.9708,0.9708,0.9708
16,0.8139,0.7475,0.7378,0.749,0.735,0.813,0.7528,0.7361,0.7285,0.7508,0.9716,0.0795,0.9717,0.9717,0.9716
17,0.8269,0.7418,0.7528,0.7529,0.7567,0.8204,0.7189,0.7449,0.7497,0.7428,0.9758,0.0722,0.9757,0.9758,0.9757
18,0.8272,0.708,0.7584,0.7658,0.7552,0.8232,0.6871,0.7496,0.7448,0.7577,0.9749,0.0721,0.9748,0.975,0.9748
19,0.8432,0.6665,0.7751,0.7725,0.7808,0.8269,0.6844,0.7546,0.7603,0.7513,0.9819,0.0532,0.9818,0.9818,0.9818
20,0.8413,0.6903,0.7683,0.7652,0.7751,0.831,0.7084,0.7504,0.7544,0.7494,0.9849,0.0417,0.9847,0.9848,0.9847
21,0.839,0.7261,0.7682,0.7712,0.7685,0.8277,0.7383,0.7573,0.7684,0.7524,0.9863,0.0412,0.9864,0.9864,0.9864
22,0.8393,0.7286,0.7724,0.7692,0.7777,0.8293,0.7455,0.7565,0.7649,0.7511,0.9881,0.0349,0.9881,0.9881,0.9881
23,0.8403,0.7165,0.7695,0.7743,0.7665,0.8248,0.7581,0.7481,0.7422,0.7546,0.9893,0.0334,0.9893,0.9893,0.9893
24,0.8455,0.7017,0.7799,0.7754,0.7868,0.8273,0.7327,0.7482,0.7545,0.743,0.9875,0.0363,0.9873,0.9874,0.9873
25,0.8488,0.6893,0.7791,0.7754,0.785,0.8281,0.7278,0.755,0.7637,0.7481,0.9886,0.0332,0.9885,0.9886,0.9885
26,0.8452,0.7118,0.7769,0.7761,0.7797,0.8228,0.7729,0.7471,0.752,0.7439,0.9914,0.0289,0.9914,0.9914,0.9915
27,0.8432,0.7178,0.7656,0.7559,0.7799,0.8232,0.7643,0.7475,0.7572,0.7398,0.9886,0.0337,0.9887,0.9887,0.9886
28,0.8432,0.7099,0.77,0.7699,0.7714,0.8248,0.7588,0.7464,0.7459,0.7475,0.9909,0.0276,0.9907,0.9907,0.9908
29,0.8455,0.7168,0.7764,0.7762,0.7794,0.8224,0.7486,0.7499,0.749,0.7515,0.9913,0.0248,0.9914,0.9914,0.9914
30,0.8449,0.73,0.7751,0.7769,0.7756,0.8208,0.771,0.7422,0.7432,0.7427,0.9926,0.0224,0.9925,0.9925,0.9925
31,0.8475,0.7326,0.7743,0.7644,0.7891,0.8285,0.78,0.7446,0.7555,0.738,0.9936,0.0217,0.9936,0.9936,0.9936
32,0.8491,0.7213,0.7735,0.7601,0.7927,0.8285,0.7648,0.7534,0.7655,0.7436,0.9926,0.024,0.9925,0.9926,0.9925
33,0.8432,0.7204,0.7654,0.7596,0.7789,0.8257,0.7629,0.752,0.7579,0.7487,0.9932,0.0238,0.9932,0.9932,0.9932
34,0.8455,0.7315,0.7734,0.7701,0.7798,0.8277,0.7888,0.7512,0.7561,0.7478,0.9939,0.0201,0.9939,0.9939,0.9939
35,0.8449,0.7243,0.7735,0.768,0.7805,0.8338,0.774,0.7587,0.7664,0.7523,0.9951,0.0179,0.9951,0.9951,0.9951
36,0.8468,0.7543,0.7768,0.7742,0.7812,0.8285,0.797,0.7511,0.7544,0.7494,0.994,0.0194,0.994,0.994,0.994
37,0.8452,0.7453,0.774,0.7707,0.7797,0.8277,0.7865,0.7502,0.7524,0.7492,0.994,0.0204,0.994,0.994,0.994
38,0.8432,0.7482,0.7695,0.7642,0.7777,0.8297,0.7896,0.7531,0.7602,0.748,0.9922,0.0216,0.992,0.992,0.992
39,0.8462,0.7323,0.776,0.7719,0.782,0.8293,0.7739,0.7501,0.7544,0.7468,0.9949,0.0183,0.995,0.995,0.995
40,0.8481,0.7237,0.7756,0.7692,0.7841,0.8338,0.7771,0.7539,0.762,0.7468,0.9931,0.0203,0.9931,0.9931,0.9931
41,0.8475,0.7472,0.7712,0.7612,0.7867,0.8314,0.8022,0.7577,0.7658,0.7523,0.9943,0.019,0.9943,0.9942,0.9943
42,0.8445,0.7394,0.7746,0.7681,0.7837,0.8334,0.7781,0.7565,0.7617,0.7523,0.9939,0.0188,0.9939,0.9939,0.9939
43,0.8491,0.7431,0.7735,0.761,0.7905,0.8269,0.7875,0.7439,0.7553,0.736,0.9941,0.0205,0.9941,0.9941,0.9941
44,0.8478,0.7433,0.7766,0.773,0.782,0.8253,0.7891,0.7465,0.7511,0.7435,0.9949,0.0181,0.9949,0.9949,0.9949
45,0.8475,0.7275,0.7776,0.7713,0.7857,0.8293,0.7757,0.7509,0.7554,0.7476,0.9947,0.017,0.9947,0.9947,0.9948
46,0.8468,0.7244,0.7755,0.7704,0.7826,0.8305,0.7672,0.7553,0.7598,0.7517,0.9942,0.0189,0.9941,0.9942,0.9941
47,0.8455,0.7313,0.7726,0.7715,0.7747,0.8289,0.7811,0.7508,0.7544,0.7486,0.9944,0.0178,0.9944,0.9945,0.9944
48,0.8445,0.7367,0.7686,0.7636,0.7759,0.831,0.7819,0.7539,0.7593,0.7496,0.9946,0.0189,0.9947,0.9947,0.9946
49,0.8458,0.7349,0.768,0.7567,0.7843,0.8334,0.7811,0.7594,0.7703,0.7503,0.9928,0.0212,0.9926,0.9926,0.9926
50,0.8468,0.7505,0.7752,0.7685,0.7857,0.8257,0.7967,0.7429,0.7515,0.7377,0.9947,0.0165,0.9947,0.9947,0.9947
