Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.399,1.7145,0.3513,0.4178,0.3735,0.4037,1.6815,0.3633,0.3779,0.4285,0.3198,1.8336,0.3189,0.3187,0.319
2,0.5623,1.242,0.4804,0.5418,0.465,0.5719,1.2183,0.4853,0.474,0.5496,0.4622,1.4476,0.4623,0.4638,0.4611
3,0.6186,1.2154,0.5403,0.6173,0.5281,0.6061,1.2305,0.5266,0.5188,0.5997,0.5807,1.1633,0.581,0.5815,0.5808
4,0.6359,1.0569,0.557,0.6448,0.5596,0.6273,1.0819,0.545,0.5522,0.6317,0.6325,1.0264,0.632,0.6326,0.6315
5,0.7027,0.8727,0.6167,0.6762,0.5959,0.7047,0.8978,0.6226,0.6019,0.6825,0.6866,0.8882,0.6856,0.6862,0.6854
6,0.6904,0.8923,0.6275,0.6872,0.6137,0.6855,0.9122,0.6136,0.6044,0.6698,0.7045,0.8349,0.7043,0.7044,0.7043
7,0.7487,0.7596,0.6718,0.7127,0.6538,0.7479,0.7475,0.6734,0.6578,0.7099,0.7314,0.774,0.732,0.7321,0.7319
8,0.7376,0.7791,0.6555,0.7066,0.6362,0.7202,0.7999,0.6409,0.6259,0.6891,0.7457,0.7247,0.7458,0.7465,0.7454
9,0.7024,0.8947,0.6242,0.6871,0.5985,0.7055,0.9273,0.6344,0.6088,0.6967,0.7614,0.6739,0.7604,0.7607,0.7604
10,0.7683,0.6916,0.6943,0.7328,0.671,0.776,0.6777,0.7119,0.687,0.7537,0.8074,0.5366,0.8082,0.8087,0.8081
11,0.7943,0.6293,0.7221,0.7451,0.7046,0.7833,0.6541,0.7101,0.6966,0.7309,0.8326,0.4641,0.8329,0.8332,0.8328
12,0.8057,0.6167,0.7275,0.7497,0.7124,0.7906,0.6479,0.7128,0.6973,0.7333,0.8511,0.408,0.851,0.8512,0.8509
13,0.7969,0.6157,0.7174,0.7446,0.6988,0.7984,0.6299,0.7201,0.7019,0.7486,0.8622,0.381,0.8627,0.8629,0.8627
14,0.793,0.6569,0.7164,0.75,0.696,0.7935,0.6842,0.719,0.6985,0.7545,0.8753,0.3416,0.8744,0.8744,0.8745
15,0.8083,0.5956,0.7315,0.7368,0.7335,0.7955,0.6496,0.7129,0.7077,0.7222,0.8812,0.3345,0.8805,0.8805,0.8805
16,0.7982,0.6279,0.7206,0.7441,0.7079,0.8045,0.6579,0.7256,0.7106,0.7506,0.8861,0.3139,0.8874,0.8876,0.8872
17,0.8129,0.635,0.7262,0.7376,0.7183,0.8138,0.6362,0.7408,0.7295,0.7548,0.8975,0.2891,0.8981,0.8982,0.8982
18,0.8201,0.6207,0.7454,0.7561,0.7383,0.8098,0.6519,0.7304,0.7255,0.7384,0.9057,0.277,0.9061,0.9062,0.906
19,0.8175,0.5932,0.743,0.7489,0.7393,0.8138,0.642,0.7397,0.7352,0.7476,0.9179,0.2275,0.9173,0.9174,0.9173
20,0.8136,0.6297,0.7439,0.7645,0.7312,0.8151,0.6758,0.7403,0.7269,0.7604,0.9258,0.2139,0.9262,0.9261,0.9263
21,0.8181,0.6307,0.741,0.7568,0.7278,0.8126,0.6642,0.7385,0.7283,0.7522,0.9183,0.22,0.9184,0.9186,0.9183
22,0.8171,0.6161,0.7458,0.754,0.7387,0.8191,0.6451,0.7461,0.7411,0.7544,0.9279,0.2041,0.9271,0.9271,0.9272
23,0.8224,0.6161,0.7423,0.758,0.731,0.8147,0.652,0.7401,0.7296,0.7528,0.9329,0.1927,0.9327,0.9327,0.9326
24,0.8178,0.6282,0.7411,0.7539,0.7332,0.813,0.6585,0.7384,0.7352,0.7461,0.9325,0.191,0.933,0.933,0.933
25,0.8201,0.6332,0.74,0.7564,0.7267,0.822,0.672,0.7492,0.7368,0.7635,0.9369,0.1763,0.9366,0.9368,0.9366
26,0.8308,0.5969,0.7564,0.7587,0.7548,0.8248,0.6548,0.7472,0.7464,0.7501,0.939,0.1745,0.939,0.9389,0.9392
27,0.8211,0.626,0.7365,0.7435,0.7323,0.8273,0.6626,0.7554,0.7491,0.7627,0.938,0.1739,0.9384,0.9385,0.9385
28,0.824,0.628,0.7447,0.7504,0.741,0.8285,0.6773,0.7572,0.7521,0.7646,0.9422,0.1676,0.9426,0.9427,0.9425
29,0.8256,0.6429,0.7455,0.7529,0.7431,0.8285,0.6769,0.7608,0.7536,0.7699,0.945,0.1573,0.9451,0.9451,0.945
30,0.8259,0.6181,0.7477,0.7565,0.7409,0.8277,0.6704,0.7585,0.7514,0.7671,0.9466,0.1463,0.9466,0.9467,0.9466
31,0.8266,0.6201,0.7519,0.7558,0.7527,0.8281,0.6737,0.7566,0.7562,0.7599,0.9472,0.1464,0.9472,0.9471,0.9472
32,0.8305,0.6137,0.7542,0.7532,0.7577,0.8305,0.666,0.7562,0.7577,0.7582,0.9449,0.1531,0.9451,0.9451,0.9451
33,0.8292,0.6162,0.7509,0.7477,0.7567,0.8305,0.6611,0.7584,0.7606,0.7573,0.9502,0.1452,0.9502,0.9503,0.9502
34,0.8338,0.606,0.7533,0.7492,0.7612,0.8305,0.6612,0.7593,0.7639,0.7556,0.9519,0.1367,0.9515,0.9516,0.9516
35,0.8338,0.6077,0.7564,0.7428,0.7742,0.8371,0.6668,0.7619,0.773,0.7543,0.9491,0.1473,0.9491,0.9491,0.9491
36,0.8302,0.6099,0.7535,0.7609,0.7474,0.8244,0.6742,0.7529,0.7455,0.761,0.9469,0.1454,0.9469,0.9469,0.947
37,0.8282,0.6214,0.7502,0.755,0.7481,0.8265,0.6901,0.7574,0.7514,0.7648,0.954,0.1379,0.9543,0.9543,0.9543
38,0.8263,0.635,0.7447,0.7507,0.7436,0.8224,0.6923,0.7545,0.7494,0.7621,0.9554,0.1341,0.9556,0.9556,0.9556
39,0.8282,0.6268,0.7551,0.7587,0.753,0.8253,0.686,0.7576,0.7529,0.7646,0.9523,0.1294,0.9525,0.9525,0.9525
40,0.8321,0.6178,0.7546,0.7521,0.7602,0.8269,0.6802,0.7619,0.7636,0.7623,0.9517,0.1293,0.9512,0.9513,0.9512
41,0.8305,0.6058,0.7548,0.7585,0.753,0.8248,0.6685,0.7548,0.7505,0.7604,0.957,0.1227,0.9566,0.9566,0.9567
42,0.8308,0.6215,0.752,0.7465,0.7607,0.8297,0.6829,0.758,0.7613,0.7564,0.9542,0.136,0.9541,0.9541,0.9541
43,0.8299,0.619,0.7517,0.7543,0.7506,0.8277,0.6811,0.7593,0.7562,0.7635,0.9568,0.123,0.9565,0.9565,0.9566
44,0.8334,0.6198,0.7591,0.7489,0.7766,0.8346,0.681,0.7617,0.7761,0.7526,0.954,0.1324,0.9537,0.9538,0.9537
45,0.8328,0.6216,0.7531,0.7549,0.758,0.8277,0.6751,0.7605,0.7615,0.7625,0.9578,0.1237,0.9578,0.9578,0.9578
46,0.8331,0.6094,0.7518,0.75,0.7564,0.8342,0.6689,0.7641,0.7669,0.7623,0.9528,0.1327,0.9529,0.953,0.9528
47,0.8321,0.6293,0.7487,0.7531,0.7491,0.8257,0.6893,0.7524,0.7483,0.7583,0.9512,0.1376,0.9514,0.9514,0.9514
48,0.8292,0.6421,0.7517,0.7618,0.7444,0.82,0.7108,0.7488,0.7389,0.761,0.9573,0.1266,0.9573,0.9573,0.9573
49,0.8295,0.6047,0.7518,0.7558,0.7499,0.833,0.6649,0.7648,0.7623,0.7688,0.9541,0.1289,0.9542,0.9541,0.9544
50,0.8315,0.6021,0.75,0.7471,0.7534,0.8379,0.6583,0.7683,0.7727,0.7648,0.9558,0.1292,0.9559,0.9558,0.9559
51,0.8282,0.6071,0.7494,0.7481,0.7526,0.8289,0.6701,0.7584,0.7604,0.7584,0.9558,0.1275,0.9558,0.9557,0.9559
52,0.8341,0.6155,0.7551,0.7586,0.7557,0.8314,0.6787,0.7599,0.7581,0.7628,0.9579,0.1238,0.9579,0.9579,0.958
53,0.8364,0.5992,0.762,0.7488,0.7804,0.833,0.6604,0.7643,0.7791,0.7539,0.9541,0.1307,0.9541,0.954,0.9543
54,0.8325,0.6041,0.7521,0.748,0.757,0.8338,0.6668,0.7622,0.7662,0.76,0.9523,0.1323,0.9524,0.9525,0.9524
55,0.8354,0.6104,0.7554,0.7502,0.7635,0.8318,0.669,0.7584,0.7625,0.757,0.9553,0.1219,0.9554,0.9554,0.9554
56,0.8295,0.6476,0.7523,0.7614,0.7483,0.8248,0.7055,0.7549,0.746,0.766,0.9557,0.1291,0.9556,0.9557,0.9555
57,0.8321,0.6255,0.7543,0.7541,0.7563,0.8297,0.6881,0.7619,0.7612,0.7636,0.9552,0.126,0.9548,0.9548,0.9549
58,0.8318,0.6264,0.7573,0.7623,0.7539,0.8293,0.6859,0.7619,0.758,0.7668,0.9544,0.1262,0.9543,0.9543,0.9544
59,0.8299,0.6376,0.7572,0.7623,0.7548,0.8212,0.7026,0.7537,0.7491,0.7612,0.9535,0.1269,0.9534,0.9533,0.9536
60,0.836,0.6116,0.7559,0.7526,0.7618,0.835,0.6726,0.7646,0.7683,0.7616,0.9558,0.1222,0.9559,0.9559,0.956
61,0.8334,0.6112,0.7578,0.7479,0.7709,0.8354,0.6691,0.7653,0.775,0.7587,0.9548,0.1278,0.9542,0.9542,0.9542
62,0.8328,0.6156,0.7569,0.7543,0.7631,0.8318,0.675,0.7604,0.7643,0.7588,0.9586,0.1218,0.9588,0.9588,0.9589
63,0.8334,0.6147,0.7568,0.7579,0.7565,0.8338,0.6818,0.7576,0.7583,0.7607,0.9562,0.1239,0.9565,0.9565,0.9566
64,0.8331,0.6217,0.7507,0.7488,0.7563,0.8358,0.6853,0.7661,0.7693,0.7643,0.9553,0.1251,0.9554,0.9554,0.9555
65,0.8354,0.6253,0.761,0.7522,0.7743,0.8273,0.6887,0.7525,0.764,0.7456,0.9578,0.1241,0.9572,0.9572,0.9572
66,0.8305,0.6202,0.7478,0.7432,0.7571,0.8305,0.6822,0.7599,0.7647,0.7572,0.9586,0.1204,0.9583,0.9582,0.9584
67,0.8315,0.6293,0.75,0.7372,0.7715,0.8305,0.6898,0.7515,0.7652,0.7424,0.9558,0.1242,0.956,0.9559,0.9561
68,0.8331,0.6165,0.7583,0.758,0.7609,0.8273,0.683,0.762,0.7618,0.7646,0.9556,0.1218,0.9555,0.9555,0.9556
69,0.8331,0.6185,0.7512,0.751,0.7537,0.8297,0.6773,0.7576,0.7584,0.7572,0.9562,0.1264,0.9559,0.9559,0.956
70,0.8305,0.6289,0.7483,0.7503,0.7496,0.8305,0.6825,0.7581,0.7565,0.7606,0.9539,0.1314,0.9536,0.9536,0.9536
Mean,0.8016242857142858,0.6758928571428573,0.72419,0.7363857142857143,0.7221457142857144,0.7996328571428574,0.7212099999999999,0.7274385714285714,0.7239614285714288,0.7403999999999998,0.8970614285714283,0.28812285714285707,0.8970228571428572,0.8971128571428572,0.8970114285714286
Std,0.07244021710231291,0.1779258071410409,0.07019376112910089,0.05232152073565042,0.07305055165642822,0.07219435668143297,0.16327651228443152,0.07177451062000494,0.07373554644487154,0.05393319270507096,0.12080145681631534,0.33032112578012013,0.1208707492353048,0.12072343878832249,0.12098080880610315
