Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.6328,0.988,0.6163,0.627,0.6164,0.6315,0.9941,0.6063,0.6076,0.6161,0.6002,1.0776,0.5962,0.5938,0.6008
2,0.6715,0.9152,0.6499,0.6292,0.6898,0.6695,0.9084,0.6376,0.6851,0.6159,0.7254,0.7486,0.7227,0.7215,0.7253
3,0.6721,0.9391,0.6503,0.6604,0.6484,0.6787,0.9231,0.6577,0.6597,0.6623,0.7745,0.6226,0.7723,0.7719,0.7737
4,0.684,0.9662,0.6626,0.669,0.6647,0.6942,0.9438,0.6716,0.6749,0.6734,0.8126,0.517,0.8115,0.8112,0.8122
5,0.6888,0.9828,0.664,0.657,0.6868,0.6926,0.982,0.6684,0.6926,0.6583,0.8438,0.4438,0.8431,0.8434,0.8433
6,0.6914,1.0299,0.6738,0.6621,0.7075,0.6853,1.0171,0.664,0.6936,0.6526,0.8788,0.3517,0.8789,0.8788,0.8791
7,0.6842,1.0949,0.6692,0.6652,0.6873,0.6808,1.0672,0.6622,0.6856,0.6538,0.9028,0.2868,0.9026,0.9026,0.9027
8,0.6916,1.0976,0.6789,0.6732,0.6894,0.693,1.0776,0.6721,0.6866,0.6643,0.9199,0.2432,0.9197,0.9197,0.9197
9,0.687,1.1888,0.6733,0.6721,0.69,0.6827,1.1718,0.6695,0.6906,0.665,0.9343,0.2062,0.9346,0.9346,0.9347
10,0.7079,1.1311,0.6939,0.6845,0.7119,0.7029,1.1021,0.6868,0.7101,0.6747,0.962,0.125,0.9622,0.9623,0.9623
11,0.7099,1.1446,0.6931,0.6894,0.6997,0.7104,1.1225,0.6916,0.7057,0.6826,0.9717,0.0949,0.9718,0.9718,0.9718
12,0.7141,1.1514,0.6976,0.6883,0.714,0.7099,1.1397,0.6906,0.7094,0.6788,0.9765,0.0796,0.9765,0.9765,0.9765
13,0.7122,1.1893,0.7001,0.6864,0.7261,0.7085,1.1727,0.6871,0.712,0.6738,0.9796,0.0701,0.9796,0.9796,0.9796
14,0.7081,1.2001,0.6956,0.6863,0.7084,0.7088,1.1864,0.6899,0.7075,0.6782,0.9816,0.0629,0.9816,0.9816,0.9816
15,0.7095,1.2484,0.6942,0.6847,0.7121,0.7118,1.2291,0.6895,0.7096,0.6789,0.9837,0.055,0.9838,0.9838,0.9837
16,0.7098,1.2945,0.6975,0.6848,0.7214,0.706,1.2698,0.6882,0.7142,0.6735,0.9847,0.0534,0.9846,0.9847,0.9846
17,0.7023,1.296,0.6878,0.6847,0.6946,0.7015,1.2718,0.6776,0.6887,0.6714,0.9862,0.0452,0.9862,0.9862,0.9862
18,0.7125,1.3141,0.7,0.6937,0.7114,0.7113,1.2895,0.6918,0.7098,0.6807,0.9869,0.0468,0.9868,0.9868,0.9868
19,0.715,1.3074,0.7007,0.6889,0.7185,0.7144,1.2886,0.6922,0.7134,0.6783,0.9901,0.0353,0.9901,0.9901,0.9902
20,0.7138,1.3038,0.7004,0.6902,0.7153,0.7146,1.2721,0.6935,0.7131,0.6803,0.9913,0.0309,0.9913,0.9913,0.9913
21,0.7111,1.328,0.6956,0.6851,0.7123,0.7125,1.3068,0.6901,0.711,0.6769,0.991,0.0299,0.9909,0.991,0.9909
22,0.712,1.3246,0.6995,0.6884,0.7157,0.7161,1.3008,0.6935,0.7138,0.6797,0.9913,0.0285,0.9913,0.9913,0.9913
23,0.715,1.3518,0.7002,0.6885,0.7188,0.7151,1.3175,0.6928,0.7132,0.6796,0.9925,0.0252,0.9925,0.9925,0.9925
24,0.7141,1.3608,0.7017,0.6927,0.7152,0.7163,1.3306,0.6949,0.7131,0.683,0.9925,0.025,0.9924,0.9924,0.9924
25,0.7155,1.377,0.7008,0.6936,0.715,0.716,1.3405,0.6935,0.7122,0.6835,0.9928,0.0246,0.9928,0.9928,0.9928
26,0.714,1.385,0.6992,0.6894,0.7181,0.7147,1.3536,0.691,0.7125,0.6788,0.9934,0.0223,0.9934,0.9934,0.9934
27,0.7127,1.3759,0.7005,0.689,0.7166,0.7179,1.3443,0.6967,0.7143,0.6842,0.9933,0.0216,0.9933,0.9933,0.9933
28,0.7137,1.3879,0.7002,0.6871,0.7214,0.7191,1.3546,0.6962,0.7189,0.682,0.9936,0.0202,0.9936,0.9936,0.9936
29,0.7175,1.3937,0.7052,0.6943,0.7229,0.717,1.3608,0.6942,0.7137,0.6823,0.9946,0.0187,0.9946,0.9947,0.9946
30,0.7159,1.3996,0.7023,0.6925,0.719,0.7161,1.3694,0.6928,0.7131,0.6808,0.9945,0.0185,0.9945,0.9945,0.9945
31,0.7137,1.3858,0.7014,0.6903,0.7179,0.7147,1.3591,0.691,0.7083,0.6792,0.9943,0.0184,0.9943,0.9943,0.9943
32,0.7159,1.3993,0.702,0.6901,0.7206,0.7161,1.3726,0.6926,0.7114,0.6801,0.9944,0.0184,0.9944,0.9944,0.9944
33,0.7155,1.4069,0.7009,0.6918,0.7162,0.7142,1.3756,0.6909,0.7088,0.6797,0.9942,0.0192,0.9942,0.9942,0.9942
34,0.7134,1.4072,0.6995,0.6901,0.7153,0.7166,1.3742,0.6924,0.7105,0.681,0.9943,0.0178,0.9942,0.9942,0.9942
35,0.7154,1.404,0.7008,0.6913,0.7164,0.7166,1.3722,0.6941,0.7109,0.6829,0.9945,0.0175,0.9945,0.9945,0.9945
36,0.7154,1.4011,0.7003,0.6897,0.7166,0.7137,1.3776,0.6899,0.7067,0.6787,0.9944,0.0178,0.9944,0.9944,0.9944
37,0.7162,1.4101,0.7009,0.6903,0.7178,0.7133,1.3824,0.6892,0.7062,0.6782,0.9948,0.0167,0.9948,0.9948,0.9948
38,0.7148,1.4094,0.7008,0.6909,0.7166,0.714,1.3806,0.6906,0.7086,0.6788,0.994,0.0178,0.994,0.9941,0.994
39,0.7144,1.4147,0.7002,0.69,0.7165,0.714,1.3858,0.69,0.7074,0.6788,0.9956,0.0159,0.9955,0.9955,0.9955
40,0.7148,1.4107,0.7009,0.6907,0.7169,0.7135,1.3817,0.6897,0.7068,0.6784,0.9951,0.0165,0.9951,0.9951,0.9951
41,0.715,1.4126,0.7012,0.6909,0.7175,0.7142,1.3833,0.6907,0.708,0.6791,0.9958,0.0157,0.9958,0.9958,0.9958
42,0.715,1.4133,0.7013,0.691,0.7174,0.7142,1.3852,0.6904,0.7078,0.6789,0.9956,0.0151,0.9956,0.9956,0.9956
43,0.7159,1.4152,0.7019,0.6912,0.7183,0.7146,1.3884,0.6907,0.7083,0.6789,0.9952,0.0154,0.9951,0.9951,0.9951
44,0.7138,1.4184,0.6996,0.6895,0.7159,0.7118,1.3916,0.6875,0.705,0.6763,0.9956,0.0156,0.9957,0.9957,0.9957
45,0.7158,1.4151,0.7016,0.6914,0.7176,0.7137,1.3885,0.6895,0.7067,0.6782,0.995,0.017,0.9951,0.9951,0.9951
46,0.7151,1.4164,0.7009,0.6907,0.7172,0.7133,1.3895,0.6891,0.7064,0.6778,0.9953,0.0158,0.9953,0.9953,0.9952
47,0.7143,1.4156,0.7003,0.6901,0.7165,0.7147,1.3883,0.6906,0.708,0.6792,0.9949,0.0171,0.9949,0.9949,0.9949
Mean,0.7066893617021278,1.2856021276595744,0.691891489361702,0.683355319148936,0.7080829787234045,0.7066468085106382,1.2613808510638296,0.6843148936170212,0.7030085106382978,0.6737851063829787,0.9580659574468087,0.12167659574468087,0.957836170212766,0.9577595744680854,0.9580468085106384
Std,0.01624414588923268,0.15485163936092494,0.017912684718392625,0.01492527486471301,0.020392244040842517,0.01630486525235083,0.14833000610902508,0.016600602120083068,0.018336751286244242,0.014308875000949042,0.08121126040095175,0.22106195198234832,0.08193341523969304,0.08226679730575039,0.08122133702063182
