Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.6326,0.9939,0.5938,0.6201,0.5889,0.6405,0.9875,0.6046,0.6006,0.6263,0.5401,1.2626,0.5234,0.5244,0.5407
2,0.6643,0.9098,0.6357,0.6396,0.6374,0.6717,0.8906,0.6443,0.6545,0.6401,0.6945,0.8442,0.6909,0.6892,0.696
3,0.6723,0.9152,0.6435,0.6626,0.6378,0.6776,0.8872,0.6506,0.6478,0.6619,0.7378,0.7225,0.7365,0.7362,0.7389
4,0.6714,0.9267,0.6532,0.6636,0.6595,0.6764,0.8985,0.6555,0.6642,0.6629,0.7726,0.6418,0.7724,0.7723,0.7735
5,0.6889,0.9234,0.6748,0.6688,0.6922,0.6914,0.9046,0.6711,0.6959,0.661,0.8017,0.5606,0.8011,0.8009,0.8019
6,0.6861,0.9577,0.6701,0.676,0.6726,0.693,0.9077,0.6748,0.6874,0.6712,0.8281,0.485,0.8272,0.8275,0.8275
7,0.6935,0.9564,0.6794,0.6744,0.6873,0.6985,0.9421,0.679,0.6977,0.6681,0.8585,0.4186,0.8583,0.8583,0.8587
8,0.6977,1.036,0.6845,0.6746,0.7057,0.6998,0.9999,0.6815,0.7088,0.6667,0.8792,0.3615,0.8789,0.8789,0.8792
9,0.6878,1.013,0.6744,0.6773,0.6767,0.6973,0.975,0.6775,0.6839,0.6747,0.8934,0.3141,0.8935,0.8935,0.8936
10,0.7102,1.087,0.7009,0.6889,0.72,0.7137,1.0603,0.6952,0.7194,0.6795,0.9343,0.2094,0.9339,0.934,0.934
11,0.7098,1.1298,0.6981,0.6878,0.7149,0.7165,1.0961,0.6964,0.714,0.6846,0.9467,0.1735,0.9464,0.9465,0.9464
12,0.7088,1.1685,0.6995,0.6899,0.7147,0.7095,1.1381,0.6927,0.7123,0.6804,0.9543,0.1525,0.9541,0.9541,0.9541
13,0.7091,1.2002,0.6976,0.6838,0.7186,0.7104,1.184,0.6927,0.719,0.6763,0.9593,0.1293,0.9593,0.9593,0.9593
14,0.7051,1.2466,0.6932,0.6808,0.7119,0.7092,1.2319,0.6914,0.7152,0.6759,0.9633,0.1138,0.9633,0.9633,0.9633
15,0.7105,1.2708,0.6983,0.6915,0.7103,0.7071,1.239,0.6903,0.709,0.6798,0.9683,0.1073,0.9682,0.9683,0.9682
16,0.7056,1.3444,0.6943,0.6847,0.7125,0.7114,1.3214,0.6963,0.7198,0.6833,0.9706,0.0971,0.9707,0.9707,0.9708
17,0.7094,1.3257,0.6948,0.6786,0.7209,0.7135,1.3167,0.6929,0.7198,0.6761,0.9729,0.0901,0.9729,0.9729,0.973
18,0.7102,1.3803,0.6998,0.6892,0.7148,0.7088,1.3542,0.6947,0.7148,0.6808,0.9759,0.0806,0.976,0.976,0.976
19,0.7116,1.3808,0.7008,0.6902,0.7164,0.7099,1.3558,0.6923,0.7141,0.678,0.9802,0.0654,0.9802,0.9802,0.9802
20,0.7104,1.4145,0.6964,0.6873,0.7132,0.7106,1.3896,0.6912,0.7143,0.6782,0.9831,0.0554,0.9832,0.9832,0.9832
21,0.7152,1.4199,0.7022,0.6922,0.7185,0.7146,1.3952,0.6953,0.7188,0.6813,0.9842,0.0512,0.9842,0.9842,0.9842
22,0.7134,1.4582,0.7007,0.6896,0.7176,0.7121,1.4297,0.6962,0.7194,0.681,0.9845,0.0495,0.9845,0.9845,0.9845
23,0.7147,1.4687,0.7033,0.6949,0.7152,0.7163,1.4371,0.6981,0.717,0.6851,0.9854,0.0467,0.9854,0.9854,0.9854
