Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.7464,0.7086,0.6588,0.6812,0.6458,0.7348,0.7221,0.6557,0.6445,0.6849,0.5896,1.0901,0.5886,0.5888,0.5887
2,0.7295,0.767,0.6392,0.7061,0.6329,0.7161,0.7901,0.6369,0.6343,0.7017,0.7985,0.5645,0.7994,0.8003,0.7988
3,0.7982,0.591,0.7125,0.7271,0.7039,0.7963,0.6183,0.7107,0.7068,0.7229,0.8719,0.3814,0.8717,0.8721,0.8715
4,0.7751,0.7039,0.683,0.7208,0.6649,0.7674,0.7425,0.6871,0.6708,0.7212,0.9123,0.2642,0.913,0.9132,0.9129
5,0.8168,0.5766,0.7325,0.7534,0.7181,0.8041,0.62,0.7171,0.7075,0.7372,0.9365,0.1955,0.9367,0.9368,0.9367
6,0.8263,0.5825,0.7497,0.7433,0.7663,0.8147,0.6274,0.7395,0.7546,0.7334,0.9543,0.1414,0.9538,0.9537,0.9539
7,0.8054,0.671,0.7266,0.7528,0.7119,0.7947,0.7075,0.7225,0.7022,0.7551,0.9656,0.1096,0.9651,0.9652,0.965
8,0.8191,0.612,0.7422,0.743,0.7447,0.8163,0.6491,0.7402,0.7458,0.7394,0.9664,0.0963,0.9663,0.9663,0.9663
9,0.824,0.6241,0.7346,0.725,0.7579,0.8224,0.6735,0.741,0.7615,0.7382,0.9714,0.0893,0.9716,0.9716,0.9716
10,0.836,0.5992,0.7559,0.7556,0.7604,0.8228,0.6554,0.7448,0.7529,0.7481,0.9876,0.044,0.9874,0.9874,0.9874
11,0.8419,0.5753,0.7637,0.7582,0.773,0.8236,0.6513,0.7473,0.7518,0.7472,0.9917,0.0312,0.9917,0.9917,0.9917
12,0.8445,0.5724,0.762,0.7631,0.7625,0.8285,0.6275,0.7591,0.7617,0.7602,0.9936,0.0255,0.9935,0.9935,0.9936
13,0.8357,0.6113,0.755,0.7573,0.7567,0.8236,0.6856,0.7477,0.754,0.7506,0.9947,0.0213,0.9947,0.9947,0.9947
14,0.839,0.6209,0.7655,0.7686,0.7679,0.8257,0.6767,0.7543,0.7628,0.7557,0.9954,0.0203,0.9954,0.9954,0.9955
15,0.8455,0.606,0.755,0.7413,0.778,0.8322,0.6757,0.7478,0.7674,0.74,0.9944,0.0198,0.9944,0.9944,0.9944
16,0.8416,0.6179,0.7602,0.7535,0.7753,0.8281,0.6884,0.7453,0.7724,0.7387,0.9951,0.0179,0.9951,0.9951,0.9951
17,0.8504,0.6049,0.7716,0.764,0.7832,0.8342,0.6772,0.7506,0.7639,0.7445,0.9954,0.0174,0.9954,0.9954,0.9954
18,0.8426,0.6071,0.7638,0.7639,0.7675,0.8277,0.6709,0.7522,0.7583,0.751,0.9958,0.0138,0.9958,0.9958,0.9958
19,0.851,0.606,0.7707,0.758,0.7887,0.8375,0.6871,0.7597,0.7793,0.7494,0.9976,0.0099,0.9976,0.9976,0.9976
20,0.8514,0.6185,0.7676,0.7566,0.7853,0.8395,0.6999,0.7633,0.7853,0.7532,0.9986,0.0089,0.9986,0.9986,0.9986
21,0.8514,0.605,0.769,0.766,0.7735,0.8391,0.6821,0.7626,0.7712,0.7592,0.9983,0.0084,0.9983,0.9983,0.9983
22,0.8501,0.6061,0.7621,0.7488,0.7806,0.8371,0.6977,0.7532,0.7775,0.7405,0.9986,0.0085,0.9986,0.9986,0.9986
23,0.855,0.6043,0.7725,0.7614,0.7871,0.8391,0.6829,0.758,0.7722,0.7497,0.9991,0.0066,0.9991,0.9991,0.9991
24,0.851,0.6138,0.7725,0.7613,0.7863,0.8334,0.6984,0.7578,0.7673,0.7511,0.9989,0.0061,0.9989,0.9989,0.9989
25,0.8478,0.6119,0.7642,0.7584,0.7727,0.8379,0.6878,0.7564,0.7643,0.7535,0.999,0.0058,0.999,0.999,0.999
26,0.8514,0.6154,0.7673,0.7567,0.7821,0.8395,0.7026,0.7581,0.7764,0.7488,0.9977,0.0076,0.9977,0.9977,0.9977
27,0.8504,0.6038,0.7688,0.7658,0.7726,0.8338,0.6883,0.7557,0.762,0.7519,0.9996,0.0043,0.9996,0.9996,0.9996
28,0.8507,0.6065,0.7704,0.7657,0.7764,0.8346,0.6893,0.7529,0.7593,0.7494,0.9993,0.0047,0.9993,0.9993,0.9993
29,0.8491,0.6075,0.7671,0.7625,0.7727,0.8379,0.7005,0.7575,0.764,0.7544,0.9994,0.0053,0.9994,0.9994,0.9994
30,0.8488,0.6128,0.7664,0.7627,0.7713,0.8379,0.6994,0.7587,0.7643,0.7554,0.9993,0.0046,0.9993,0.9993,0.9993
31,0.8497,0.6154,0.7654,0.7602,0.7722,0.8407,0.7002,0.764,0.7718,0.7595,0.9993,0.004,0.9993,0.9993,0.9993
32,0.8501,0.6148,0.767,0.7626,0.7728,0.8424,0.7097,0.7635,0.773,0.7584,0.9995,0.0035,0.9995,0.9995,0.9995
33,0.8501,0.614,0.7671,0.7622,0.7738,0.8403,0.7035,0.7632,0.7721,0.7586,0.9998,0.0037,0.9998,0.9998,0.9998
34,0.8527,0.616,0.7713,0.7621,0.7827,0.8391,0.7061,0.7579,0.7708,0.7498,0.9995,0.004,0.9995,0.9995,0.9995
35,0.8527,0.6139,0.7702,0.7666,0.7748,0.8354,0.6998,0.7545,0.7594,0.7516,0.9994,0.0038,0.9994,0.9994,0.9994
36,0.855,0.6178,0.7739,0.7665,0.7832,0.8411,0.7129,0.7624,0.7725,0.7557,0.999,0.0052,0.999,0.999,0.999
37,0.8533,0.6178,0.7698,0.7618,0.7802,0.8387,0.7114,0.7581,0.7692,0.7515,0.9992,0.0042,0.9992,0.9992,0.9992
38,0.8523,0.6157,0.768,0.7623,0.7755,0.8387,0.7065,0.7601,0.7686,0.7553,0.9995,0.0036,0.9995,0.9995,0.9995
39,0.8504,0.6172,0.7659,0.7598,0.7741,0.8387,0.7089,0.7588,0.7704,0.7521,0.9992,0.0043,0.9992,0.9992,0.9992
40,0.851,0.6163,0.7665,0.764,0.7703,0.8407,0.7088,0.762,0.7677,0.7596,0.9996,0.0031,0.9996,0.9996,0.9996
41,0.8507,0.617,0.766,0.7649,0.7681,0.8387,0.7065,0.761,0.7664,0.7589,0.9998,0.003,0.9998,0.9998,0.9998
42,0.8527,0.6147,0.7682,0.7657,0.7716,0.8399,0.7061,0.7612,0.7646,0.7597,0.9995,0.0037,0.9995,0.9995,0.9995
43,0.854,0.6154,0.7689,0.7658,0.773,0.8415,0.7108,0.7647,0.7702,0.7616,0.9993,0.004,0.9993,0.9993,0.9993
44,0.855,0.6148,0.7693,0.7644,0.7754,0.842,0.7106,0.7638,0.7711,0.7591,0.9998,0.0031,0.9998,0.9998,0.9998
45,0.8533,0.6172,0.7674,0.7653,0.7708,0.8387,0.7126,0.761,0.7658,0.7592,0.9993,0.0043,0.9993,0.9993,0.9993
46,0.8537,0.6167,0.7684,0.7654,0.7726,0.8403,0.7128,0.7622,0.7658,0.7611,0.9998,0.003,0.9998,0.9998,0.9998
47,0.8533,0.6141,0.7696,0.766,0.7742,0.8403,0.7086,0.7623,0.7672,0.7598,0.9994,0.0036,0.9994,0.9994,0.9994
48,0.853,0.6142,0.7696,0.7657,0.7747,0.8395,0.7081,0.7619,0.7668,0.7593,0.9995,0.0032,0.9995,0.9995,0.9995
49,0.851,0.6137,0.7681,0.7645,0.7728,0.8387,0.7074,0.7619,0.7665,0.7594,0.9997,0.0031,0.9997,0.9997,0.9997
