Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.6535,1.0239,0.565,0.6357,0.5439,0.6692,1.0206,0.5844,0.5652,0.6545,0.4872,1.4399,0.4813,0.4814,0.4861
2,0.7816,0.6453,0.6944,0.7304,0.6703,0.7788,0.6664,0.6991,0.6734,0.7402,0.7425,0.7621,0.7424,0.744,0.7418
3,0.8201,0.5502,0.7513,0.7719,0.7431,0.8041,0.5895,0.7442,0.7302,0.7698,0.8254,0.5252,0.8264,0.8274,0.8256
4,0.8256,0.5529,0.7415,0.765,0.7323,0.8196,0.5777,0.741,0.7332,0.764,0.8847,0.3673,0.8851,0.886,0.8847
5,0.7885,0.6622,0.7197,0.7486,0.7315,0.7992,0.67,0.7467,0.7527,0.778,0.9071,0.2905,0.9071,0.9075,0.9068
6,0.8165,0.5958,0.7386,0.7407,0.7537,0.8037,0.6408,0.7347,0.7483,0.7372,0.9294,0.2195,0.9293,0.9297,0.9291
7,0.8145,0.595,0.7434,0.7626,0.731,0.8102,0.6469,0.7322,0.7164,0.7541,0.9365,0.2035,0.9372,0.9374,0.9371
8,0.8211,0.6241,0.7371,0.766,0.7188,0.8029,0.7084,0.7224,0.7105,0.7493,0.9548,0.1455,0.9545,0.9547,0.9544
9,0.8387,0.5585,0.7717,0.7743,0.772,0.82,0.63,0.7423,0.7384,0.7486,0.9597,0.1262,0.9592,0.9593,0.9592
10,0.853,0.5269,0.7768,0.7746,0.7802,0.835,0.6013,0.7621,0.7635,0.7635,0.9765,0.0815,0.9763,0.9764,0.9763
11,0.8553,0.5515,0.7786,0.7756,0.7899,0.8285,0.6377,0.7587,0.7655,0.7599,0.9809,0.064,0.9813,0.9814,0.9813
12,0.8475,0.5818,0.7729,0.7816,0.7668,0.8297,0.6557,0.7545,0.7451,0.7671,0.9846,0.053,0.9848,0.9848,0.9848
13,0.8468,0.5772,0.7685,0.7701,0.7778,0.8326,0.667,0.765,0.7676,0.7695,0.9854,0.0486,0.9854,0.9855,0.9854
14,0.8514,0.5917,0.7732,0.7687,0.7836,0.8354,0.6832,0.7628,0.7754,0.7604,0.9873,0.0474,0.9874,0.9874,0.9874
15,0.8393,0.641,0.7652,0.7781,0.7553,0.833,0.7018,0.7581,0.7477,0.773,0.9889,0.0387,0.9889,0.9889,0.9889
16,0.8553,0.6044,0.7822,0.7682,0.8012,0.8334,0.7072,0.7603,0.7852,0.7476,0.9892,0.0351,0.9893,0.9893,0.9892
17,0.8514,0.634,0.7766,0.767,0.7915,0.833,0.7085,0.7642,0.7756,0.7632,0.9889,0.0355,0.9887,0.9888,0.9887
18,0.8481,0.6559,0.7746,0.7729,0.7809,0.8367,0.7311,0.77,0.7752,0.7696,0.9906,0.0308,0.9906,0.9906,0.9906
19,0.8523,0.6356,0.7786,0.7735,0.7889,0.8415,0.7035,0.7727,0.7829,0.7696,0.9925,0.0247,0.9923,0.9923,0.9923
20,0.854,0.6391,0.7789,0.7737,0.7872,0.8391,0.7225,0.7684,0.7804,0.7635,0.995,0.0193,0.9951,0.9951,0.9951
21,0.855,0.624,0.7769,0.7708,0.7849,0.842,0.7194,0.7722,0.782,0.7666,0.9954,0.0178,0.9954,0.9954,0.9954
22,0.8543,0.6337,0.7822,0.7758,0.7912,0.8428,0.7187,0.7741,0.7853,0.7677,0.9964,0.0152,0.9964,0.9964,0.9964
23,0.853,0.6578,0.7808,0.7727,0.7944,0.8395,0.7435,0.7636,0.7836,0.7551,0.9957,0.0172,0.9957,0.9957,0.9957
24,0.8598,0.6405,0.7823,0.7712,0.7983,0.8428,0.7296,0.7756,0.7929,0.7655,0.9948,0.0158,0.9948,0.9948,0.9948
25,0.8523,0.6445,0.7815,0.781,0.7838,0.842,0.7248,0.7742,0.7826,0.7693,0.9947,0.0172,0.9946,0.9947,0.9946
26,0.8585,0.6488,0.7844,0.773,0.7995,0.8379,0.752,0.7656,0.7896,0.7524,0.9974,0.013,0.9973,0.9973,0.9973
27,0.8553,0.6582,0.7834,0.7737,0.7951,0.8411,0.7471,0.7721,0.7882,0.7609,0.9959,0.0147,0.9959,0.9959,0.9959
28,0.855,0.664,0.7802,0.7744,0.7875,0.8436,0.7519,0.7764,0.7916,0.7677,0.9976,0.011,0.9975,0.9975,0.9975
29,0.8527,0.672,0.7805,0.778,0.7849,0.8436,0.7513,0.7793,0.7883,0.7744,0.9961,0.0128,0.9961,0.9961,0.9961
30,0.854,0.6614,0.7813,0.7766,0.7876,0.842,0.7481,0.7766,0.7886,0.7691,0.9977,0.0115,0.9976,0.9976,0.9976
31,0.8484,0.6774,0.7719,0.7714,0.7739,0.8428,0.7614,0.773,0.7789,0.7719,0.997,0.0106,0.9971,0.9971,0.997
32,0.8527,0.6646,0.7762,0.7703,0.7843,0.8428,0.7563,0.7747,0.787,0.7684,0.9978,0.0099,0.9978,0.9977,0.9978
33,0.8569,0.6622,0.7807,0.7717,0.7929,0.8432,0.7596,0.7766,0.7929,0.7677,0.9971,0.0102,0.9972,0.9972,0.9972
34,0.8543,0.6614,0.7799,0.7716,0.7909,0.844,0.7596,0.7753,0.7921,0.7663,0.9964,0.0125,0.9964,0.9964,0.9964
35,0.855,0.663,0.7813,0.7749,0.7902,0.8387,0.7595,0.7706,0.7851,0.7623,0.9977,0.0088,0.9977,0.9977,0.9977
36,0.852,0.6788,0.7763,0.7703,0.7859,0.842,0.7674,0.773,0.7869,0.7657,0.9972,0.0095,0.9972,0.9973,0.9972
37,0.8533,0.6732,0.7787,0.7733,0.7867,0.8399,0.7658,0.7699,0.7846,0.7622,0.9975,0.0084,0.9975,0.9975,0.9975
38,0.8553,0.6693,0.78,0.7726,0.79,0.842,0.7659,0.7719,0.7891,0.7622,0.9981,0.0074,0.9981,0.9981,0.9981
39,0.8527,0.6716,0.7766,0.77,0.7861,0.8403,0.7693,0.7707,0.7869,0.762,0.9981,0.0071,0.9981,0.9981,0.998
40,0.8523,0.6731,0.777,0.7704,0.7862,0.8444,0.7686,0.7751,0.7893,0.7676,0.9979,0.0085,0.9978,0.9978,0.9978
41,0.853,0.6727,0.7759,0.7704,0.7839,0.8415,0.769,0.773,0.785,0.7664,0.9975,0.0095,0.9975,0.9975,0.9975
42,0.854,0.6732,0.7771,0.77,0.787,0.8411,0.7721,0.7721,0.7849,0.7653,0.998,0.0078,0.998,0.998,0.998
43,0.855,0.6733,0.7768,0.769,0.7879,0.8407,0.7719,0.7708,0.7875,0.7615,0.9979,0.0079,0.9979,0.9979,0.9979
44,0.8563,0.6755,0.7785,0.77,0.7908,0.8395,0.7736,0.7691,0.7849,0.7608,0.9982,0.0073,0.9982,0.9982,0.9982
45,0.8559,0.6752,0.7781,0.7677,0.7929,0.8432,0.772,0.7711,0.7911,0.76,0.9975,0.0086,0.9975,0.9975,0.9975
46,0.8543,0.6756,0.7779,0.7682,0.7919,0.844,0.7722,0.7722,0.7918,0.7614,0.9978,0.0092,0.9978,0.9978,0.9977
