Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.4617,1.4802,0.4150,0.4643,0.4426,0.4537,1.4870,0.4073,0.4376,0.4556,0.4477,1.4512,0.4365,0.4317,0.4484
2,0.5396,1.2073,0.5224,0.5349,0.5406,0.5378,1.2038,0.5127,0.5356,0.5231,0.5511,1.1949,0.5405,0.5375,0.5500
3,0.5795,1.1833,0.5337,0.5724,0.5396,0.5711,1.1967,0.5257,0.5329,0.5615,0.5916,1.0947,0.5826,0.5803,0.5910
4,0.5816,1.1303,0.5370,0.5791,0.5342,0.5853,1.1256,0.5333,0.5335,0.5719,0.6177,1.0176,0.6110,0.6088,0.6179
5,0.6193,1.0210,0.5853,0.6009,0.5917,0.6263,1.0068,0.5877,0.5982,0.5984,0.6391,0.9677,0.6322,0.6308,0.6382
6,0.6110,1.0759,0.5687,0.6226,0.5666,0.6148,1.0657,0.5693,0.5683,0.6104,0.6495,0.9257,0.6451,0.6435,0.6507
7,0.6247,1.0272,0.5930,0.6084,0.6120,0.6250,1.0157,0.5948,0.6120,0.6073,0.6658,0.8902,0.6582,0.6577,0.6634
8,0.6435,0.9798,0.6254,0.6210,0.6321,0.6400,0.9860,0.6170,0.6251,0.6112,0.6814,0.8464,0.6748,0.6738,0.6798
9,0.6098,1.0680,0.5884,0.6134,0.5943,0.6097,1.0527,0.5799,0.5966,0.5994,0.6922,0.8293,0.6881,0.6873,0.6922
10,0.6679,0.9327,0.6599,0.6595,0.6673,0.6715,0.9293,0.6513,0.6588,0.6499,0.7342,0.7166,0.7298,0.7298,0.7327
11,0.6655,0.9488,0.6600,0.6578,0.6632,0.6686,0.9435,0.6523,0.6566,0.6498,0.7580,0.6513,0.7561,0.7564,0.7582
12,0.6648,0.9411,0.6579,0.6586,0.6621,0.6733,0.9344,0.6571,0.6616,0.6572,0.7647,0.6380,0.7635,0.7634,0.7654
13,0.6737,0.9628,0.6620,0.6690,0.6578,0.6719,0.9724,0.6525,0.6501,0.6569,0.7774,0.5963,0.7765,0.7764,0.7780
14,0.6712,0.9679,0.6629,0.6632,0.6691,0.6705,0.9787,0.6483,0.6550,0.6477,0.7856,0.5764,0.7849,0.7853,0.7861
15,0.6599,1.0395,0.6522,0.6570,0.6666,0.6553,1.0412,0.6370,0.6518,0.6423,0.8015,0.5447,0.7991,0.7992,0.8001
16,0.6711,0.9921,0.6638,0.6572,0.6779,0.6670,1.0071,0.6448,0.6577,0.6394,0.8089,0.5158,0.8081,0.8081,0.8089
17,0.6693,1.0655,0.6633,0.6611,0.6758,0.6696,1.0692,0.6510,0.6661,0.6464,0.8221,0.4847,0.8219,0.8217,0.8229
18,0.6758,1.0354,0.6733,0.6639,0.6894,0.6755,1.0361,0.6564,0.6649,0.6518,0.8262,0.4677,0.8246,0.8244,0.8252
19,0.6857,1.0469,0.6810,0.6713,0.6950,0.6830,1.0587,0.6620,0.6749,0.6533,0.8517,0.4040,0.8521,0.8522,0.8526
20,0.6812,1.0712,0.6729,0.6638,0.6891,0.6787,1.0764,0.6593,0.6725,0.6517,0.8618,0.3795,0.8615,0.8615,0.8620
21,0.6925,1.0907,0.6862,0.6782,0.6996,0.6862,1.0903,0.6650,0.6801,0.6557,0.8727,0.3513,0.8726,0.8726,0.8729
22,0.6804,1.1033,0.6742,0.6692,0.6863,0.6761,1.1170,0.6547,0.6665,0.6511,0.8761,0.3438,0.8763,0.8763,0.8765
23,0.6865,1.1513,0.6807,0.6675,0.7015,0.6809,1.1545,0.6612,0.6802,0.6494,0.8856,0.3201,0.8853,0.8853,0.8856
24,0.6921,1.1481,0.6866,0.6788,0.7020,0.6796,1.1632,0.6571,0.6721,0.6506,0.8877,0.3127,0.8873,0.8873,0.8875
25,0.6871,1.1893,0.6839,0.6694,0.7042,0.6834,1.2048,0.6630,0.6819,0.6499,0.8926,0.2940,0.8923,0.8923,0.8924
26,0.6824,1.1882,0.6748,0.6643,0.6934,0.6813,1.1939,0.6609,0.6790,0.6512,0.8959,0.2920,0.8967,0.8967,0.8968
27,0.6812,1.2211,0.6764,0.6671,0.6910,0.6782,1.2287,0.6585,0.6739,0.6484,0.9003,0.2765,0.9008,0.9008,0.9009
28,0.6882,1.2334,0.6831,0.6732,0.6975,0.6820,1.2476,0.6609,0.6738,0.6520,0.9082,0.2565,0.9075,0.9075,0.9076
29,0.6921,1.2410,0.6865,0.6738,0.7059,0.6860,1.2443,0.6666,0.6834,0.6548,0.9116,0.2438,0.9115,0.9115,0.9117
30,0.6863,1.2276,0.6814,0.6735,0.6933,0.6853,1.2323,0.6655,0.6745,0.6585,0.9114,0.2450,0.9116,0.9115,0.9118
31,0.6825,1.2643,0.6788,0.6663,0.6973,0.6855,1.2673,0.6651,0.6809,0.6540,0.9174,0.2331,0.9180,0.9180,0.9180
32,0.6833,1.2627,0.6773,0.6688,0.6925,0.6850,1.2665,0.6630,0.6783,0.6540,0.9157,0.2334,0.9155,0.9155,0.9155
33,0.6835,1.2777,0.6783,0.6704,0.6909,0.6816,1.2896,0.6624,0.6751,0.6543,0.9185,0.2288,0.9183,0.9184,0.9184
34,0.6836,1.3116,0.6803,0.6693,0.6955,0.6799,1.3237,0.6608,0.6743,0.6512,0.9194,0.2260,0.9194,0.9194,0.9195
35,0.6884,1.3041,0.6848,0.6742,0.7005,0.6843,1.3128,0.6655,0.6802,0.6554,0.9214,0.2248,0.9213,0.9212,0.9214
36,0.6840,1.3083,0.6772,0.6680,0.6929,0.6822,1.3119,0.6616,0.6762,0.6529,0.9201,0.2199,0.9201,0.9202,0.9202
37,0.6815,1.3156,0.6753,0.6701,0.6833,0.6797,1.3217,0.6614,0.6722,0.6544,0.9240,0.2165,0.9237,0.9237,0.9237
38,0.6857,1.2892,0.6784,0.6705,0.6911,0.6839,1.2937,0.6643,0.6778,0.6555,0.9225,0.2146,0.9225,0.9226,0.9226
