Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.5919,1.1177,0.4657,0.5419,0.5725,0.5976,1.1216,0.4752,0.5943,0.5599,0.4659,1.4004,0.4639,0.4649,0.4647
2,0.6336,1.0763,0.5168,0.5915,0.5461,0.6175,1.1321,0.5092,0.5718,0.5904,0.6194,1.0376,0.6184,0.6201,0.6179
3,0.6943,0.8761,0.5997,0.6668,0.5821,0.6994,0.8624,0.6033,0.5912,0.6727,0.6630,0.9188,0.6637,0.6652,0.6630
4,0.7132,0.8344,0.6256,0.6789,0.6017,0.7014,0.8722,0.6226,0.5990,0.6785,0.7093,0.8110,0.7094,0.7105,0.7090
5,0.7480,0.7048,0.6493,0.6712,0.6703,0.7430,0.7236,0.6512,0.6658,0.6902,0.7384,0.7332,0.7399,0.7415,0.7390
6,0.7321,0.8034,0.6633,0.7059,0.6476,0.7173,0.8126,0.6500,0.6341,0.6954,0.7444,0.7054,0.7438,0.7447,0.7434
7,0.7464,0.7825,0.6694,0.6943,0.6758,0.7377,0.7955,0.6668,0.6766,0.6905,0.7715,0.6417,0.7714,0.7721,0.7711
8,0.7725,0.6741,0.6844,0.7209,0.6695,0.7613,0.6948,0.6692,0.6537,0.7083,0.7943,0.5886,0.7947,0.7956,0.7943
9,0.7757,0.6688,0.7015,0.7063,0.7227,0.7695,0.6755,0.6874,0.6989,0.7004,0.8056,0.5378,0.8065,0.8070,0.8062
10,0.8136,0.5508,0.7374,0.7705,0.7154,0.8061,0.5564,0.7296,0.7063,0.7657,0.8698,0.3696,0.8692,0.8694,0.8693
11,0.8123,0.5898,0.7324,0.7638,0.7115,0.8102,0.5854,0.7232,0.7036,0.7514,0.9007,0.2871,0.8995,0.8998,0.8993
12,0.8012,0.6054,0.7237,0.7564,0.7059,0.8033,0.6314,0.7284,0.7083,0.7610,0.9050,0.2750,0.9052,0.9054,0.9051
13,0.8155,0.5905,0.7327,0.7545,0.7279,0.8171,0.6273,0.7287,0.7208,0.7465,0.9124,0.2455,0.9125,0.9127,0.9123
14,0.8357,0.5581,0.7653,0.7823,0.7517,0.8273,0.5802,0.7465,0.7360,0.7599,0.9160,0.2350,0.9155,0.9158,0.9155
15,0.8325,0.5754,0.7534,0.7673,0.7473,0.8212,0.5929,0.7415,0.7312,0.7586,0.9247,0.2130,0.9245,0.9246,0.9244
16,0.8191,0.6082,0.7514,0.7692,0.7412,0.8106,0.6319,0.7290,0.7205,0.7453,0.9301,0.1902,0.9308,0.9308,0.9308
17,0.8048,0.7062,0.7316,0.7649,0.7142,0.8053,0.6920,0.7282,0.7069,0.7610,0.9380,0.1764,0.9376,0.9376,0.9375
18,0.8188,0.6321,0.7356,0.7562,0.7224,0.8212,0.6328,0.7424,0.7286,0.7611,0.9414,0.1640,0.9411,0.9412,0.9411
19,0.8406,0.5629,0.7572,0.7657,0.7510,0.8428,0.5774,0.7668,0.7614,0.7733,0.9540,0.1296,0.9537,0.9537,0.9538
20,0.8439,0.5821,0.7690,0.7733,0.7736,0.8420,0.5979,0.7604,0.7550,0.7680,0.9665,0.0981,0.9667,0.9669,0.9667
21,0.8520,0.5674,0.7821,0.7838,0.7815,0.8448,0.5894,0.7612,0.7586,0.7659,0.9683,0.0943,0.9686,0.9685,0.9687
22,0.8471,0.5884,0.7699,0.7778,0.7643,0.8420,0.5951,0.7620,0.7582,0.7679,0.9695,0.0879,0.9697,0.9697,0.9697
23,0.8354,0.6007,0.7649,0.7698,0.7652,0.8395,0.5943,0.7612,0.7638,0.7614,0.9706,0.0865,0.9707,0.9706,0.9707
24,0.8396,0.6165,0.7723,0.7753,0.7745,0.8318,0.6326,0.7437,0.7447,0.7469,0.9725,0.0814,0.9725,0.9725,0.9725
25,0.8416,0.6007,0.7664,0.7738,0.7613,0.8346,0.6245,0.7544,0.7502,0.7606,0.9741,0.0789,0.9743,0.9743,0.9743
26,0.8429,0.6057,0.7678,0.7733,0.7647,0.8371,0.6337,0.7530,0.7512,0.7566,0.9762,0.0733,0.9762,0.9762,0.9762
27,0.8439,0.6280,0.7672,0.7702,0.7667,0.8379,0.6416,0.7519,0.7499,0.7555,0.9797,0.0656,0.9798,0.9799,0.9798
28,0.8520,0.5944,0.7714,0.7746,0.7706,0.8481,0.6175,0.7607,0.7591,0.7649,0.9786,0.0627,0.9786,0.9786,0.9786
29,0.8540,0.5984,0.7752,0.7715,0.7813,0.8411,0.6325,0.7497,0.7576,0.7460,0.9830,0.0525,0.9832,0.9832,0.9832
30,0.8517,0.6004,0.7713,0.7823,0.7616,0.8468,0.6298,0.7617,0.7585,0.7701,0.9834,0.0523,0.9832,0.9832,0.9832
31,0.8497,0.6147,0.7702,0.7756,0.7661,0.8424,0.6577,0.7548,0.7568,0.7574,0.9862,0.0460,0.9863,0.9862,0.9863
