Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.5839,1.1076,0.5480,0.5705,0.5783,0.5869,1.1043,0.5474,0.5807,0.5649,0.5169,1.3465,0.5103,0.5079,0.5157
2,0.6180,1.0385,0.5850,0.6287,0.5798,0.6139,1.0467,0.5781,0.5741,0.6152,0.6429,0.9672,0.6377,0.6363,0.6423
3,0.6169,1.0452,0.6102,0.6218,0.6145,0.6083,1.0657,0.5933,0.6025,0.5966,0.6732,0.8901,0.6701,0.6693,0.6733
4,0.6389,0.9932,0.6177,0.6305,0.6117,0.6331,1.0157,0.6020,0.6056,0.6027,0.6912,0.8275,0.6885,0.6873,0.6911
5,0.6339,1.0426,0.6184,0.6306,0.6157,0.6360,1.0394,0.6101,0.6106,0.6200,0.7068,0.7892,0.7048,0.7034,0.7075
6,0.6402,1.0040,0.6164,0.6363,0.6100,0.6385,1.0158,0.6115,0.6106,0.6238,0.7273,0.7376,0.7255,0.7249,0.7273
7,0.6303,1.0728,0.6065,0.6141,0.6051,0.6268,1.0583,0.5991,0.6005,0.6032,0.7383,0.7109,0.7363,0.7364,0.7376
8,0.6606,1.0042,0.6469,0.6519,0.6469,0.6574,0.9883,0.6343,0.6376,0.6351,0.7516,0.6799,0.7500,0.7497,0.7517
9,0.6449,1.0596,0.6314,0.6272,0.6462,0.6381,1.0673,0.6150,0.6305,0.6096,0.7663,0.6352,0.7647,0.7641,0.7661
10,0.6817,1.0424,0.6687,0.6641,0.6815,0.6747,1.0638,0.6501,0.6674,0.6434,0.8247,0.4798,0.8247,0.8247,0.8252
11,0.6818,1.0666,0.6765,0.6651,0.6933,0.6775,1.0665,0.6612,0.6842,0.6474,0.8573,0.4014,0.8564,0.8565,0.8566
12,0.6828,1.1857,0.6787,0.6682,0.6990,0.6688,1.1957,0.6507,0.6718,0.6411,0.8804,0.3371,0.8801,0.8801,0.8802
13,0.6677,1.2437,0.6649,0.6545,0.6873,0.6663,1.2642,0.6511,0.6660,0.6447,0.8895,0.3052,0.8897,0.8896,0.8898
14,0.6643,1.3164,0.6585,0.6473,0.6826,0.6625,1.3246,0.6478,0.6813,0.6324,0.9025,0.2738,0.9025,0.9024,0.9025
15,0.6668,1.3346,0.6641,0.6555,0.6778,0.6651,1.3297,0.6512,0.6661,0.6434,0.9188,0.2352,0.9189,0.9188,0.9189
16,0.6845,1.4016,0.6806,0.6689,0.6968,0.6809,1.3943,0.6667,0.6897,0.6514,0.9272,0.2141,0.9276,0.9276,0.9276
17,0.6779,1.3729,0.6713,0.6620,0.6845,0.6783,1.3793,0.6573,0.6740,0.6463,0.9303,0.1956,0.9303,0.9302,0.9304
18,0.6760,1.4574,0.6719,0.6618,0.6860,0.6757,1.4387,0.6621,0.6903,0.6456,0.9365,0.1817,0.9364,0.9365,0.9364
19,0.6839,1.5606,0.6798,0.6700,0.6928,0.6811,1.5214,0.6670,0.6918,0.6517,0.9535,0.1350,0.9535,0.9535,0.9535
20,0.6825,1.6476,0.6748,0.6619,0.6939,0.6815,1.6179,0.6627,0.6882,0.6465,0.9613,0.1094,0.9614,0.9614,0.9614
21,0.6826,1.7179,0.6784,0.6669,0.6949,0.6818,1.7079,0.6657,0.6917,0.6497,0.9675,0.0939,0.9675,0.9675,0.9675
