Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.7027,0.8234,0.5974,0.6314,0.6014,0.7035,0.8361,0.5988,0.6030,0.6304,0.5477,1.2358,0.5467,0.5467,0.5476
2,0.6998,0.8628,0.6264,0.6973,0.6057,0.6807,0.8900,0.6114,0.5939,0.6851,0.7113,0.8010,0.7126,0.7132,0.7123
3,0.7757,0.6493,0.6903,0.7121,0.6801,0.7731,0.6769,0.6769,0.6680,0.7002,0.7792,0.6330,0.7801,0.7805,0.7801
4,0.7767,0.6610,0.7078,0.7169,0.7067,0.7723,0.6924,0.7030,0.6961,0.7187,0.8063,0.5527,0.8075,0.8078,0.8074
5,0.7735,0.6786,0.6862,0.7305,0.6649,0.7540,0.7121,0.6711,0.6516,0.7181,0.8313,0.4791,0.8300,0.8304,0.8298
6,0.7533,0.7390,0.6930,0.7458,0.6698,0.7483,0.7746,0.6813,0.6589,0.7321,0.8545,0.4210,0.8538,0.8539,0.8538
7,0.7973,0.6318,0.7104,0.7440,0.6896,0.7809,0.6675,0.6957,0.6744,0.7339,0.8642,0.3745,0.8642,0.8644,0.8641
8,0.7793,0.7128,0.6988,0.7205,0.7052,0.7776,0.7504,0.6914,0.7056,0.7097,0.8772,0.3480,0.8778,0.8779,0.8777
9,0.7976,0.6404,0.7100,0.7316,0.6997,0.7914,0.6587,0.7067,0.7022,0.7219,0.8816,0.3343,0.8811,0.8812,0.8812
10,0.8403,0.5201,0.7607,0.7672,0.7560,0.8338,0.5570,0.7559,0.7525,0.7615,0.9332,0.2070,0.9337,0.9337,0.9339
11,0.8422,0.5462,0.7713,0.7807,0.7661,0.8273,0.5691,0.7490,0.7474,0.7538,0.9534,0.1397,0.9538,0.9538,0.9539
12,0.8403,0.5608,0.7719,0.7648,0.7872,0.8305,0.5935,0.7527,0.7666,0.7465,0.9650,0.1075,0.9653,0.9654,0.9651
13,0.8478,0.5714,0.7764,0.7724,0.7830,0.8289,0.6263,0.7435,0.7491,0.7419,0.9681,0.0949,0.9680,0.9680,0.9679
14,0.8406,0.6120,0.7626,0.7595,0.7769,0.8281,0.6504,0.7508,0.7610,0.7482,0.9689,0.0913,0.9692,0.9692,0.9692
15,0.8347,0.6119,0.7576,0.7520,0.7683,0.8305,0.6509,0.7513,0.7613,0.7444,0.9718,0.0855,0.9720,0.9720,0.9720
16,0.8400,0.6612,0.7556,0.7602,0.7606,0.8277,0.6773,0.7409,0.7443,0.7441,0.9746,0.0752,0.9746,0.9746,0.9747
17,0.8374,0.6616,0.7654,0.7663,0.7727,0.8305,0.6484,0.7553,0.7611,0.7559,0.9758,0.0733,0.9756,0.9756,0.9756
18,0.8370,0.6390,0.7641,0.7586,0.7795,0.8281,0.6715,0.7558,0.7656,0.7540,0.9778,0.0661,0.9780,0.9780,0.9780
19,0.8439,0.6321,0.7590,0.7434,0.7857,0.8415,0.6698,0.7618,0.7873,0.7463,0.9833,0.0496,0.9833,0.9833,0.9833
20,0.8452,0.6242,0.7670,0.7514,0.7902,0.8403,0.6675,0.7667,0.7895,0.7511,0.9886,0.0382,0.9886,0.9886,0.9886
21,0.8409,0.6360,0.7668,0.7569,0.7842,0.8350,0.6667,0.7545,0.7729,0.7446,0.9908,0.0346,0.9910,0.9910,0.9909
22,0.8360,0.6683,0.7613,0.7541,0.7817,0.8383,0.6873,0.7628,0.7879,0.7524,0.9882,0.0383,0.9881,0.9881,0.9881
23,0.8484,0.6514,0.7732,0.7532,0.8081,0.8456,0.6710,0.7688,0.8027,0.7486,0.9908,0.0297,0.9908,0.9908,0.9908
24,0.8458,0.6544,0.7703,0.7643,0.7821,0.8452,0.6595,0.7720,0.7908,0.7616,0.9916,0.0317,0.9916,0.9917,0.9916
25,0.8432,0.6773,0.7645,0.7530,0.7869,0.8460,0.7005,0.7713,0.8012,0.7570,0.9921,0.0233,0.9920,0.9920,0.9921
26,0.8478,0.6597,0.7635,0.7449,0.7959,0.8452,0.6821,0.7715,0.7990,0.7560,0.9922,0.0264,0.9922,0.9922,0.9922
27,0.8452,0.6723,0.7651,0.7541,0.7849,0.8371,0.7160,0.7617,0.7867,0.7477,0.9925,0.0241,0.9924,0.9924,0.9924
28,0.8471,0.6736,0.7704,0.7646,0.7840,0.8338,0.7126,0.7579,0.7670,0.7531,0.9949,0.0186,0.9949,0.9949,0.9949
