Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.5939,1.0916,0.5528,0.5707,0.5713,0.5994,1.0796,0.5502,0.5715,0.5687,0.5397,1.2631,0.5318,0.5290,0.5394
2,0.6265,1.0486,0.5965,0.6203,0.5858,0.6256,1.0362,0.5912,0.5811,0.6137,0.6467,0.9641,0.6407,0.6394,0.6452
3,0.6378,1.0096,0.6067,0.6299,0.5950,0.6378,1.0167,0.5996,0.5884,0.6254,0.6852,0.8599,0.6798,0.6787,0.6830
4,0.6407,1.0277,0.6155,0.6277,0.6194,0.6306,1.0371,0.6038,0.6063,0.6148,0.7123,0.7968,0.7114,0.7108,0.7134
5,0.6422,1.0462,0.6261,0.6357,0.6238,0.6364,1.0347,0.6160,0.6126,0.6258,0.7319,0.7454,0.7303,0.7299,0.7323
6,0.6421,1.0687,0.6357,0.6413,0.6473,0.6402,1.0918,0.6171,0.6292,0.6222,0.7483,0.6974,0.7457,0.7452,0.7472
7,0.6271,1.0800,0.6221,0.6168,0.6326,0.6400,1.0497,0.6304,0.6423,0.6246,0.7656,0.6428,0.7641,0.7637,0.7653
8,0.6595,1.0073,0.6431,0.6542,0.6397,0.6607,1.0211,0.6362,0.6373,0.6409,0.7812,0.6157,0.7798,0.7796,0.7807
9,0.6604,1.0400,0.6508,0.6451,0.6609,0.6560,1.0635,0.6403,0.6553,0.6320,0.8005,0.5642,0.8006,0.8003,0.8013
10,0.6875,1.1124,0.6768,0.6687,0.6923,0.6900,1.0955,0.6726,0.6901,0.6626,0.8702,0.3748,0.8705,0.8706,0.8706
11,0.6960,1.1484,0.6889,0.6752,0.7096,0.6888,1.1586,0.6716,0.7001,0.6543,0.9030,0.2831,0.9030,0.9030,0.9032
12,0.6927,1.2467,0.6839,0.6738,0.6983,0.6848,1.2445,0.6691,0.6873,0.6567,0.9185,0.2383,0.9182,0.9183,0.9182
13,0.6871,1.3194,0.6770,0.6676,0.6907,0.6799,1.3167,0.6643,0.6827,0.6516,0.9353,0.1936,0.9352,0.9352,0.9352
14,0.6875,1.3783,0.6803,0.6723,0.6942,0.6879,1.3598,0.6702,0.6849,0.6609,0.9446,0.1683,0.9446,0.9446,0.9446
15,0.6857,1.4194,0.6778,0.6666,0.6951,0.6856,1.4406,0.6689,0.6838,0.6582,0.9501,0.1457,0.9500,0.9500,0.9500
16,0.6904,1.3967,0.6849,0.6678,0.7115,0.6860,1.4019,0.6706,0.6990,0.6527,0.9542,0.1372,0.9542,0.9541,0.9542
17,0.6890,1.5023,0.6782,0.6678,0.6952,0.6827,1.4929,0.6648,0.6796,0.6547,0.9589,0.1240,0.9590,0.9591,0.9590
18,0.6916,1.4999,0.6827,0.6757,0.6962,0.6818,1.5008,0.6613,0.6744,0.6533,0.9635,0.1101,0.9634,0.9634,0.9634
19,0.6962,1.5274,0.6881,0.6755,0.7086,0.6940,1.5415,0.6760,0.6987,0.6622,0.9719,0.0857,0.9720,0.9719,0.9720
20,0.6953,1.5690,0.6900,0.6764,0.7109,0.6923,1.5736,0.6767,0.6987,0.6625,0.9791,0.0644,0.9790,0.9790,0.9790
