Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.4228,1.5661,0.3595,0.4461,0.3911,0.4212,1.5572,0.3618,0.3847,0.4535,0.3285,1.8501,0.3282,0.3281,0.3284
2,0.6398,1.0252,0.5583,0.6230,0.5485,0.6183,1.0699,0.5362,0.5308,0.5923,0.5119,1.3872,0.5111,0.5118,0.5109
3,0.6125,1.1587,0.5252,0.6079,0.5133,0.6098,1.1996,0.5340,0.5236,0.6164,0.5930,1.1697,0.5925,0.5933,0.5919
4,0.6490,1.0524,0.5672,0.6434,0.5507,0.6489,1.0348,0.5757,0.5577,0.6526,0.6559,0.9818,0.6554,0.6559,0.6552
5,0.6943,0.9020,0.6121,0.6525,0.5943,0.6925,0.9159,0.6025,0.5860,0.6453,0.6920,0.8938,0.6923,0.6927,0.6922
6,0.6522,1.1354,0.5978,0.6639,0.5898,0.6358,1.1652,0.5811,0.5731,0.6444,0.7179,0.8243,0.7170,0.7172,0.7169
7,0.7278,0.8654,0.6286,0.6735,0.6099,0.7218,0.8602,0.6245,0.6062,0.6646,0.7353,0.7726,0.7354,0.7358,0.7351
8,0.7122,0.9328,0.6418,0.6847,0.6250,0.7071,0.9770,0.6366,0.6322,0.6778,0.7456,0.7355,0.7455,0.7458,0.7454
9,0.7128,0.9317,0.6339,0.6605,0.6503,0.6986,1.0291,0.6206,0.6297,0.6571,0.7634,0.7030,0.7641,0.7646,0.7636
10,0.7979,0.6261,0.7228,0.7441,0.7092,0.7910,0.6762,0.7033,0.6875,0.7262,0.8353,0.4697,0.8358,0.8360,0.8358
11,0.8074,0.6163,0.7427,0.7711,0.7235,0.7866,0.6967,0.7036,0.6836,0.7324,0.8701,0.3740,0.8697,0.8699,0.8697
12,0.8233,0.5639,0.7462,0.7483,0.7483,0.8057,0.6240,0.7256,0.7248,0.7301,0.8926,0.3098,0.8934,0.8937,0.8934
13,0.8083,0.6279,0.7382,0.7523,0.7352,0.7980,0.6953,0.7176,0.7133,0.7308,0.8969,0.3001,0.8967,0.8968,0.8967
14,0.8142,0.6511,0.7333,0.7701,0.7107,0.7902,0.7418,0.7059,0.6842,0.7429,0.9095,0.2603,0.9098,0.9099,0.9099
15,0.8132,0.6060,0.7383,0.7474,0.7373,0.8122,0.6397,0.7349,0.7235,0.7501,0.9132,0.2486,0.9133,0.9133,0.9133
16,0.8168,0.6302,0.7361,0.7505,0.7376,0.7976,0.7092,0.7228,0.7137,0.7426,0.9177,0.2424,0.9176,0.9179,0.9175
17,0.8149,0.6791,0.7272,0.7414,0.7171,0.7902,0.7525,0.7009,0.6879,0.7185,0.9267,0.2099,0.9264,0.9264,0.9264
18,0.8321,0.5995,0.7524,0.7464,0.7678,0.8167,0.6734,0.7277,0.7287,0.7293,0.9226,0.2169,0.9230,0.9229,0.9230
19,0.8393,0.5896,0.7634,0.7704,0.7621,0.8183,0.6483,0.7369,0.7257,0.7497,0.9427,0.1548,0.9431,0.9432,0.9431
20,0.8328,0.5868,0.7615,0.7615,0.7660,0.8191,0.6478,0.7407,0.7415,0.7427,0.9571,0.1210,0.9567,0.9567,0.9567
21,0.8383,0.5861,0.7640,0.7594,0.7763,0.8261,0.6530,0.7444,0.7486,0.7448,0.9574,0.1164,0.9577,0.9578,0.9576
22,0.8370,0.6114,0.7641,0.7659,0.7688,0.8208,0.6681,0.7317,0.7253,0.7404,0.9630,0.1067,0.9629,0.9630,0.9629
23,0.8419,0.6062,0.7675,0.7623,0.7759,0.8338,0.6655,0.7473,0.7508,0.7449,0.9710,0.0856,0.9706,0.9706,0.9707
24,0.8406,0.6175,0.7671,0.7676,0.7703,0.8236,0.6817,0.7397,0.7402,0.7405,0.9690,0.0864,0.9691,0.9691,0.9691
25,0.8435,0.6459,0.7679,0.7651,0.7770,0.8305,0.6863,0.7463,0.7520,0.7455,0.9723,0.0790,0.9725,0.9725,0.9725
26,0.8432,0.6366,0.7699,0.7641,0.7820,0.8326,0.6895,0.7590,0.7680,0.7550,0.9738,0.0761,0.9740,0.9740,0.9741
27,0.8400,0.6651,0.7658,0.7523,0.7865,0.8342,0.6938,0.7489,0.7597,0.7422,0.9747,0.0723,0.9748,0.9748,0.9748
28,0.8432,0.6490,0.7694,0.7644,0.7792,0.8354,0.6920,0.7531,0.7569,0.7528,0.9787,0.0680,0.9788,0.9788,0.9788
29,0.8465,0.6241,0.7745,0.7725,0.7780,0.8424,0.6716,0.7594,0.7611,0.7601,0.9787,0.0625,0.9790,0.9791,0.9790
30,0.8491,0.6219,0.7756,0.7668,0.7908,0.8456,0.6683,0.7624,0.7716,0.7564,0.9834,0.0493,0.9833,0.9833,0.9833
31,0.8481,0.6399,0.7749,0.7708,0.7834,0.8371,0.6752,0.7543,0.7568,0.7536,0.9811,0.0542,0.9811,0.9811,0.9811
32,0.8478,0.6441,0.7750,0.7711,0.7842,0.8371,0.6960,0.7512,0.7516,0.7535,0.9820,0.0532,0.9820,0.9820,0.9820
33,0.8409,0.6704,0.7641,0.7558,0.7795,0.8379,0.7052,0.7513,0.7603,0.7477,0.9818,0.0535,0.9818,0.9819,0.9818
34,0.8442,0.6619,0.7705,0.7657,0.7803,0.8399,0.7173,0.7584,0.7631,0.7559,0.9817,0.0504,0.9817,0.9817,0.9817
35,0.8494,0.6633,0.7746,0.7667,0.7899,0.8460,0.7065,0.7674,0.7806,0.7605,0.9829,0.0489,0.9830,0.9831,0.9830
36,0.8537,0.6401,0.7813,0.7639,0.8076,0.8481,0.6892,0.7676,0.7860,0.7551,0.9861,0.0452,0.9860,0.9860,0.9860
37,0.8514,0.6373,0.7785,0.7666,0.7967,0.8444,0.6959,0.7611,0.7772,0.7505,0.9818,0.0507,0.9818,0.9818,0.9818
38,0.8517,0.6625,0.7733,0.7589,0.7964,0.8420,0.7148,0.7572,0.7754,0.7457,0.9867,0.0434,0.9866,0.9866,0.9866
39,0.8533,0.6435,0.7761,0.7651,0.7934,0.8432,0.7093,0.7540,0.7660,0.7475,0.9863,0.0415,0.9864,0.9864,0.9864
40,0.8504,0.6372,0.7754,0.7657,0.7892,0.8440,0.6928,0.7623,0.7706,0.7559,0.9866,0.0410,0.9865,0.9865,0.9865
41,0.8520,0.6565,0.7798,0.7765,0.7860,0.8411,0.7105,0.7612,0.7640,0.7593,0.9862,0.0416,0.9865,0.9865,0.9866
42,0.8576,0.6425,0.7819,0.7686,0.8059,0.8432,0.7096,0.7549,0.7760,0.7444,0.9878,0.0348,0.9878,0.9878,0.9878
43,0.8501,0.6509,0.7762,0.7654,0.7922,0.8403,0.7086,0.7599,0.7677,0.7541,0.9859,0.0419,0.9859,0.9859,0.9860
44,0.8523,0.6618,0.7819,0.7700,0.8047,0.8415,0.7221,0.7610,0.7736,0.7541,0.9885,0.0374,0.9885,0.9884,0.9886
45,0.8520,0.6539,0.7753,0.7643,0.7904,0.8444,0.7181,0.7621,0.7708,0.7560,0.9884,0.0372,0.9884,0.9885,0.9884
46,0.8484,0.6497,0.7729,0.7636,0.7863,0.8403,0.7122,0.7575,0.7632,0.7535,0.9872,0.0395,0.9871,0.9871,0.9871
47,0.8514,0.6541,0.7797,0.7697,0.7976,0.8403,0.7216,0.7573,0.7669,0.7526,0.9893,0.0357,0.9893,0.9893,0.9893
48,0.8488,0.6478,0.7734,0.7635,0.7869,0.8415,0.7063,0.7604,0.7675,0.7547,0.9869,0.0374,0.9868,0.9868,0.9868
49,0.8468,0.6579,0.7704,0.7673,0.7773,0.8387,0.7194,0.7549,0.7563,0.7554,0.9880,0.0361,0.9881,0.9881,0.9881
50,0.8494,0.6697,0.7772,0.7631,0.8021,0.8428,0.7210,0.7621,0.7730,0.7543,0.9882,0.0346,0.9883,0.9883,0.9883
51,0.8527,0.6476,0.7773,0.7616,0.8042,0.8391,0.7217,0.7507,0.7690,0.7399,0.9861,0.0429,0.9860,0.9860,0.9861
52,0.8507,0.6480,0.7745,0.7622,0.7922,0.8399,0.7145,0.7562,0.7656,0.7496,0.9901,0.0323,0.9901,0.9901,0.9901
53,0.8540,0.6520,0.7862,0.7720,0.8079,0.8411,0.7110,0.7570,0.7684,0.7487,0.9890,0.0379,0.9891,0.9891,0.9891
54,0.8559,0.6495,0.7836,0.7648,0.8150,0.8436,0.7163,0.7572,0.7802,0.7432,0.9889,0.0374,0.9888,0.9887,0.9888
55,0.8504,0.6400,0.7744,0.7621,0.7914,0.8432,0.7050,0.7593,0.7685,0.7521,0.9908,0.0314,0.9908,0.9908,0.9909
56,0.8514,0.6518,0.7753,0.7635,0.7938,0.8428,0.7202,0.7594,0.7688,0.7541,0.9862,0.0392,0.9862,0.9862,0.9862
