Epoch,Test Accuracy,Test Loss,Test F1-score,Test Precision,Test Recall,Val Accuracy,Val Loss,Val F1-score,Val Precision,Val Recall,Train Accuracy,Train Loss,Train F1-score,Train Precision,Train Recall
1,0.5361,1.2140,0.4946,0.5350,0.5330,0.5406,1.2126,0.5064,0.5473,0.5445,0.5041,1.2990,0.4914,0.4888,0.5041
2,0.5963,1.1133,0.5362,0.6000,0.5498,0.6062,1.0783,0.5496,0.5613,0.6056,0.6447,0.9582,0.6384,0.6373,0.6450
3,0.6155,1.0898,0.5756,0.6016,0.5910,0.6108,1.0796,0.5716,0.5887,0.5917,0.6804,0.8595,0.6766,0.6760,0.6810
4,0.6421,0.9774,0.6174,0.6390,0.6060,0.6437,0.9841,0.6110,0.6013,0.6328,0.7067,0.7884,0.7033,0.7032,0.7062
5,0.6514,0.9719,0.6425,0.6347,0.6749,0.6501,0.9758,0.6255,0.6622,0.6146,0.7233,0.7468,0.7202,0.7200,0.7227
6,0.6449,0.9932,0.6321,0.6413,0.6305,0.6541,1.0033,0.6343,0.6454,0.6350,0.7450,0.6886,0.7433,0.7430,0.7455
7,0.6408,1.0439,0.6207,0.6327,0.6307,0.6515,1.0304,0.6338,0.6520,0.6361,0.7606,0.6529,0.7590,0.7592,0.7603
8,0.6450,1.0558,0.6295,0.6399,0.6280,0.6430,1.0743,0.6203,0.6290,0.6180,0.7731,0.6153,0.7727,0.7725,0.7739
9,0.6587,1.0360,0.6580,0.6546,0.6649,0.6590,1.0191,0.6508,0.6624,0.6443,0.7907,0.5734,0.7893,0.7890,0.7905
10,0.6787,1.0219,0.6737,0.6684,0.6812,0.6806,1.0285,0.6663,0.6825,0.6555,0.8364,0.4528,0.8348,0.8349,0.8353
11,0.6833,1.0810,0.6741,0.6658,0.6901,0.6851,1.0899,0.6672,0.6852,0.6571,0.8615,0.3828,0.8604,0.8603,0.8607
12,0.6764,1.1364,0.6724,0.6589,0.6926,0.6829,1.1312,0.6689,0.6911,0.6548,0.8706,0.3546,0.8705,0.8704,0.8707
13,0.6797,1.1266,0.6691,0.6643,0.6792,0.6785,1.1084,0.6572,0.6743,0.6476,0.8816,0.3332,0.8805,0.8805,0.8807
14,0.6769,1.2456,0.6696,0.6640,0.6810,0.6888,1.1957,0.6699,0.6846,0.6614,0.8963,0.2922,0.8962,0.8963,0.8964
15,0.6722,1.2786,0.6677,0.6591,0.6867,0.6785,1.2445,0.6640,0.6857,0.6527,0.9026,0.2701,0.9022,0.9021,0.9023
16,0.6785,1.2877,0.6710,0.6673,0.6771,0.6799,1.2638,0.6614,0.6711,0.6546,0.9118,0.2472,0.9117,0.9117,0.9117
17,0.6832,1.2595,0.6725,0.6682,0.6789,0.6867,1.2434,0.6673,0.6802,0.6581,0.9184,0.2310,0.9184,0.9184,0.9184
18,0.6773,1.3609,0.6754,0.6633,0.6944,0.6785,1.3304,0.6609,0.6821,0.6483,0.9249,0.2151,0.9249,0.9249,0.9250
19,0.6870,1.3978,0.6837,0.6742,0.6971,0.6837,1.3765,0.6720,0.6909,0.6599,0.9386,0.1773,0.9385,0.9384,0.9386
20,0.6881,1.4101,0.6870,0.6738,0.7061,0.6836,1.3956,0.6694,0.6912,0.6554,0.9423,0.1640,0.9424,0.9424,0.9424
21,0.6889,1.4723,0.6855,0.6754,0.6990,0.6876,1.4610,0.6706,0.6872,0.6593,0.9496,0.1454,0.9493,0.9493,0.9493
22,0.6893,1.4924,0.6864,0.6743,0.7053,0.6862,1.4835,0.6721,0.6980,0.6575,0.9511,0.1382,0.9510,0.9510,0.9510
23,0.6871,1.5034,0.6836,0.6739,0.6983,0.6907,1.4844,0.6736,0.6955,0.6601,0.9537,0.1320,0.9536,0.9536,0.9536
24,0.6826,1.5205,0.6812,0.6663,0.7049,0.6825,1.4922,0.6684,0.6915,0.6541,0.9538,0.1314,0.9537,0.9537,0.9537
25,0.6822,1.5560,0.6821,0.6677,0.7041,0.6897,1.5483,0.6740,0.6972,0.6593,0.9569,0.1226,0.9568,0.9568,0.9568
26,0.6893,1.5749,0.6872,0.6776,0.7008,0.6912,1.5554,0.6741,0.6938,0.6618,0.9595,0.1140,0.9595,0.9595,0.9594
27,0.6858,1.5850,0.6833,0.6703,0.7030,0.6876,1.5690,0.6702,0.6907,0.6575,0.9611,0.1109,0.9608,0.9608,0.9608
28,0.6861,1.5993,0.6853,0.6732,0.7025,0.6933,1.5762,0.6754,0.6928,0.6637,0.9629,0.1065,0.9629,0.9629,0.9629
29,0.6871,1.6114,0.6856,0.6742,0.7019,0.6897,1.5879,0.6721,0.6909,0.6597,0.9647,0.1008,0.9647,0.9647,0.9647
30,0.6890,1.6473,0.6857,0.6727,0.7069,0.6917,1.6213,0.6736,0.6967,0.6600,0.9674,0.0933,0.9673,0.9673,0.9673
31,0.6900,1.6524,0.6890,0.6768,0.7063,0.6910,1.6205,0.6741,0.6939,0.6612,0.9665,0.0958,0.9666,0.9666,0.9666
32,0.6881,1.6575,0.6858,0.6711,0.7086,0.6910,1.6274,0.6739,0.6972,0.6595,0.9663,0.0926,0.9665,0.9665,0.9664
33,0.6917,1.6780,0.6887,0.6759,0.7081,0.6937,1.6386,0.6743,0.6932,0.6619,0.9664,0.0922,0.9666,0.9666,0.9667
34,0.6913,1.6942,0.6893,0.6769,0.7065,0.6898,1.6595,0.6717,0.6891,0.6601,0.9707,0.0838,0.9706,0.9706,0.9706
35,0.6884,1.6782,0.6893,0.6763,0.7081,0.6921,1.6422,0.6736,0.6907,0.6624,0.9683,0.0874,0.9682,0.9682,0.9682
36,0.6884,1.6878,0.6859,0.6736,0.7026,0.6895,1.6533,0.6718,0.6908,0.6588,0.9712,0.0829,0.9713,0.9713,0.9713
37,0.6815,1.7161,0.6784,0.6658,0.6992,0.6846,1.6888,0.6680,0.6903,0.6546,0.9705,0.0829,0.9705,0.9705,0.9705
38,0.6861,1.7042,0.6826,0.6684,0.7038,0.6891,1.6851,0.6720,0.6951,0.6579,0.9694,0.0860,0.9692,0.9692,0.9692
39,0.6911,1.6853,0.6910,0.6776,0.7093,0.6917,1.6588,0.6728,0.6907,0.6604,0.9717,0.0794,0.9715,0.9715,0.9715
40,0.6895,1.7061,0.6876,0.6732,0.7084,0.6917,1.6760,0.6736,0.6957,0.6591,0.9699,0.0849,0.9699,0.9699,0.9700
41,0.6872,1.7158,0.6848,0.6727,0.7032,0.6942,1.6754,0.6750,0.6936,0.6629,0.9728,0.0810,0.9729,0.9729,0.9729
42,0.6864,1.7077,0.6848,0.6705,0.7059,0.6895,1.6845,0.6729,0.6954,0.6584,0.9720,0.0787,0.9721,0.9721,0.9721
43,0.6909,1.7365,0.6895,0.6767,0.7081,0.6916,1.7084,0.6732,0.6922,0.6604,0.9714,0.0782,0.9713,0.9713,0.9713
44,0.6868,1.7236,0.6846,0.6711,0.7037,0.6898,1.6999,0.6740,0.6968,0.6596,0.9708,0.0814,0.9707,0.9708,0.9707
45,0.6886,1.7393,0.6856,0.6716,0.7071,0.6940,1.7056,0.6772,0.6992,0.6631,0.9716,0.0801,0.9715,0.9715,0.9715
46,0.6896,1.7227,0.6864,0.6728,0.7074,0.6937,1.6909,0.6755,0.6947,0.6631,0.9718,0.0796,0.9719,0.9719,0.9719
47,0.6900,1.7024,0.6866,0.6734,0.7079,0.6938,1.6691,0.6750,0.6930,0.6636,0.9726,0.0792,0.9724,0.9724,0.9724
